type	size	addr	mangled	demangled	obj
T	0xa	0x825ac21	ScanInt	ScanInt	home/wangyilei/dnf_workspace/dnf_decompile/source/DNFServer/GameServer/Game/GameStubs.cpp.o
T	0xa	0x8257054	_Z12GetInvenSlotP10Inven_ItemP10CInventoryii	GetInvenSlot(Inven_Item*, CInventory*, int, int)	home/wangyilei/dnf_workspace/dnf_decompile/source/DNFServer/GameServer/Game/GameStubs.cpp.o
T	0x15	0x813f0e0	_Z13GetPacketNameht	GetPacketName(unsigned char, unsigned short)	home/wangyilei/dnf_workspace/dnf_decompile/source/DNFServer/GameServer/Game/CUser.cpp.o
T	0x283	0x8232c10	_Z17ImportSkillScriptP13STSkillScriptPKciii	ImportSkillScript(STSkillScript*, char const*, int, int, int)	home/wangyilei/dnf_workspace/dnf_decompile/source/DNFServer/GameServer/Game/STSkillScript.cpp.o
T	0x5	0x8257063	_Z19write_log_use_moneyiij	write_log_use_money(int, int, unsigned int)	home/wangyilei/dnf_workspace/dnf_decompile/source/DNFServer/GameServer/Game/GameStubs.cpp.o
T	0x5	0x825705e	_Z20write_log_gain_moneyiij	write_log_gain_money(int, int, unsigned int)	home/wangyilei/dnf_workspace/dnf_decompile/source/DNFServer/GameServer/Game/GameStubs.cpp.o
T	0xa	0x813f16d	_Z21mission_list_is_clearPv	mission_list_is_clear(void*)	home/wangyilei/dnf_workspace/dnf_decompile/source/DNFServer/GameServer/Game/CUser.cpp.o
T	0x14	0x822d50e	_Z22setBasicAbilityByLevelP15STMonsterScriptP16ActiveStaticInfojiibb	setBasicAbilityByLevel(STMonsterScript*, ActiveStaticInfo*, unsigned int, int, int, bool, bool)	home/wangyilei/dnf_workspace/dnf_decompile/source/DNFServer/GameServer/Game/STMonsterScript.cpp.o
T	0xb	0x822d522	_Z24getRandomChampionElementP15STMonsterScripti	getRandomChampionElement(STMonsterScript*, int)	home/wangyilei/dnf_workspace/dnf_decompile/source/DNFServer/GameServer/Game/STMonsterScript.cpp.o
T	0x5	0x813f177	_Z25CInventory_MakeItemPacketP10CInventoryiiR11PacketGuard	CInventory_MakeItemPacket(CInventory*, int, int, PacketGuard&)	home/wangyilei/dnf_workspace/dnf_decompile/source/DNFServer/GameServer/Game/CUser.cpp.o
T	0x8	0x81ae512	_Z25GetInvenTypeFromItemSpacei	GetInvenTypeFromItemSpace(int)	home/wangyilei/dnf_workspace/dnf_decompile/source/DNFServer/GameServer/Game/CDeathTower.cpp.o
T	0xa	0x8256fbe	_ZN10CInventory9move_itemEiiii	CInventory::move_item(int, int, int, int)	home/wangyilei/dnf_workspace/dnf_decompile/source/DNFServer/GameServer/Game/GameStubs.cpp.o
T	0x5	0x825b5f4	_ZN10CMyFileLogclEPKcz	CMyFileLog::operator()(char const*, ...)	home/wangyilei/dnf_workspace/dnf_decompile/source/DNFServer/GameServer/Game/GameStubs.cpp.o
T	0x5	0x825ba20	_ZN10CTitleBook18sendListOtherUserEP5CUser25ENUM_TITLE_BOOK_INFO_TYPE	_ZN10CTitleBook18sendListOtherUserEP5CUser25ENUM_TITLE_BOOK_INFO_TYPE	home/wangyilei/dnf_workspace/dnf_decompile/source/DNFServer/GameServer/Game/GameStubs.cpp.o
T	0x5d	0x80d8bc2	_ZN10CaptchaGen8getFloatER8XorRand4ff	CaptchaGen::getFloat(XorRand4&, float, float)	home/wangyilei/dnf_workspace/dnf_decompile/source/DNFServer/GameServer/Game/GlobalData.cpp.o
T	0x21	0x80b6fe2	_ZN10CharString6concatEPKcRKS_i	CharString::concat(char const*, CharString const&, int)	home/wangyilei/dnf_workspace/dnf_decompile/source/DNFServer/GameServer/Game/StringTypes.cpp.o
T	0x21	0x80b7004	_ZN10CharString6concatEPKciRKS_i	CharString::concat(char const*, int, CharString const&, int)	home/wangyilei/dnf_workspace/dnf_decompile/source/DNFServer/GameServer/Game/StringTypes.cpp.o
T	0x46	0x81f5ef8	_ZN10HistoryLog13WriteCreateChEP8_IO_FILEPciii	HistoryLog::WriteCreateCh(_IO_FILE*, char*, int, int, int)	home/wangyilei/dnf_workspace/dnf_decompile/source/DNFServer/GameServer/Game/HistoryLog.cpp.o
T	0x5	0x825b926	_ZN10LogManager9logFormatEiPKciS1_z	LogManager::logFormat(int, char const*, int, char const*, ...)	home/wangyilei/dnf_workspace/dnf_decompile/source/DNFServer/GameServer/Game/GameStubs.cpp.o
T	0xa	0x825abe2	_ZN10secretshop7CMTRand7randIntERKm	secretshop::CMTRand::randInt(unsigned long const&)	home/wangyilei/dnf_workspace/dnf_decompile/source/DNFServer/GameServer/Game/GameStubs.cpp.o
T	0x5	0x825abdc	_ZN10secretshop7CMTRandC1ERKm	secretshop::CMTRand::CMTRand(unsigned long const&)	home/wangyilei/dnf_workspace/dnf_decompile/source/DNFServer/GameServer/Game/GameStubs.cpp.o
T	0x5	0x825abdc	_ZN10secretshop7CMTRandC2ERKm	secretshop::CMTRand::CMTRand(unsigned long const&)	home/wangyilei/dnf_workspace/dnf_decompile/source/DNFServer/GameServer/Game/GameStubs.cpp.o
T	0xa	0x825ba25	_ZN11CGM_Manager5IsGmEj	_ZN11CGM_Manager5IsGmEj	home/wangyilei/dnf_workspace/dnf_decompile/source/DNFServer/GameServer/Game/GameStubs.cpp.o
T	0x5	0x808a63c	_ZN11IDispatcher4sendEP5CUserR9ParamBase	IDispatcher::send(CUser*, ParamBase&)	home/wangyilei/dnf_workspace/dnf_decompile/source/DNFServer/GameServer/Game/PacketDispatcher.cpp.o
T	0x5	0x80e4862	_ZN11SlangFilter2f0Ev	SlangFilter::f0()	home/wangyilei/dnf_workspace/dnf_decompile/source/DNFServer/GameServer/Game/CDataManager.cpp.o
T	0x5	0x80e4868	_ZN11SlangFilter7DestroyEv	SlangFilter::Destroy()	home/wangyilei/dnf_workspace/dnf_decompile/source/DNFServer/GameServer/Game/CDataManager.cpp.o
T	0xa	0x80d9ae8	_ZN11sync_script11CSyncScript21GetInstanceSyncScriptEv	sync_script::CSyncScript::GetInstanceSyncScript()	home/wangyilei/dnf_workspace/dnf_decompile/source/DNFServer/GameServer/Game/GlobalData.cpp.o
T	0x24	0x80e5cb6	_ZN12CDataManager18ReCalcEmoticonConfEPvPK5CUser	CDataManager::ReCalcEmoticonConf(void*, CUser const*)	home/wangyilei/dnf_workspace/dnf_decompile/source/DNFServer/GameServer/Game/CDataManager.cpp.o
T	0x5	0x8257660	_ZN12CDataManager20set_lottery_use_costEj	CDataManager::set_lottery_use_cost(unsigned int)	home/wangyilei/dnf_workspace/dnf_decompile/source/DNFServer/GameServer/Game/GameStubs.cpp.o
T	0x16	0x80e8426	_ZN12CDataManager21get_limit_inout_countEi	CDataManager::get_limit_inout_count(int)	home/wangyilei/dnf_workspace/dnf_decompile/source/DNFServer/GameServer/Game/CDataManager.cpp.o
T	0x19	0x825a12e	_ZN12CItemUpgrade28getUpgradeItemRepairCostRateEib	CItemUpgrade::getUpgradeItemRepairCostRate(int, bool)	home/wangyilei/dnf_workspace/dnf_decompile/source/DNFServer/GameServer/Game/GameStubs.cpp.o
T	0xd	0x825a0b8	_ZN13BaseItemValueC1Ei	BaseItemValue::BaseItemValue(int)	home/wangyilei/dnf_workspace/dnf_decompile/source/DNFServer/GameServer/Game/GameStubs.cpp.o
T	0xd	0x825a0b8	_ZN13BaseItemValueC2Ei	BaseItemValue::BaseItemValue(int)	home/wangyilei/dnf_workspace/dnf_decompile/source/DNFServer/GameServer/Game/GameStubs.cpp.o
T	0xa	0x8257185	_ZN13CEventManager13GetRepeatEventEi	_ZN13CEventManager13GetRepeatEventEi	home/wangyilei/dnf_workspace/dnf_decompile/source/DNFServer/GameServer/Game/GameStubs.cpp.o
T	0x5	0x825718f	_ZN13CEventManager14TriggerEventEndEi	_ZN13CEventManager14TriggerEventEndEi	home/wangyilei/dnf_workspace/dnf_decompile/source/DNFServer/GameServer/Game/GameStubs.cpp.o
T	0x5	0x8257194	_ZN13CEventManager16TriggerEventStartEii	_ZN13CEventManager16TriggerEventStartEii	home/wangyilei/dnf_workspace/dnf_decompile/source/DNFServer/GameServer/Game/GameStubs.cpp.o
T	0x5	0x813f1f4	_ZN13DB_LogBuyItem11makeRequestEjjjjj	DB_LogBuyItem::makeRequest(unsigned int, unsigned int, unsigned int, unsigned int, unsigned int)	home/wangyilei/dnf_workspace/dnf_decompile/source/DNFServer/GameServer/Game/CUser.cpp.o
T	0xa	0x825b3a6	_ZN14CNRDScriptData6getIntEPKc	CNRDScriptData::getInt(char const*)	home/wangyilei/dnf_workspace/dnf_decompile/source/DNFServer/GameServer/Game/GameStubs.cpp.o
T	0x5	0x8259e22	_ZN15CClearConditionC1E33ENUM_DUNGEON_CLEAR_CONDITION_TYPEi	CClearCondition::CClearCondition(ENUM_DUNGEON_CLEAR_CONDITION_TYPE, int)	home/wangyilei/dnf_workspace/dnf_decompile/source/DNFServer/GameServer/Game/GameStubs.cpp.o
T	0x5	0x8259e22	_ZN15CClearConditionC2E33ENUM_DUNGEON_CLEAR_CONDITION_TYPEi	CClearCondition::CClearCondition(ENUM_DUNGEON_CLEAR_CONDITION_TYPE, int)	home/wangyilei/dnf_workspace/dnf_decompile/source/DNFServer/GameServer/Game/GameStubs.cpp.o
T	0x23	0x813833c	_ZN15CUserCharacInfo13GetPowerWarHPEv	CUserCharacInfo::GetPowerWarHP()	home/wangyilei/dnf_workspace/dnf_decompile/source/DNFServer/GameServer/Game/CUserCharacInfo.cpp.o
T	0x5	0x825ba1b	_ZN15HeroMissionEvent14processMissionEP5CUserN20HeroMissionCondition9MissionNo1TEj	_ZN15HeroMissionEvent14processMissionEP5CUserN20HeroMissionCondition9MissionNo1TEj	home/wangyilei/dnf_workspace/dnf_decompile/source/DNFServer/GameServer/Game/GameStubs.cpp.o
T	0x5	0x8256f24	_ZN15cUserHistoryLog16DungeonClearInfoEii	cUserHistoryLog::DungeonClearInfo(int, int)	home/wangyilei/dnf_workspace/dnf_decompile/source/DNFServer/GameServer/Game/GameStubs.cpp.o
T	0xa	0x81ae476	_ZN16CAICharacterList3getEPvj	CAICharacterList::get(void*, unsigned int)	home/wangyilei/dnf_workspace/dnf_decompile/source/DNFServer/GameServer/Game/CDeathTower.cpp.o
T	0xe	0x825abfb	_ZN16SecretShopScript21GetItemByDungeonIdxEP7CMTRandRSt6vectorIN10secretshop9SALE_INFOSaIS4_EEEiib	_ZN16SecretShopScript21GetItemByDungeonIdxEP7CMTRandRSt6vectorIN10secretshop9SALE_INFOSaIS4_EEEiib	home/wangyilei/dnf_workspace/dnf_decompile/source/DNFServer/GameServer/Game/GameStubs.cpp.o
T	0xe	0x825ac09	_ZN16SecretShopScript21GetItemByDungeonLevEP7CMTRandRSt6vectorIN10secretshop9SALE_INFOSaIS4_EEEiib	_ZN16SecretShopScript21GetItemByDungeonLevEP7CMTRandRSt6vectorIN10secretshop9SALE_INFOSaIS4_EEEiib	home/wangyilei/dnf_workspace/dnf_decompile/source/DNFServer/GameServer/Game/GameStubs.cpp.o
T	0x5	0x825a154	_ZN17CItemGeneratorMgr12setDropRatioEf	CItemGeneratorMgr::setDropRatio(float)	home/wangyilei/dnf_workspace/dnf_decompile/source/DNFServer/GameServer/Game/GameStubs.cpp.o
T	0x14	0x825a18c	_ZN17PvP_MissionSystem25get_BaseMissionExp_byRankEt	PvP_MissionSystem::get_BaseMissionExp_byRank(unsigned short)	home/wangyilei/dnf_workspace/dnf_decompile/source/DNFServer/GameServer/Game/GameStubs.cpp.o
T	0x138	0x821ad7e	_ZN18RandomOptionScript9getPrefixEib	RandomOptionScript::getPrefix(int, bool)	home/wangyilei/dnf_workspace/dnf_decompile/source/DNFServer/GameServer/Game/RandomOptionScript.cpp.o
