type	size	addr	mangled	demangled	obj
T	0x1e	0827e7b2	_ZN8WongWork11CQuestClearC1Ev	WongWork::CQuestClear::CQuestClear()	home/wangyilei/dnf_workspace/dnf_decompile/source/DNFServer/GameServer/Game/QuestClear.cpp.o
T	0x6	0827e7b8	_ZN8WongWork11CQuestClearD1Ev	WongWork::CQuestClear::~CQuestClear()	home/wangyilei/dnf_workspace/dnf_decompile/source/DNFServer/GameServer/Game/QuestClear.cpp.o
T	0x6	0827e7be	_ZN8WongWork11CQuestClear5clearEv	WongWork::CQuestClear::clear()	home/wangyilei/dnf_workspace/dnf_decompile/source/DNFServer/GameServer/Game/QuestClear.cpp.o
T	0x6	0827e7c4	_ZNK8WongWork11CQuestClear14isClearedQuestEj	WongWork::CQuestClear::isClearedQuest(unsigned int) const	home/wangyilei/dnf_workspace/dnf_decompile/source/DNFServer/GameServer/Game/QuestClear.cpp.o
T	0xa	0827e7ce	_ZNK8WongWork11CQuestClear15getClearedQuestEv	WongWork::CQuestClear::getClearedQuest() const	home/wangyilei/dnf_workspace/dnf_decompile/source/DNFServer/GameServer/Game/QuestClear.cpp.o
T	0x6	0827e7d6	_ZN8WongWork11CQuestClear18resetClearedQuestsEj	WongWork::CQuestClear::resetClearedQuests(unsigned int)	home/wangyilei/dnf_workspace/dnf_decompile/source/DNFServer/GameServer/Game/QuestClear.cpp.o
T	0x2a	0827e7dc	_ZN8WongWork11CQuestClear15setClearedQuestEPKNS_14STClearedQuestE	WongWork::CQuestClear::setClearedQuest(WongWork::STClearedQuest const*)	home/wangyilei/dnf_workspace/dnf_decompile/source/DNFServer/GameServer/Game/QuestClear.cpp.o
T	0x30	0827e7e2	_ZN8WongWork11CQuestClear10syncScriptEv	WongWork::CQuestClear::syncScript()	home/wangyilei/dnf_workspace/dnf_decompile/source/DNFServer/GameServer/Game/QuestClear.cpp.o
T	0xa	0827e7ec	_ZN8WongWork11CQuestClear15setClearedQuestEj	WongWork::CQuestClear::setClearedQuest(unsigned int)	home/wangyilei/dnf_workspace/dnf_decompile/source/DNFServer/GameServer/Game/QuestClear.cpp.o
T	0x6	0827e7f2	_ZN13user_creature12CCreatureMgr5ResetEv	user_creature::CCreatureMgr::Reset()	home/wangyilei/dnf_workspace/dnf_decompile/source/DNFServer/GameServer/Game/CCreatureMgr.cpp.o
