name	demangled	orig_type	orig_size	new_size	class	overlap	origin	in_orig
_GLOBAL__I__Z11timeGetTimev	global constructors keyed to timeGetTime()	t	28	28	NEAR	1.0000	libstdcxx/system	1
_GLOBAL__I__Z22CFileLogWriterInstancev	global constructors keyed to CFileLogWriterInstance()	t	28	28	NEAR	1.0000	libstdcxx/system	1
_GLOBAL__I__Z7commandPKcS0_	global constructors keyed to command(char const*, char const*)	t	28	28	NEAR	1.0000	libstdcxx/system	1
_GLOBAL__I__Z8Char2HexhPc	global constructors keyed to Char2Hex(unsigned char, char*)	t	28	28	NEAR	1.0000	libstdcxx/system	1
_GLOBAL__I__ZN10ArchiveLogC2EPKcz	global constructors keyed to ArchiveLog::ArchiveLog(char const*, ...)	t	28	28	NEAR	1.0000	libstdcxx/system	1
_GLOBAL__I__ZN12CUserManager10enter_userEjP15CNetworkSessionR14STGameUserInfoiP16STPvPBuddyDBInfo	global constructors keyed to CUserManager::enter_user(unsigned int, CNetworkSession*, STGameUserInfo&, int, STPvPBuddyDBInfo*)	t	28	28	NEAR	1.0000	libstdcxx/system	1
_GLOBAL__I__ZN13CBuddyManager9add_buddyER16STPvPBuddyDBInfo	global constructors keyed to CBuddyManager::add_buddy(STPvPBuddyDBInfo&)	t	28	28	NEAR	1.0000	libstdcxx/system	1
_GLOBAL__I__ZN13CPacketParserC2Ev	global constructors keyed to CPacketParser::CPacketParser()	t	28	28	NEAR	1.0000	libstdcxx/system	1
_GLOBAL__I__ZN15CProcessManagerC2Ev	global constructors keyed to CProcessManager::CProcessManager()	t	28	28	NEAR	1.0000	libstdcxx/system	1
_GLOBAL__I__ZN15CSessionManagerC2Ev	global constructors keyed to CSessionManager::CSessionManager()	t	28	28	NEAR	1.0000	libstdcxx/system	1
_GLOBAL__I__ZN15global_function5sleepEi	global constructors keyed to global_function::sleep(int)	t	28	28	NEAR	1.0000	libstdcxx/system	1
_GLOBAL__I__ZN15global_instance12current_timeE	global constructors keyed to global_instance::current_time	t	28	28	NEAR	1.0000	libstdcxx/system	1
_GLOBAL__I__ZN17CConfigFileReaderC2Ev	global constructors keyed to CConfigFileReader::CConfigFileReader()	t	28	28	NEAR	1.0000	libstdcxx/system	1
_GLOBAL__I__ZN17CPacketDispatcherC2Ev	global constructors keyed to CPacketDispatcher::CPacketDispatcher()	t	28	28	NEAR	1.0000	libstdcxx/system	1
_GLOBAL__I__ZN5CUser12check_myselfEv	global constructors keyed to CUser::check_myself()	t	28	28	NEAR	1.0000	libstdcxx/system	1
_GLOBAL__I__ZN9CCoreDumpC2Ev	global constructors keyed to CCoreDump::CCoreDump()	t	28	28	NEAR	1.0000	libstdcxx/system	1
_GLOBAL__I__ZNSt10ctype_base5spaceE	global constructors keyed to std::ctype_base::space	t	5	5	IDENTICAL	1.0000	libstdcxx/system	1
