file	sym_total	sym_hits	sym_hit_rate	str_hits
Community/src/AbstractSocket.cpp.o	20	17	85.0%	69
Community/src/ArchiveLog.cpp.o	15	12	80.0%	52
Community/src/BuddyManager.cpp.o	82	46	56.1%	98
Community/src/ConfigFileReader.cpp.o	100	12	12.0%	76
Community/src/CoreDump.cpp.o	14	8	57.1%	49
Community/src/DateTime.cpp.o	4	2	50.0%	18
Community/src/Epoll.cpp.o	10	8	80.0%	81
Community/src/FindBuddy.cpp.o	4	2	50.0%	15
Community/src/FindUser.cpp.o	4	2	50.0%	99
Community/src/ISessionManager.cpp.o	0	0	0.0%	23
Community/src/NetworkSession.cpp.o	22	18	81.8%	89
Community/src/PacketDispatcher.cpp.o	63	4	6.3%	42
Community/src/ProcessManager.cpp.o	6	5	83.3%	50
Community/src/SessionManager.cpp.o	124	22	17.7%	142
Community/src/SessionProxy.cpp.o	16	4	25.0%	74
Community/src/User.cpp.o	106	58	54.7%	194
Community/src/UserManager.cpp.o	104	59	56.7%	201
Community/src/global.cpp.o	16	14	87.5%	149
Community/src/main.cpp.o	55	8	14.5%	146
shared/packet/src/PacketHeader.cpp.o	2	1	50.0%	11
shared/packet/src/STGameUserInfo.cpp.o	2	1	50.0%	12
shared/packet/src/STPvPBuddyDBInfo.cpp.o	3	2	66.7%	14
