file	symbol	demangled	in_original	new_size_hex	orig_size_hex	new_insn_count	orig_insn_count	mnemonic_exact	mnemonic_overlap
Community/src/AbstractSocket.cpp.o	_ZN15CAbstractSocketILi4096ELi4096EE10disconnectEv	CAbstractSocket<4096, 4096>::disconnect()	1	00000035	00000035	17	17	yes	1.0000
Community/src/AbstractSocket.cpp.o	_ZN15CAbstractSocketILi4096ELi4096EE11ConnectPeerEv	CAbstractSocket<4096, 4096>::ConnectPeer()	1	0000006e	00000076	35	37	no	0.9189
Community/src/AbstractSocket.cpp.o	_ZN15CAbstractSocketILi4096ELi4096EE11GetRecvBuffEiRi	CAbstractSocket<4096, 4096>::GetRecvBuff(int, int&)	1	00000038	00000038	22	22	yes	1.0000
Community/src/AbstractSocket.cpp.o	_ZN15CAbstractSocketILi4096ELi4096EE11SetNonblockEi	CAbstractSocket<4096, 4096>::SetNonblock(int)	1	00000046	00000058	21	24	no	0.7917
Community/src/AbstractSocket.cpp.o	_ZN15CAbstractSocketILi4096ELi4096EE11recv_packetEv	CAbstractSocket<4096, 4096>::recv_packet()	1	00000156	0000015a	102	104	no	0.9615
Community/src/AbstractSocket.cpp.o	_ZN15CAbstractSocketILi4096ELi4096EE11send_packetEPKci	CAbstractSocket<4096, 4096>::send_packet(char const*, int)	1	000001b3	000001bb	116	117	no	0.9658
Community/src/AbstractSocket.cpp.o	_ZN15CAbstractSocketILi4096ELi4096EE11send_packetEv	CAbstractSocket<4096, 4096>::send_packet()	1	000001f7	00000206	135	138	no	0.9638
Community/src/AbstractSocket.cpp.o	_ZN15CAbstractSocketILi4096ELi4096EE12AcceptSocketEv	CAbstractSocket<4096, 4096>::AcceptSocket()	1	000000bc	000000ae	52	50	no	0.8846
Community/src/AbstractSocket.cpp.o	_ZN15CAbstractSocketILi4096ELi4096EE18CreateListenSocketERiiPKc	CAbstractSocket<4096, 4096>::CreateListenSocket(int&, int, char const*)	1	0000016a	0000014b	98	86	no	0.7653
Community/src/AbstractSocket.cpp.o	_ZN15CAbstractSocketILi4096ELi4096EE19SetRecvBufferOffsetEi	CAbstractSocket<4096, 4096>::SetRecvBufferOffset(int)	1	000000ef	000000f1	71	72	no	0.9722
Community/src/AbstractSocket.cpp.o	_ZN15CAbstractSocketILi4096ELi4096EE22CreateConnectionSocketEPKci	CAbstractSocket<4096, 4096>::CreateConnectionSocket(char const*, int)	1	000000c3	000000be	54	49	no	0.8519
Community/src/AbstractSocket.cpp.o	_ZN15CAbstractSocketILi4096ELi4096EE26AddTriggerSessionEventTypeEi	CAbstractSocket<4096, 4096>::AddTriggerSessionEventType(int)	1	0000001c	0000001c	10	10	yes	1.0000
Community/src/AbstractSocket.cpp.o	_ZN15CAbstractSocketILi4096ELi4096EE26GetTriggerSessionEventTypeEv	CAbstractSocket<4096, 4096>::GetTriggerSessionEventType()	1	0000000e	0000000e	6	6	yes	1.0000
Community/src/AbstractSocket.cpp.o	_ZN15CAbstractSocketILi4096ELi4096EE26SetTriggerSessionEventTypeEi	CAbstractSocket<4096, 4096>::SetTriggerSessionEventType(int)	1	00000011	00000011	7	7	yes	1.0000
Community/src/AbstractSocket.cpp.o	_ZN15CAbstractSocketILi4096ELi4096EE5ResetEv	CAbstractSocket<4096, 4096>::Reset()	1	0000008e	0000008e	33	33	yes	1.0000
Community/src/AbstractSocket.cpp.o	_ZN15CAbstractSocketILi4096ELi4096EE9GetSocketEv	CAbstractSocket<4096, 4096>::GetSocket()	1	0000000a	0000000a	6	6	yes	1.0000
Community/src/AbstractSocket.cpp.o	_ZN15CAbstractSocketILi4096ELi4096EE9SetSocketEib	CAbstractSocket<4096, 4096>::SetSocket(int, bool)	1	00000041	0000003a	23	21	no	0.9130
Community/src/AbstractSocket.cpp.o	_ZN15CAbstractSocketILi4096ELi4096EEC1Ev	CAbstractSocket<4096, 4096>::CAbstractSocket()	1	00000054	00000054	20	20	yes	1.0000
Community/src/AbstractSocket.cpp.o	_ZN15CAbstractSocketILi4096ELi4096EEC2Ev	CAbstractSocket<4096, 4096>::CAbstractSocket()	1	00000054	00000054	0	0	no	0.0000
Community/src/AbstractSocket.cpp.o	_ZN15CAbstractSocketILi4096ELi4096EED1Ev	CAbstractSocket<4096, 4096>::~CAbstractSocket()	1	00000005	00000005	4	4	yes	1.0000
Community/src/AbstractSocket.cpp.o	_ZN15CAbstractSocketILi4096ELi4096EED2Ev	CAbstractSocket<4096, 4096>::~CAbstractSocket()	1	00000005	00000005	0	0	no	0.0000
Community/src/ArchiveLog.cpp.o	_ZN10ArchiveLogC1EPKcz	ArchiveLog::ArchiveLog(char const*, ...)	1	000000e0	000000e0	50	50	yes	1.0000
Community/src/ArchiveLog.cpp.o	_ZN10ArchiveLogC2EPKcz	ArchiveLog::ArchiveLog(char const*, ...)	1	000000e0	000000e0	0	0	no	0.0000
Community/src/ArchiveLog.cpp.o	_ZN11CArchiveLog13CreateLogFileEPKc	CArchiveLog::CreateLogFile(char const*)	1	0000002e	0000002e	16	16	yes	1.0000
Community/src/ArchiveLog.cpp.o	_ZN11CArchiveLog13CreateLogFileER8DateTime	CArchiveLog::CreateLogFile(DateTime&)	1	00000089	00000089	40	40	yes	1.0000
Community/src/ArchiveLog.cpp.o	_ZN11CArchiveLog8OpenFileEPKc	CArchiveLog::OpenFile(char const*)	1	0000004b	0000004a	26	26	no	0.8462
Community/src/ArchiveLog.cpp.o	_ZN11CArchiveLog8WriteLogEPKc	CArchiveLog::WriteLog(char const*)	1	00000132	0000011b	91	84	no	0.9121
Community/src/ArchiveLog.cpp.o	_ZN11CArchiveLog9CloseFileEv	CArchiveLog::CloseFile()	1	0000002c	0000002c	16	16	yes	1.0000
Community/src/ArchiveLog.cpp.o	_ZN11CArchiveLogC1Ev	CArchiveLog::CArchiveLog()	1	0000001f	0000001f	11	11	yes	1.0000
Community/src/ArchiveLog.cpp.o	_ZN11CArchiveLogC2Ev	CArchiveLog::CArchiveLog()	1	0000001f	0000001f	0	0	no	0.0000
Community/src/ArchiveLog.cpp.o	_ZN11CArchiveLogD1Ev	CArchiveLog::~CArchiveLog()	1	00000013	00000013	8	8	yes	1.0000
Community/src/ArchiveLog.cpp.o	_ZN11CArchiveLogD2Ev	CArchiveLog::~CArchiveLog()	1	00000013	00000013	0	0	no	0.0000
Community/src/BuddyManager.cpp.o	_ZN13CBuddyManager10find_buddyEcPKc	CBuddyManager::find_buddy(char, char const*)	1	000000ed	000000ed	70	70	yes	1.0000
Community/src/BuddyManager.cpp.o	_ZN13CBuddyManager8get_sizeEv	CBuddyManager::get_size()	1	00000013	00000013	8	8	yes	1.0000
Community/src/BuddyManager.cpp.o	_ZN13CBuddyManager9add_buddyER16STPvPBuddyDBInfo	CBuddyManager::add_buddy(STPvPBuddyDBInfo&)	1	0000001a	0000001a	10	10	yes	1.0000
Community/src/BuddyManager.cpp.o	_ZN13CBuddyManager9del_buddyEcPKc	CBuddyManager::del_buddy(char, char const*)	1	00000106	00000106	76	76	yes	1.0000
