file	symbol	demangled	in_original	orig_addr	orig_size	new_addr	new_size	orig_insns	new_insns	mnemonic_exact	mnemonic_overlap	call_mismatch	imm_mismatch
Community/src/AbstractSocket.cpp.o	_ZN15CAbstractSocketILi4096ELi4096EE10disconnectEv	CAbstractSocket<4096, 4096>::disconnect()	1	0x8050306	53	0x804aada	53	17	17	yes	1.0	no	no
Community/src/AbstractSocket.cpp.o	_ZN15CAbstractSocketILi4096ELi4096EE11ConnectPeerEv	CAbstractSocket<4096, 4096>::ConnectPeer()	1	0x80505dc	118	0x804a812	110	37	35	no	0.918918918918919	no	yes
Community/src/AbstractSocket.cpp.o	_ZN15CAbstractSocketILi4096ELi4096EE11GetRecvBuffEiRi	CAbstractSocket<4096, 4096>::GetRecvBuff(int, int&)	1	0x804fb2a	56	0x804ab10	56	22	22	yes	1.0	no	no
Community/src/AbstractSocket.cpp.o	_ZN15CAbstractSocketILi4096ELi4096EE11SetNonblockEi	CAbstractSocket<4096, 4096>::SetNonblock(int)	1	0x8050584	88	0x804b0ef	70	24	21	no	0.7916666666666666	no	yes
Community/src/AbstractSocket.cpp.o	_ZN15CAbstractSocketILi4096ELi4096EE11recv_packetEv	CAbstractSocket<4096, 4096>::recv_packet()	1	0x804f9d0	346	0x804ab60	342	104	102	no	0.9615384615384616	no	yes
Community/src/AbstractSocket.cpp.o	_ZN15CAbstractSocketILi4096ELi4096EE11send_packetEPKci	CAbstractSocket<4096, 4096>::send_packet(char const*, int)	1	0x804ff42	443	0x804af3c	435	117	116	no	0.9658119658119658	no	yes
Community/src/AbstractSocket.cpp.o	_ZN15CAbstractSocketILi4096ELi4096EE11send_packetEv	CAbstractSocket<4096, 4096>::send_packet()	1	0x804fc54	518	0x804ad44	503	138	135	no	0.9637681159420289	no	yes
Community/src/AbstractSocket.cpp.o	_ZN15CAbstractSocketILi4096ELi4096EE12AcceptSocketEv	CAbstractSocket<4096, 4096>::AcceptSocket()	1	0x804fe5a	174	0x804a6c4	215	50	57	no	0.8070175438596491	no	yes
Community/src/AbstractSocket.cpp.o	_ZN15CAbstractSocketILi4096ELi4096EE18CreateListenSocketERiiPKc	CAbstractSocket<4096, 4096>::CreateListenSocket(int&, int, char const*)	1	0x80500fd	331	0x804a954	389	86	103	no	0.7378640776699029	no	yes
Community/src/AbstractSocket.cpp.o	_ZN15CAbstractSocketILi4096ELi4096EE19SetRecvBufferOffsetEi	CAbstractSocket<4096, 4096>::SetRecvBufferOffset(int)	1	0x804fb62	241	0x804b136	239	72	71	no	0.9722222222222222	no	yes
Community/src/AbstractSocket.cpp.o	_ZN15CAbstractSocketILi4096ELi4096EE22CreateConnectionSocketEPKci	CAbstractSocket<4096, 4096>::CreateConnectionSocket(char const*, int)	1	0x8050248	190	0x804a880	212	49	59	no	0.7627118644067796	no	yes
Community/src/AbstractSocket.cpp.o	_ZN15CAbstractSocketILi4096ELi4096EE26AddTriggerSessionEventTypeEi	CAbstractSocket<4096, 4096>::AddTriggerSessionEventType(int)	1	0x8052e14	28	0x804a79c	28	10	10	yes	1.0	no	no
Community/src/AbstractSocket.cpp.o	_ZN15CAbstractSocketILi4096ELi4096EE26GetTriggerSessionEventTypeEv	CAbstractSocket<4096, 4096>::GetTriggerSessionEventType()	1	0x804cc18	14	0x804ab52	14	6	6	yes	1.0	no	no
Community/src/AbstractSocket.cpp.o	_ZN15CAbstractSocketILi4096ELi4096EE26SetTriggerSessionEventTypeEi	CAbstractSocket<4096, 4096>::SetTriggerSessionEventType(int)	1	0x804cbfc	17	0x804b268	17	7	7	yes	1.0	no	no
Community/src/AbstractSocket.cpp.o	_ZN15CAbstractSocketILi4096ELi4096EE5ResetEv	CAbstractSocket<4096, 4096>::Reset()	1	0x805048a	142	0x804acb6	142	33	33	yes	1.0	no	no
Community/src/AbstractSocket.cpp.o	_ZN15CAbstractSocketILi4096ELi4096EE9GetSocketEv	CAbstractSocket<4096, 4096>::GetSocket()	1	0x804cc0e	10	0x804ab48	10	6	6	yes	1.0	no	no
Community/src/AbstractSocket.cpp.o	_ZN15CAbstractSocketILi4096ELi4096EE9SetSocketEib	CAbstractSocket<4096, 4096>::SetSocket(int, bool)	1	0x804ff08	58	0x804b226	65	21	23	no	0.9130434782608695	no	yes
Community/src/AbstractSocket.cpp.o	_ZN15CAbstractSocketILi4096ELi4096EEC1Ev	CAbstractSocket<4096, 4096>::CAbstractSocket()	1	0x804f938	84	0x804a7b8	84	20	20	yes	1.0	no	no
Community/src/AbstractSocket.cpp.o	_ZN15CAbstractSocketILi4096ELi4096EED1Ev	CAbstractSocket<4096, 4096>::~CAbstractSocket()	1	0x804f98c	5	0x804a80c	5	4	4	yes	1.0	no	no
Community/src/ArchiveLog.cpp.o	_ZN10ArchiveLogC1EPKcz	ArchiveLog::ArchiveLog(char const*, ...)	1	0x804aa78	224	0x804b528	275	50	69	no	0.7101449275362319	no	yes
Community/src/ArchiveLog.cpp.o	_ZN11CArchiveLog13CreateLogFileEPKc	CArchiveLog::CreateLogFile(char const*)	1	0x804ad2a	46	0x804b3b4	46	16	16	yes	1.0	no	no
Community/src/ArchiveLog.cpp.o	_ZN11CArchiveLog13CreateLogFileER8DateTime	CArchiveLog::CreateLogFile(DateTime&)	1	0x804aca0	137	0x804b312	161	40	46	no	0.8043478260869565	no	yes
Community/src/ArchiveLog.cpp.o	_ZN11CArchiveLog8OpenFileEPKc	CArchiveLog::OpenFile(char const*)	1	0x804ac2a	74	0x804b2c6	75	26	26	no	0.8461538461538461	no	yes
Community/src/ArchiveLog.cpp.o	_ZN11CArchiveLog8WriteLogEPKc	CArchiveLog::WriteLog(char const*)	1	0x804ad58	283	0x804b3e2	306	84	91	no	0.9120879120879121	no	yes
Community/src/ArchiveLog.cpp.o	_ZN11CArchiveLog9CloseFileEv	CArchiveLog::CloseFile()	1	0x804ac74	44	0x804b29a	44	16	16	yes	1.0	no	no
Community/src/ArchiveLog.cpp.o	_ZN11CArchiveLogC1Ev	CArchiveLog::CArchiveLog()	1	0x804abf6	31	0x804b27a	31	11	11	yes	1.0	no	no
Community/src/ArchiveLog.cpp.o	_ZN11CArchiveLogD1Ev	CArchiveLog::~CArchiveLog()	1	0x804ac16	19	0x804b514	19	8	8	yes	1.0	no	no
Community/src/BuddyManager.cpp.o	_ZN13CBuddyManager10find_buddyEcPKc	CBuddyManager::find_buddy(char, char const*)	1	0x804b004	237	0x804b788	237	70	70	yes	1.0	no	no
Community/src/BuddyManager.cpp.o	_ZN13CBuddyManager8get_sizeEv	CBuddyManager::get_size()	1	0x8051d38	19	0x804b876	19	8	8	yes	1.0	no	no
Community/src/BuddyManager.cpp.o	_ZN13CBuddyManager9add_buddyER16STPvPBuddyDBInfo	CBuddyManager::add_buddy(STPvPBuddyDBInfo&)	1	0x804aee4	26	0x804b66a	26	10	10	yes	1.0	no	no
Community/src/BuddyManager.cpp.o	_ZN13CBuddyManager9del_buddyEcPKc	CBuddyManager::del_buddy(char, char const*)	1	0x804aefe	262	0x804b684	259	76	75	no	0.9605263157894737	no	yes
Community/src/BuddyManager.cpp.o	_ZN13CBuddyManagerC1ERKS_	CBuddyManager::CBuddyManager(CBuddyManager const&)	1	0x8054ed2	26	0x804b650	26	10	10	yes	1.0	no	no
Community/src/BuddyManager.cpp.o	_ZN13CBuddyManagerC1Ev	CBuddyManager::CBuddyManager()	1	0x8054ce6	19	0x804b63c	19	8	8	yes	1.0	no	no
Community/src/BuddyManager.cpp.o	_ZN9__gnu_cxx13new_allocatorI16STPvPBuddyDBInfoE10deallocateEPS1_j	__gnu_cxx::new_allocator<STPvPBuddyDBInfo>::deallocate(STPvPBuddyDBInfo*, unsigned int)	1	0x804bd94	19	0x804c6d2	19	8	8	yes	1.0	no	no
Community/src/BuddyManager.cpp.o	_ZN9__gnu_cxx13new_allocatorI16STPvPBuddyDBInfoE7destroyEPS1_	__gnu_cxx::new_allocator<STPvPBuddyDBInfo>::destroy(STPvPBuddyDBInfo*)	1	0x804ba80	19	0x804c3c8	19	8	8	yes	1.0	no	no
Community/src/BuddyManager.cpp.o	_ZN9__gnu_cxx13new_allocatorI16STPvPBuddyDBInfoE8allocateEjPKv	__gnu_cxx::new_allocator<STPvPBuddyDBInfo>::allocate(unsigned int, void const*)	1	0x804be1c	56	0x804c726	56	20	20	yes	1.0	no	no
Community/src/BuddyManager.cpp.o	_ZN9__gnu_cxx13new_allocatorI16STPvPBuddyDBInfoE9constructEPS1_RKS1_	__gnu_cxx::new_allocator<STPvPBuddyDBInfo>::construct(STPvPBuddyDBInfo*, STPvPBuddyDBInfo const&)	1	0x804b492	109	0x804bd8a	109	37	37	yes	1.0	no	no
Community/src/BuddyManager.cpp.o	_ZN9__gnu_cxx13new_allocatorI16STPvPBuddyDBInfoEC1ERKS2_	__gnu_cxx::new_allocator<STPvPBuddyDBInfo>::new_allocator(__gnu_cxx::new_allocator<STPvPBuddyDBInfo> const&)	1	0x8055d04	5	0x804c8e2	5	4	4	yes	1.0	no	no
Community/src/BuddyManager.cpp.o	_ZN9__gnu_cxx13new_allocatorI16STPvPBuddyDBInfoEC1Ev	__gnu_cxx::new_allocator<STPvPBuddyDBInfo>::new_allocator()	1	0x8055b6a	5	0x804c8ca	5	4	4	yes	1.0	no	no
Community/src/BuddyManager.cpp.o	_ZN9__gnu_cxx13new_allocatorI16STPvPBuddyDBInfoED1Ev	__gnu_cxx::new_allocator<STPvPBuddyDBInfo>::~new_allocator()	1	0x8051ea6	5	0x804c6cc	5	4	4	yes	1.0	no	no
Community/src/BuddyManager.cpp.o	_ZN9__gnu_cxx17__normal_iteratorIP16STPvPBuddyDBInfoSt6vectorIS1_SaIS1_EEEC1ERKS2_	__gnu_cxx::__normal_iterator<STPvPBuddyDBInfo*, std::vector<STPvPBuddyDBInfo, std::allocator<STPvPBuddyDBInfo> > >::__normal_iterator(STPvPBuddyDBInfo* const&)	1	0x804b7fa	15	0x804c148	15	8	8	yes	1.0	no	no
Community/src/BuddyManager.cpp.o	_ZN9__gnu_cxx17__normal_iteratorIP16STPvPBuddyDBInfoSt6vectorIS1_SaIS1_EEEppEv	__gnu_cxx::__normal_iterator<STPvPBuddyDBInfo*, std::vector<STPvPBuddyDBInfo, std::allocator<STPvPBuddyDBInfo> > >::operator++()	1	0x804bcf6	21	0x804c634	21	10	10	yes	1.0	no	no
Community/src/BuddyManager.cpp.o	_ZN9__gnu_cxx17__normal_iteratorIPK16STPvPBuddyDBInfoSt6vectorIS1_SaIS1_EEEC1ERKS3_	__gnu_cxx::__normal_iterator<STPvPBuddyDBInfo const*, std::vector<STPvPBuddyDBInfo, std::allocator<STPvPBuddyDBInfo> > >::__normal_iterator(STPvPBuddyDBInfo const* const&)	1	0x8055a92	15	0x804c4ca	15	8	8	yes	1.0	no	no
