node	downstream_nodes	direct_deps	depending_tus
DNFServer/GameServer/ServerLab/AppCommon/AuctionCommon/ServiceError.cpp	1	1	0
DNFServer/GameServer/ServerLab/ServerLib/basic_source/Script.h	0	3	30
DNFServer/GameServer/ServerLab/ServerLib/common_source/CommonDataPool.cpp	32	7	0
DNFServer/GameServer/ServerLab/ServerLib/common_source/TimeManager.cpp	36	8	0
DNFServer/GameServer/ServerLab/ServerLib/common_source/InterDispatcher.cpp	33	8	0
DNFServer/GameServer/ServerLab/ServerLib/common_source/InterDispatcher.h	0	0	3
shared/common/include/DBTransactionDesign.h	0	2	32
DNFServer/GameServer/ServerLab/ServerLib/common_source/ActiveNetClose.cpp	15	4	0
DNFServer/GameServer/ServerLab/ServerLib/basic_source/WorkThread.cpp	41	15	0
DNFServer/GameServer/ServerLab/ServerLib/basic_source/TCPSocket.h	0	0	28
DNFServer/GameServer/ServerLab/Auction/AuctionServer/GameData/GameDataPool.h	0	4	6
DNFServer/GameServer/ServerLab/ServerLib/common_source/Dispatchers.h	0	0	26
DNFServer/GameServer/ServerLab/ServerLib/common_source/Reactor.h	0	6	26
DNFServer/GameServer/ServerLab/ServerLib/common_source/IArea.h	0	0	9
DNFServer/GameServer/ServerLab/ServerLib/basic_source/GetMessageBuffer.h	0	1	1
DNFServer/GameServer/ServerLab/Auction/AuctionServer/GameData/IState.h	0	0	5
DNFServer/GameServer/ServerLab/Auction/AuctionServer/GameData/auction/dictionary/AuctionDictionary.cpp	41	11	0
DNFServer/GameServer/ServerLab/Auction/AuctionServer/GameData/auction/dictionary/AveragePriceDictionary.cpp	9	2	0
DNFServer/GameServer/ServerLab/Auction/AuctionServer/GameData/auction/Auction.h	0	7	9
DNFServer/GameServer/ServerLab/Auction/AuctionServer/GameData/auction/dictionary/Search.cpp	17	6	0
DNFServer/GameServer/ServerLab/ServerLib/basic_source/System.h	0	0	36
DNFServer/ServerCommon/CFileLogWriterBase.cpp	2	1	0
shared/common/include/PacketDesign.h	0	0	31
DNFServer/GameServer/ServerLab/ServerLib/basic_source/RecvBuffer.cpp	32	7	0
DNFServer/GameServer/ServerLab/ServerLib/basic_source/GlobalInstance.h	0	1	38
DNFServer/GameServer/ServerLab/AppCommon/AuctionCommon/ServiceError.h	0	0	9
DNFServer/GameServer/ServerLab/Auction/AuctionServer/GameData/auction/dictionary/ReliabilityDictionary.h	0	0	1
DNFServer/GameServer/ServerLab/ServerLib/common_source/DBConnection.h	0	1	5
DNFServer/GameServer/ServerLab/ServerLib/common_source/TCPDispatcher.cpp	32	8	0
DNFServer/GameServer/ServerLab/ServerLib/basic_source/DataPool.h	0	2	26
DNFServer/GameServer/ServerLab/Auction/AuctionServer/GameData/Zone.h	0	1	8
DNFServer/GameServer/ServerLab/ServerLib/basic_source/ThreadLock.h	0	0	41
shared/common/include/DNFPacket.h	0	1	1
DNFServer/GameServer/ServerLab/Auction/AuctionServer/auction_source/HandlerFor_GA_.cpp	55	15	0
shared/common/include/SendBuffer.h	0	0	29
DNFServer/GameServer/ServerLab/Auction/AuctionServer/GameData/auction/AuctionItem.h	0	0	34
DNFServer/GameServer/ServerLab/Auction/AuctionServer/auction_source/HandlerFor_GP_JPN.cpp	55	15	0
DNFServer/ServerCommon/DNFFileLog.cpp	3	2	0
DNFServer/GameServer/ServerLab/Auction/AuctionServer/GameData/auction/dictionary/AveragePriceDictionary.h	0	2	10
DNFServer/GameServer/ServerLab/ServerLib/basic_source/WorkThread.h	0	1	12
DNFServer/GameServer/ServerLab/ServerLib/basic_source/Method.h	0	0	3
DNFServer/GameServer/ServerLab/ServerLib/basic_source/Script.cpp	4	1	0
DNFServer/GameServer/ServerLab/Auction/AuctionServer/auction_source/HandlerFor_GA_.h	0	3	2
shared/common/include/AuctionPacket.h	0	2	9
DNFServer/GameServer/ServerLab/Auction/AuctionServer/auction_source/HandlerFor_DB_.cpp	52	19	0
DNFServer/GameServer/ServerLab/Auction/AuctionServer/GameData/auction/dictionary/ReliabilityDictionary.cpp	2	2	0
DNFServer/GameServer/ServerLab/ServerLib/basic_source/stdafx.h	0	0	3
