node	downstream_nodes	direct_deps	depending_tus
ChannelOld/DNFChannelBridge/DNFChannelBridge.cpp	17	6	0
ChannelOld/DNFChannelBridge/GlobalInstance.h	0	1	14
ChannelOld/DNFChannelBridge/UDPThread.cpp	10	2	0
ChannelOld/DNFChannelBridge/Thread.cpp	5	3	0
ChannelOld/DNFChannelBridge/DNFServerCommon/DNFFunctionLib.cpp	1	1	0
ChannelOld/DNFChannelBridge/ChannelService.cpp	14	7	0
ChannelOld/DNFChannelBridge/LinuxService.h	0	1	1
ChannelOld/DNFChannelBridge/Globals.h	0	1	1
ChannelOld/DNFChannelBridge/DBMgr.cpp	11	3	0
ChannelOld/DNFChannelBridge/SocketSystem.h	0	0	1
ChannelOld/DNFChannelBridge/ScriptData.cpp	1	1	0
ChannelOld/DNFChannelBridge/Globals.cpp	11	2	0
ChannelOld/DNFChannelBridge/TCPThread.cpp	10	2	0
ChannelOld/DNFChannelBridge/ThreadLock.h	0	1	14
ChannelOld/DNFChannelBridge/TCPUser.cpp	10	2	0
ChannelOld/DNFChannelBridge/CheckThread.h	0	1	1
ChannelOld/DNFChannelBridge/ScriptRawData.cpp	2	1	0
ChannelOld/DNFChannelBridge/TCPUser.h	0	0	1
ChannelOld/DNFChannelBridge/stdafx.h	0	0	18
ChannelOld/DNFChannelBridge/DNFServerCommon/DNFFunctionLib.h	0	0	1
ChannelOld/DNFChannelBridge/DNFChannelBridge.h	0	2	1
ChannelOld/DNFChannelBridge/ChannelService.h	0	0	1
ChannelOld/DNFChannelBridge/Thread.h	0	2	14
ChannelOld/DNFChannelBridge/Socket.cpp	10	2	0
ChannelOld/DNFChannelBridge/TCPThread.h	0	1	2
ChannelOld/DNFChannelBridge/Reactor.h	0	3	13
ChannelOld/DNFChannelBridge/Token.cpp	2	1	0
ChannelOld/DNFChannelBridge/Script.h	0	3	2
ChannelOld/DNFChannelBridge/Token.h	0	1	3
ChannelOld/DNFChannelBridge/UDPHandler.cpp	9	1	0
ChannelOld/DNFChannelBridge/CheckThread.cpp	11	2	0
ChannelOld/DNFChannelBridge/ScriptThread.cpp	12	3	0
ChannelOld/DNFChannelBridge/DebugLog.h	0	2	13
ChannelOld/DNFChannelBridge/DBMgr.h	0	0	2
ChannelOld/DNFChannelBridge/Script.cpp	6	3	0
ChannelOld/DNFChannelBridge/Exception.h	0	1	14
ChannelOld/DNFChannelBridge/TCPHandler.cpp	9	1	0
ChannelOld/DNFChannelBridge/ChannelServiceApp.h	0	8	13
ChannelOld/DNFChannelBridge/Service.cpp	2	1	0
ChannelOld/DNFChannelBridge/ScriptData.h	0	0	6
ChannelOld/DNFChannelBridge/Socket.h	0	1	5
ChannelOld/DNFChannelBridge/ScriptThread.h	0	1	2
ChannelOld/DNFChannelBridge/TCPAcceptThread.cpp	10	2	0
ChannelOld/DNFChannelBridge/System.h	0	1	14
ChannelOld/DNFChannelBridge/ScriptRawData.h	0	1	3
ChannelOld/DNFChannelBridge/Method.h	0	0	1
ChannelOld/DNFChannelBridge/Service.h	0	1	2
