file	diff	near	missing	sum
ChannelOld/DNFChannelBridge/ChannelService.cpp	7	54	0	61
ChannelOld/DNFChannelBridge/CheckThread.cpp	1	9	0	10
ChannelOld/DNFChannelBridge/DBMgr.cpp	1	3	0	4
ChannelOld/DNFChannelBridge/DNFChannelBridge.cpp	0	15	0	15
ChannelOld/DNFChannelBridge/DNFServerCommon/DNFFunctionLib.cpp	2	1	0	3
ChannelOld/DNFChannelBridge/Globals.cpp	0	1	0	1
ChannelOld/DNFChannelBridge/Script.cpp	0	6	0	6
ChannelOld/DNFChannelBridge/ScriptData.cpp	0	1	0	1
ChannelOld/DNFChannelBridge/ScriptRawData.cpp	0	3	0	3
ChannelOld/DNFChannelBridge/ScriptThread.cpp	1	2	0	3
ChannelOld/DNFChannelBridge/Service.cpp	0	16	0	16
ChannelOld/DNFChannelBridge/Socket.cpp	1	9	0	10
ChannelOld/DNFChannelBridge/TCPAcceptThread.cpp	1	4	0	5
ChannelOld/DNFChannelBridge/TCPHandler.cpp	0	3	0	3
ChannelOld/DNFChannelBridge/TCPThread.cpp	2	4	0	6
ChannelOld/DNFChannelBridge/TCPUser.cpp	2	7	0	9
ChannelOld/DNFChannelBridge/Thread.cpp	0	3	0	3
ChannelOld/DNFChannelBridge/Token.cpp	0	2	0	2
ChannelOld/DNFChannelBridge/UDPHandler.cpp	0	2	0	2
ChannelOld/DNFChannelBridge/UDPThread.cpp	1	2	0	3
