file	diff	near	missing	sum
ChannelOld/DNFChannelServer/ChannelService.cpp	8	40	0	48
ChannelOld/DNFChannelServer/CheckThread.cpp	0	8	0	8
ChannelOld/DNFChannelServer/DNFChannelServer.cpp	0	9	0	9
ChannelOld/DNFChannelServer/Script.cpp	0	5	0	5
ChannelOld/DNFChannelServer/ScriptData.cpp	0	1	0	1
ChannelOld/DNFChannelServer/ScriptRawData.cpp	0	2	0	2
ChannelOld/DNFChannelServer/Service.cpp	0	13	0	13
ChannelOld/DNFChannelServer/Socket.cpp	1	10	0	11
ChannelOld/DNFChannelServer/TCPAcceptThread.cpp	0	1	0	1
ChannelOld/DNFChannelServer/TCPThread.cpp	2	5	0	7
ChannelOld/DNFChannelServer/TCPUser.cpp	0	9	0	9
ChannelOld/DNFChannelServer/Thread.cpp	0	1	0	1
ChannelOld/DNFChannelServer/Token.cpp	0	2	0	2
ChannelOld/DNFChannelServer/UDPHandler.cpp	0	1	0	1
ChannelOld/DNFChannelServer/UDPThread.cpp	1	0	0	1
