node	downstream_nodes	direct_deps	depending_tus
shared/packet/include/Packet_Response_PvP_Buddy_Conn_List.h	0	2	1
Community/src/Epoll.cpp	13	3	0
Community/src/SessionManager.h	0	4	2
DNFServer/ServerCommon/Thread.h	0	0	4
shared/packet/include/Packet_Notice_PvP_Buddy_In_Out.h	0	1	1
Community/src/global.cpp	25	12	0
shared/packet/include/Packet_Notice_Add_PvP_Buddy_Result.h	0	1	1
Community/src/DateTime.h	0	1	16
Community/src/main.cpp	20	8	0
shared/packet/src/STPvPBuddyDBInfo.cpp	2	1	0
Community/src/ArchiveLog.h	0	1	15
Community/src/ConfigFileReader.h	0	1	2
Community/src/FindUser.h	0	1	2
shared/packet/include/Packet_Delete_PvP_Buddy.h	0	1	1
shared/packet/include/Packet_Monitor_Other_Channel_Chat_Hyper_Link.h	0	1	5
Community/src/CPacketParser.cpp	3	3	0
Community/src/GuildConstants.h	0	0	7
Community/src/CPacketParser.h	0	0	1
shared/packet/include/Packet_Request_PvP_Buddy_Conn_List.h	0	1	1
shared/packet/include/Packet_Insert_PvP_Buddy.h	0	2	1
Community/src/global.h	0	2	13
Community/src/UserManager.cpp	20	5	0
Community/src/User.cpp	30	17	0
Community/src/CoreDump.h	0	0	2
shared/packet/include/Packet_Response_Add_PvP_Buddy.h	0	1	1
Community/src/CommonConstants.h	0	0	16
Community/src/FindUser.cpp	17	1	0
Community/src/FindBuddy.h	0	1	2
Community/src/DateTime.cpp	4	3	0
Community/src/ProcessManager.h	0	0	2
shared/packet/include/Packet_Notice_Request_Add_PvP_Buddy.h	0	1	1
shared/packet/include/Packet_Community_Logout.h	0	1	1
Community/src/SessionProxy.cpp	16	4	0
Community/src/UserManager.h	0	2	13
Community/src/Epoll.h	0	3	4
shared/packet/include/Packet_Monitor_Other_Channel_Chat.h	0	1	5
shared/packet/include/STPvPBuddyDBInfo.h	0	1	16
Community/src/ProcessManager.cpp	4	4	0
Community/src/PacketDispatcher.h	0	2	11
shared/packet/include/Packet_Community_Login.h	0	3	1
Community/src/GlobalObjects.cpp	18	4	0
shared/packet/include/Packet_Response_Remove_PvP_Buddy.h	0	1	1
Community/src/SessionProxy.h	0	1	3
DNFServer/ServerCommon/DNFFunctionLib.cpp	3	2	0
Community/src/ISessionManager.h	0	2	10
Community/src/AbstractSocket.cpp	4	2	0
shared/packet/src/STGameUserInfo.cpp	1	1	0
Community/src/BuddyManager.h	0	1	6
Community/src/PacketDispatcher.cpp	10	3	0
Community/src/SessionManager.cpp	18	6	0
Community/src/AbstractSocket.h	0	1	11
Community/src/ConfigFileReader.cpp	4	3	0
DNFServer/ServerCommon/CFileLogWriterBase.cpp	2	1	0
shared/packet/src/PacketHeader.cpp	2	1	0
shared/common/include/ReverseEngineerLib.h	0	0	21
Community/src/BuddyManager.cpp	7	5	0
Community/src/User.h	0	6	5
DNFServer/ServerCommon/DNFFileLog.h	0	1	3
DNFServer/ServerCommon/DNFFunctionLib.h	0	0	18
Community/src/ArchiveLog.cpp	5	3	0
Community/src/FindBuddy.cpp	3	1	0
shared/packet/include/Packet_Request_Remove_PvP_Buddy.h	0	1	1
shared/packet/include/Packet_Request_Add_PvP_Buddy.h	0	1	1
Community/src/NetworkSession.cpp	15	6	0
shared/packet/include/Packet_Monitor_Other_Channel_Chat_ToUser.h	0	1	1
Community/src/CoreDump.cpp	10	4	0
DNFServer/ServerCommon/Thread.cpp	1	1	0
Community/src/NetworkSession.h	0	3	10
DNFServer/ServerCommon/DNFFileLog.cpp	3	2	0
Community/src/global_function.cpp	7	1	0
shared/packet/include/PacketHeader.h	0	1	11
shared/packet/include/STGameUserInfo.h	0	0	14
shared/packet/include/PvPBuddyInfo.h	0	1	1
shared/packet/include/Packet_Update_PvP_Buddy.h	0	1	1
shared/packet/include/Packet_Monitor_Other_Channel_Chat_ToUser_Hyper_Link.h	0	1	1
