file	diff	near	missing	sum
Community/ArchiveLog.cpp	13	0	0	13
Community/BuddyManager.cpp	13	0	0	13
Community/CommunityServer.cpp	4	0	0	4
Community/ConfigFileReader.cpp	9	0	0	9
Community/CoreDump.cpp	7	0	0	7
Community/GlobalFunction.cpp	1	0	0	1
Community/NetworkSession.cpp	36	1	2	39
Community/PacketDispatcher.cpp	4	0	0	4
Community/PacketParser.cpp	4	0	0	4
Community/PacketProc.cpp	14	1	1	16
Community/ProcessManager.cpp	9	0	0	9
Community/SessionManager.cpp	32	0	0	32
Community/User.cpp	46	0	0	46
Community/UserManager.cpp	8	0	0	8
Community/rand_r.cpp	1	0	0	1
DNFServer/ServerCommon/CFileLogWriterBase.cpp	5	0	0	5
DNFServer/ServerCommon/DNFFileLog.cpp	17	0	0	17
DNFServer/ServerCommon/DNFFunctionLib.cpp	28	0	1	29
DNFServer/ServerCommon/Thread.cpp	11	0	0	11
shared/packet/src/PacketHeader.cpp	2	0	0	2
shared/packet/src/STGameUserInfo.cpp	2	0	0	2
shared/packet/src/STPvPBuddyDBInfo.cpp	2	0	0	2
