header	shared	depending_tus	direct_included_by
Community/ArchiveLog.h	True	6	1
Community/BuddyManager.h	True	5	1
Community/CommonConstants.h	True	13	0
Community/CommunityServer.h	False	1	0
Community/ConfigFileReader.h	True	2	1
Community/CoreDump.h	True	2	0
Community/GlobalFunction.h	True	2	0
Community/GlobalInstance.h	True	2	0
Community/GuildConstants.h	True	7	0
Community/NetworkSession.h	True	6	2
Community/PacketDispatcher.h	True	5	2
Community/PacketParser.h	False	1	0
Community/PacketProc.h	True	5	0
Community/ProcessManager.h	True	2	0
Community/SessionManager.h	True	3	3
Community/User.h	True	4	6
Community/UserManager.h	True	4	3
Community/rand_r.h	False	1	0
DNFServer/ServerCommon/DNFFileLog.h	True	3	1
DNFServer/ServerCommon/DNFFunctionLib.h	True	17	0
DNFServer/ServerCommon/Thread.h	True	4	0
shared/common/include/ReverseEngineerLib.h	True	12	0
shared/packet/include/PacketHeader.h	True	7	1
shared/packet/include/Packet_Community_Login.h	False	1	3
shared/packet/include/Packet_Community_Logout.h	False	1	1
shared/packet/include/Packet_Delete_PvP_Buddy.h	False	1	1
shared/packet/include/Packet_Insert_PvP_Buddy.h	False	1	2
shared/packet/include/Packet_Monitor_Other_Channel_Chat.h	True	4	1
shared/packet/include/Packet_Monitor_Other_Channel_Chat_Hyper_Link.h	True	4	1
shared/packet/include/Packet_Monitor_Other_Channel_Chat_ToUser.h	False	1	1
shared/packet/include/Packet_Monitor_Other_Channel_Chat_ToUser_Hyper_Link.h	False	1	1
shared/packet/include/Packet_Notice_Add_PvP_Buddy_Result.h	False	1	1
shared/packet/include/Packet_Notice_PvP_Buddy_In_Out.h	False	1	1
shared/packet/include/Packet_Notice_Request_Add_PvP_Buddy.h	False	1	1
shared/packet/include/Packet_Request_Add_PvP_Buddy.h	False	1	1
shared/packet/include/Packet_Request_PvP_Buddy_Conn_List.h	False	1	1
shared/packet/include/Packet_Request_Remove_PvP_Buddy.h	False	1	1
shared/packet/include/Packet_Response_Add_PvP_Buddy.h	False	1	1
shared/packet/include/Packet_Response_PvP_Buddy_Conn_List.h	False	1	2
shared/packet/include/Packet_Response_Remove_PvP_Buddy.h	False	1	1
shared/packet/include/Packet_Update_PvP_Buddy.h	False	1	1
shared/packet/include/PvPBuddyInfo.h	False	1	1
shared/packet/include/STGameUserInfo.h	True	5	0
shared/packet/include/STPvPBuddyDBInfo.h	True	6	1
