file	diff	near	missing	sum
DNFServer/ServerCommon/CFileLogWriterBase.cpp	0	2	0	2
DNFServer/ServerCommon/DNFFileLog.cpp	5	5	0	10
DNFServer/ServerCommon/DNFFunctionLib.cpp	6	2	0	8
DNFServer/ServerCommon/Thread.cpp	1	0	0	1
coserver/CoserverApp.cpp	12	8	0	20
coserver/CoserverInit.cpp	4	6	0	10
coserver/CoserverMisc.cpp	18	6	0	24
coserver/CoserverPacket.cpp	13	3	0	16
coserver/CoserverServer.cpp	14	3	0	17
coserver/CoserverSignal.cpp	13	17	0	30
coserver/CoserverTable.cpp	7	6	0	13
coserver/CoserverThread.cpp	10	5	0	15
coserver/CoserverUdp.cpp	8	0	0	8
coserver/CoserverUser.cpp	3	0	0	3
