file	diff	near	missing	sum
DNFServer/ServerCommon/CFileLogWriterBase.cpp	0	2	0	2
DNFServer/ServerCommon/DNFFileLog.cpp	5	5	0	10
DNFServer/ServerCommon/DNFFunctionLib.cpp	12	7	0	19
dbmw/CAppConfig.cpp	22	13	0	35
dbmw/CDBManager.cpp	200	10	0	210
dbmw/CFrameCountHandler.cpp	5	0	0	5
dbmw/CMisc.cpp	7	1	0	8
dbmw/CMySql.cpp	24	7	0	31
dbmw/CNetworkThread.cpp	10	2	0	12
dbmw/CPacketCounter.cpp	5	0	0	5
dbmw/CPacketTracer.cpp	13	3	0	16
dbmw/CPacketTranslater.cpp	120	1	0	121
dbmw/CPeer.cpp	9	2	0	11
dbmw/CQueryCounter.cpp	7	0	0	7
dbmw/CServer.cpp	8	0	0	8
dbmw/CServerHandler.cpp	7	1	0	8
dbmw/CSignal.cpp	13	18	0	31
dbmw/CTcpHandler.cpp	8	1	0	9
dbmw/CTcpNetSystem.cpp	15	1	0	16
dbmw/CTcpServer.cpp	2	1	0	3
dbmw/CThreadInterface.cpp	1	3	0	4
dbmw/CUdpHandler.cpp	7	0	0	7
dbmw/EpollHandler.cpp	11	3	0	14
dbmw/ManagerApp.cpp	18	5	0	23
dbmw/MemPool.cpp	22	19	0	41
dbmw/ServerXmlDbmw.cpp	1	4	0	5
dbmw/StackBuffer.cpp	5	0	0	5
dbmw/TCPSocket.cpp	20	4	0	24
dbmw/TimeTimer.cpp	4	4	0	8
