node	downstream_nodes	direct_deps	depending_tus
Library3rd/MySQL/include/my_dir.h	0	0	1
Library3rd/MySQL/include/my_config.h	0	0	3
Library3rd/MySQL/include/mysql_version.h	0	0	2
shared/packet/include/Packet_Web_Notice_Single.h	0	1	2
shared/packet/include/Packet_Monitor_Event_End.h	0	1	2
shared/packet/include/Packet_Web_Prohibit_User_Connect.h	0	1	2
Library3rd/MySQL/include/sha1.h	0	0	0
Library3rd/MySQL/include/my_nosys.h	0	0	1
DNFServer/ServerCommon/DNFFileLog.h	0	1	5
DNFServer/ServerCommon/DNFFunctionLib.h	0	0	4
shared/packet/include/Packet_Monitor_Event_Start.h	0	1	2
Library3rd/MySQL/include/m_ctype.h	0	2	2
Library3rd/MySQL/mysys/mysys_priv.h	0	4	1
shared/packet/include/Packet_InnerPakcet_Logout.h	0	1	2
manager/ManagerApp.cpp	22	3	0
shared/packet/include/Packet_Web_Notice_InGame_Advertisement.h	0	1	2
Library3rd/MySQL/strings/dtoa.c	18	3	0
shared/packet/include/Packet_InnerPakcet_Login.h	0	1	2
shared/packet/include/PacketHeader.h	0	1	2
Library3rd/MySQL/include/my_time.h	7	2	0
Library3rd/MySQL/mysys/my_thr_init.c	16	2	0
Library3rd/MySQL/include/my_list.h	0	0	3
DNFServer/ServerCommon/DNFFunctionLib.cpp	3	2	0
Library3rd/MySQL/include/my_no_pthread.h	0	0	1
Library3rd/MySQL/include/my_pthread.h	0	1	2
Library3rd/MySQL/include/my_dbug.h	0	0	3
Library3rd/MySQL/include/my_charsets.h	0	0	3
manager/ManagerTypes.cpp	22	4	0
Library3rd/MySQL/include/mysql_time.h	0	0	3
DNFServer/ServerCommon/DNFFileLog.cpp	3	2	0
Library3rd/MySQL/include/my_base.h	0	6	1
Library3rd/MySQL/include/config-win.h	0	0	3
Library3rd/MySQL/include/my_global.h	0	5	3
Library3rd/MySQL/include/my_alloc.h	0	0	4
manager/ManagerApp.h	0	2	2
shared/packet/include/Packet_Monitor_Manager_Connect_OK.h	0	1	2
DNFServer/ServerCommon/CFileLogWriterBase.cpp	2	1	0
Library3rd/MySQL/include/mysql_com.h	0	0	2
Library3rd/MySQL/include/my_attribute.h	0	0	3
Library3rd/MySQL/include/m_string.h	0	0	2
shared/common/include/ReverseEngineerLib.h	0	0	2
Library3rd/MySQL/include/my_sys.h	0	4	2
Library3rd/MySQL/extlib/zlib/trees.h	0	0	0
DNFServer/ServerCommon/Thread.h	0	0	8
manager/ManagerTypes.h	0	11	2
DNFServer/ServerCommon/Thread.cpp	1	1	0
Library3rd/MySQL/include/t_ctype.h	0	0	2
Library3rd/MySQL/include/typelib.h	0	1	4
Library3rd/MySQL/include/mysql.h	0	6	2
