header	shared	depending_tus	direct_included_by
DNFServer/ServerCommon/DNFFileLog.h	True	5	1
DNFServer/ServerCommon/DNFFunctionLib.h	True	4	0
DNFServer/ServerCommon/Thread.h	True	8	0
Library3rd/MySQL/extlib/zlib/trees.h	False	0	0
Library3rd/MySQL/include/config-win.h	True	3	0
Library3rd/MySQL/include/m_ctype.h	True	2	2
Library3rd/MySQL/include/m_string.h	True	2	0
Library3rd/MySQL/include/my_alloc.h	True	4	0
Library3rd/MySQL/include/my_attribute.h	True	3	0
Library3rd/MySQL/include/my_base.h	False	1	6
Library3rd/MySQL/include/my_charsets.h	True	3	0
Library3rd/MySQL/include/my_config.h	True	3	0
Library3rd/MySQL/include/my_dbug.h	True	3	0
Library3rd/MySQL/include/my_dir.h	False	1	0
Library3rd/MySQL/include/my_global.h	True	3	5
Library3rd/MySQL/include/my_list.h	True	3	0
Library3rd/MySQL/include/my_no_pthread.h	False	1	0
Library3rd/MySQL/include/my_nosys.h	False	1	0
Library3rd/MySQL/include/my_pthread.h	True	2	1
Library3rd/MySQL/include/my_sys.h	True	2	4
Library3rd/MySQL/include/my_time.h	False	0	2
Library3rd/MySQL/include/mysql.h	True	2	6
Library3rd/MySQL/include/mysql_com.h	True	2	0
Library3rd/MySQL/include/mysql_time.h	True	3	0
Library3rd/MySQL/include/mysql_version.h	True	2	0
Library3rd/MySQL/include/sha1.h	False	0	0
Library3rd/MySQL/include/t_ctype.h	True	2	0
Library3rd/MySQL/include/typelib.h	True	4	1
Library3rd/MySQL/mysys/mysys_priv.h	False	1	4
manager/ManagerApp.h	True	2	2
manager/ManagerTypes.h	True	2	11
shared/common/include/ReverseEngineerLib.h	True	2	0
shared/packet/include/PacketHeader.h	True	2	1
shared/packet/include/Packet_InnerPakcet_Login.h	True	2	1
shared/packet/include/Packet_InnerPakcet_Logout.h	True	2	1
shared/packet/include/Packet_Monitor_Event_End.h	True	2	1
shared/packet/include/Packet_Monitor_Event_Start.h	True	2	1
shared/packet/include/Packet_Monitor_Manager_Connect_OK.h	True	2	1
shared/packet/include/Packet_Web_Notice_InGame_Advertisement.h	True	2	1
shared/packet/include/Packet_Web_Notice_Single.h	True	2	1
shared/packet/include/Packet_Web_Prohibit_User_Connect.h	True	2	1
