file	diff	near	missing	sum
DNFServer/GameServer/ServerLab/AppCommon/AuctionCommon/ServiceError.cpp	0	3	0	3
DNFServer/GameServer/ServerLab/Auction/AuctionServer/GameData/AuctionString.cpp	1	0	0	1
DNFServer/GameServer/ServerLab/Auction/AuctionServer/GameData/Character.cpp	0	18	0	18
DNFServer/GameServer/ServerLab/Auction/AuctionServer/GameData/DNFFunctionLibWrapper.cpp	2	0	0	2
DNFServer/GameServer/ServerLab/Auction/AuctionServer/GameData/GameDataPool.cpp	0	9	0	9
DNFServer/GameServer/ServerLab/Auction/AuctionServer/GameData/ServerLibrary2.0.cpp	4	28	0	32
DNFServer/GameServer/ServerLab/Auction/AuctionServer/GameData/StatisticsCollector.cpp	0	8	0	8
DNFServer/GameServer/ServerLab/Auction/AuctionServer/GameData/Zone.cpp	0	4	0	4
DNFServer/GameServer/ServerLab/Auction/AuctionServer/GameData/auction/Auction.cpp	2	25	0	27
DNFServer/GameServer/ServerLab/Auction/AuctionServer/GameData/auction/dictionary/AuctionDictionary.cpp	8	14	0	22
DNFServer/GameServer/ServerLab/Auction/AuctionServer/GameData/auction/dictionary/AveragePriceDictionary.cpp	0	5	0	5
DNFServer/GameServer/ServerLab/Auction/AuctionServer/GameData/auction/dictionary/CharacterDictionary.cpp	0	2	0	2
DNFServer/GameServer/ServerLab/Auction/AuctionServer/GameData/auction/dictionary/ExpireTimeDictionary.cpp	0	2	0	2
DNFServer/GameServer/ServerLab/Auction/AuctionServer/GameData/auction/dictionary/ReliabilityDictionary.cpp	0	2	0	2
DNFServer/GameServer/ServerLab/Auction/AuctionServer/GameData/auction/dictionary/Search.cpp	5	21	0	26
DNFServer/GameServer/ServerLab/Auction/AuctionServer/GameData/version.cpp	0	1	0	1
DNFServer/GameServer/ServerLab/Auction/AuctionServer/auction_source/HandlerFor_DB_.cpp	5	19	0	24
DNFServer/GameServer/ServerLab/Auction/AuctionServer/auction_source/HandlerFor_GA_.cpp	11	8	0	19
DNFServer/GameServer/ServerLab/Auction/AuctionServer/auction_source/HandlerFor_GP_JPN.cpp	8	7	0	15
DNFServer/GameServer/ServerLab/Auction/AuctionServer/auction_source/HandlerFor_TE_.cpp	1	7	0	8
DNFServer/GameServer/ServerLab/Auction/AuctionServer/auction_source/InterHandler.cpp	0	3	0	3
DNFServer/GameServer/ServerLab/Auction/AuctionServer/auction_source/TeaInitialize.cpp	0	5	0	5
DNFServer/GameServer/ServerLab/ServerLib/basic_source/DataPool.cpp	0	2	0	2
DNFServer/GameServer/ServerLab/ServerLib/basic_source/LinuxService.cpp	0	19	0	19
DNFServer/GameServer/ServerLab/ServerLib/basic_source/RecvBuffer.cpp	2	2	0	4
DNFServer/GameServer/ServerLab/ServerLib/basic_source/Script.cpp	0	3	0	3
DNFServer/GameServer/ServerLab/ServerLib/basic_source/Socket.cpp	2	10	0	12
DNFServer/GameServer/ServerLab/ServerLib/basic_source/System.cpp	1	0	0	1
DNFServer/GameServer/ServerLab/ServerLib/basic_source/TCPUser.cpp	3	5	0	8
DNFServer/GameServer/ServerLab/ServerLib/basic_source/Thread.cpp	0	3	0	3
DNFServer/GameServer/ServerLab/ServerLib/basic_source/Token.cpp	0	3	0	3
DNFServer/GameServer/ServerLab/ServerLib/basic_source/TraceLog.cpp	2	7	0	9
DNFServer/GameServer/ServerLab/ServerLib/basic_source/WorkThread.cpp	3	35	0	38
DNFServer/GameServer/ServerLab/ServerLib/common_source/ActiveNetClose.cpp	0	9	0	9
DNFServer/GameServer/ServerLab/ServerLib/common_source/CommonDataPool.cpp	0	7	0	7
DNFServer/GameServer/ServerLab/ServerLib/common_source/DBConnection.cpp	2	6	0	8
DNFServer/GameServer/ServerLab/ServerLib/common_source/DBDispatcher.cpp	1	0	0	1
DNFServer/GameServer/ServerLab/ServerLib/common_source/IArea.cpp	1	3	0	4
DNFServer/GameServer/ServerLab/ServerLib/common_source/IHandler.cpp	0	2	0	2
DNFServer/GameServer/ServerLab/ServerLib/common_source/InterDispatcher.cpp	1	0	0	1
DNFServer/GameServer/ServerLab/ServerLib/common_source/LogSendThread.cpp	2	3	0	5
DNFServer/GameServer/ServerLab/ServerLib/common_source/NSLDBThread.cpp	1	2	0	3
DNFServer/GameServer/ServerLab/ServerLib/common_source/ServiceFactory.cpp	2	5	0	7
DNFServer/GameServer/ServerLab/ServerLib/common_source/TActiveConnect.cpp	2	1	0	3
DNFServer/GameServer/ServerLab/ServerLib/common_source/TCPDispatcher.cpp	1	0	0	1
DNFServer/GameServer/ServerLab/ServerLib/common_source/TCPSendThread.cpp	1	7	0	8
DNFServer/GameServer/ServerLab/ServerLib/common_source/TCPThread.cpp	3	6	0	9
DNFServer/GameServer/ServerLab/ServerLib/common_source/TimeManager.cpp	2	8	0	10
DNFServer/GameServer/ServerLab/ServerLib/common_source/TimerThread.cpp	2	3	0	5
DNFServer/ServerCommon/CFileLogWriterBase.cpp	0	2	0	2
DNFServer/ServerCommon/DNFFileLog.cpp	5	5	0	10
DNFServer/ServerCommon/DNFFunctionLib.cpp	3	14	0	17
DNFServer/ServerCommon/ServerXml.cpp	1	5	0	6
