header	shared	depending_tus	direct_included_by
DNFServer/GameServer/ServerLab/AppCommon/AuctionCommon/ServiceError.h	True	9	0
DNFServer/GameServer/ServerLab/Auction/AuctionServer/GameData/Character.h	True	5	2
DNFServer/GameServer/ServerLab/Auction/AuctionServer/GameData/DNFFunctionLibWrapper.h	True	2	0
DNFServer/GameServer/ServerLab/Auction/AuctionServer/GameData/GameDataPool.h	True	6	4
DNFServer/GameServer/ServerLab/Auction/AuctionServer/GameData/IState.h	True	5	0
DNFServer/GameServer/ServerLab/Auction/AuctionServer/GameData/ServerLibrary2.0.h	False	1	1
DNFServer/GameServer/ServerLab/Auction/AuctionServer/GameData/StatisticsCollector.h	True	5	1
DNFServer/GameServer/ServerLab/Auction/AuctionServer/GameData/Zone.h	True	8	1
DNFServer/GameServer/ServerLab/Auction/AuctionServer/GameData/auction/Auction.h	True	9	7
DNFServer/GameServer/ServerLab/Auction/AuctionServer/GameData/auction/AuctionItem.h	True	34	0
DNFServer/GameServer/ServerLab/Auction/AuctionServer/GameData/auction/dictionary/AuctionDictionary.h	True	9	5
DNFServer/GameServer/ServerLab/Auction/AuctionServer/GameData/auction/dictionary/AveragePriceDictionary.h	True	10	2
DNFServer/GameServer/ServerLab/Auction/AuctionServer/GameData/auction/dictionary/CharacterDictionary.h	True	10	0
DNFServer/GameServer/ServerLab/Auction/AuctionServer/GameData/auction/dictionary/ExpireTimeDictionary.h	True	10	1
DNFServer/GameServer/ServerLab/Auction/AuctionServer/GameData/auction/dictionary/ReliabilityDictionary.h	False	1	0
DNFServer/GameServer/ServerLab/Auction/AuctionServer/GameData/auction/dictionary/Search.h	True	9	1
DNFServer/GameServer/ServerLab/Auction/AuctionServer/GameData/version.h	False	1	0
DNFServer/GameServer/ServerLab/Auction/AuctionServer/auction_source/HandlerFor_DB_.h	True	3	7
DNFServer/GameServer/ServerLab/Auction/AuctionServer/auction_source/HandlerFor_GA_.h	True	2	3
DNFServer/GameServer/ServerLab/Auction/AuctionServer/auction_source/HandlerFor_GP_JPN.h	True	2	3
DNFServer/GameServer/ServerLab/Auction/AuctionServer/auction_source/HandlerFor_TE_.h	True	4	2
DNFServer/GameServer/ServerLab/Auction/AuctionServer/auction_source/InterHandler.h	True	3	1
DNFServer/GameServer/ServerLab/Auction/AuctionServer/auction_source/TeaInitialize.h	True	3	0
DNFServer/GameServer/ServerLab/ServerLib/basic_source/DataPool.h	True	26	2
DNFServer/GameServer/ServerLab/ServerLib/basic_source/Exception.h	True	27	0
DNFServer/GameServer/ServerLab/ServerLib/basic_source/GetMessageBuffer.h	False	1	1
DNFServer/GameServer/ServerLab/ServerLib/basic_source/GlobalInstance.h	True	38	1
DNFServer/GameServer/ServerLab/ServerLib/basic_source/LinuxService.h	True	3	2
DNFServer/GameServer/ServerLab/ServerLib/basic_source/Method.h	True	3	0
DNFServer/GameServer/ServerLab/ServerLib/basic_source/RecvBuffer.h	True	28	1
DNFServer/GameServer/ServerLab/ServerLib/basic_source/Script.h	True	30	3
DNFServer/GameServer/ServerLab/ServerLib/basic_source/SocketSystem.h	False	1	0
DNFServer/GameServer/ServerLab/ServerLib/basic_source/System.h	True	36	0
DNFServer/GameServer/ServerLab/ServerLib/basic_source/TCPSocket.h	True	28	0
DNFServer/GameServer/ServerLab/ServerLib/basic_source/TCPUser.h	True	28	3
DNFServer/GameServer/ServerLab/ServerLib/basic_source/TEA.h	True	3	1
DNFServer/GameServer/ServerLab/ServerLib/basic_source/Thread.h	True	35	2
DNFServer/GameServer/ServerLab/ServerLib/basic_source/ThreadLock.h	True	41	0
DNFServer/GameServer/ServerLab/ServerLib/basic_source/Token.h	True	31	0
DNFServer/GameServer/ServerLab/ServerLib/basic_source/TraceLog.h	True	36	2
DNFServer/GameServer/ServerLab/ServerLib/basic_source/WorkThread.h	True	12	1
DNFServer/GameServer/ServerLab/ServerLib/basic_source/stdafx.h	True	3	0
DNFServer/GameServer/ServerLab/ServerLib/common_source/ActiveNetClose.h	True	4	1
DNFServer/GameServer/ServerLab/ServerLib/common_source/CommonDataPool.h	True	16	2
DNFServer/GameServer/ServerLab/ServerLib/common_source/DBConnection.h	True	5	1
DNFServer/GameServer/ServerLab/ServerLib/common_source/DBConnections.h	True	27	0
DNFServer/GameServer/ServerLab/ServerLib/common_source/DBDispatcher.h	True	3	0
DNFServer/GameServer/ServerLab/ServerLib/common_source/DataPools.h	True	26	0
DNFServer/GameServer/ServerLab/ServerLib/common_source/Dispatchers.h	True	26	0
DNFServer/GameServer/ServerLab/ServerLib/common_source/EncyptTools.h	True	26	0
DNFServer/GameServer/ServerLab/ServerLib/common_source/IActiveConManager.h	True	26	0
DNFServer/GameServer/ServerLab/ServerLib/common_source/IArea.h	True	9	0
DNFServer/GameServer/ServerLab/ServerLib/common_source/IHandler.h	True	28	0
DNFServer/GameServer/ServerLab/ServerLib/common_source/IHandlers.h	True	26	1
DNFServer/GameServer/ServerLab/ServerLib/common_source/ISession.h	True	10	0
DNFServer/GameServer/ServerLab/ServerLib/common_source/InterDispatcher.h	True	3	0
DNFServer/GameServer/ServerLab/ServerLib/common_source/LogSendThread.h	True	2	1
DNFServer/GameServer/ServerLab/ServerLib/common_source/NSLDBThread.h	True	9	1
DNFServer/GameServer/ServerLab/ServerLib/common_source/PortInfo.h	True	26	0
DNFServer/GameServer/ServerLab/ServerLib/common_source/Reactor.h	True	26	6
DNFServer/GameServer/ServerLab/ServerLib/common_source/ServiceError.h	False	1	0
DNFServer/GameServer/ServerLab/ServerLib/common_source/ServiceFactory.h	True	26	9
DNFServer/GameServer/ServerLab/ServerLib/common_source/TActiveConnect.h	True	6	3
DNFServer/GameServer/ServerLab/ServerLib/common_source/TCPDispatcher.h	True	4	0
DNFServer/GameServer/ServerLab/ServerLib/common_source/TCPSendThread.h	True	9	1
DNFServer/GameServer/ServerLab/ServerLib/common_source/TCPThread.h	True	2	1
DNFServer/GameServer/ServerLab/ServerLib/common_source/Threads.h	True	26	0
DNFServer/GameServer/ServerLab/ServerLib/common_source/TimeManager.h	True	10	1
DNFServer/GameServer/ServerLab/ServerLib/common_source/TimerThread.h	True	10	3
DNFServer/GameServer/ServerLab/ServerLib/common_source/mysql.h	True	5	0
DNFServer/ServerCommon/DNFFileLog.h	True	3	1
DNFServer/ServerCommon/DNFFunctionLib.h	True	6	0
DNFServer/ServerCommon/ServerXml.h	True	2	1
DNFServer/ServerCommon/Thread.h	True	3	0
DNFServer/ServerCommon/tinyxml.h	True	2	0
Library3rd/MySQL/include/errmsg.h	False	1	0
shared/common/include/AuctionPacket.h	True	9	2
shared/common/include/DBTransactionDesign.h	True	32	2
shared/common/include/DNFPacket.h	False	1	1
shared/common/include/InternalMsg.h	True	7	2
shared/common/include/InternalMsgDesign.h	True	30	1
shared/common/include/Message.h	True	29	2
shared/common/include/MsgCell.h	True	30	3
shared/common/include/ObjectPoolByBoostPool.h	True	30	1
shared/common/include/PacketDesign.h	True	31	0
shared/common/include/RBTree.h	True	10	1
