node	downstream_nodes	direct_deps	depending_tus
DNFServer/ServerCommon/DNFFileLog.h	0	1	12
statics/StaticsMisc.h	0	1	3
statics/StaticsServer.cpp	13	7	0
statics/StaticsInit.cpp	9	5	0
statics/StaticsPacket.cpp	14	7	0
statics/StaticsPacket.h	0	3	6
shared/packet/include/Packet_Monitor_UDP_HeartBeat.h	0	1	1
shared/packet/include/PacketHeader.h	0	1	7
DNFServer/ServerCommon/DNFFunctionLib.cpp	3	2	0
statics/StaticsSignal.cpp	12	5	0
shared/packet/include/Packet_Monitor_Event_End.h	0	1	1
statics/StaticsThread.cpp	13	7	0
statics/StaticsStatistic.cpp	12	7	0
statics/StaticsInit.h	0	0	2
DNFServer/ServerCommon/DNFFunctionLib.h	0	0	8
statics/StaticsMisc.cpp	6	4	0
statics/StaticsApp.cpp	20	14	0
statics/StaticsData.cpp	1	1	0
shared/common/include/ReverseEngineerLib.h	0	0	7
statics/StaticsUdp.h	0	0	6
statics/StaticsSignal.h	0	0	2
statics/StaticsStatistic.h	0	1	7
statics/StaticsTable.h	0	0	9
statics/StaticsUdp.cpp	3	2	0
DNFServer/ServerCommon/Thread.h	0	0	15
statics/StaticsData.h	0	0	8
statics/StaticsProxy.h	0	0	4
statics/StaticsServer.h	0	1	5
DNFServer/ServerCommon/Thread.cpp	1	1	0
statics/StaticsApp.h	0	3	6
DNFServer/ServerCommon/DNFFileLog.cpp	3	2	0
shared/packet/include/Packet_Monitor_Event_Start.h	0	1	1
shared/packet/include/Packet_P2P_Statistics.h	0	1	6
statics/StaticsTable.cpp	4	3	0
statics/StaticsThread.h	0	0	6
statics/StaticsProxy.cpp	6	2	0
DNFServer/ServerCommon/CFileLogWriterBase.cpp	2	1	0
