file	diff	near	missing	sum
DNFServer/ServerCommon/CFileLogWriterBase.cpp	0	2	0	2
DNFServer/ServerCommon/DNFFileLog.cpp	5	6	0	11
DNFServer/ServerCommon/DNFFunctionLib.cpp	12	7	0	19
DNFServer/ServerCommon/Thread.cpp	1	0	0	1
statics/StaticsApp.cpp	11	9	0	20
statics/StaticsData.cpp	29	3	0	32
statics/StaticsInit.cpp	4	6	0	10
statics/StaticsMisc.cpp	10	3	0	13
statics/StaticsPacket.cpp	89	3	0	92
statics/StaticsProxy.cpp	14	7	0	21
statics/StaticsServer.cpp	31	6	0	37
statics/StaticsSignal.cpp	13	17	0	30
statics/StaticsStatistic.cpp	49	4	0	53
statics/StaticsTable.cpp	8	5	0	13
statics/StaticsThread.cpp	6	4	0	10
statics/StaticsUdp.cpp	8	0	0	8
