class	funcs	field_access	strings
Packet_Avater_Disjoint_Statistic	4	20	0
Packet_Dungeon_Statistic_Party_Charac	1	19	0
Packet_P2P_Statistics	1	17	8
Packet_Guild_Guild_Cargo_Push_Item	1	17	0
Packet_Dungeon_Statistic_Party	1	16	0
Packet_Monitor_Other_Channel_Chat	2	14	26
Packet_Monitor_Other_Channel_Chat_Hyper_Link	2	14	15
Packet_Community_Login	1	12	0
Packet_Pcroom_Response	2	11	31
Packet_Guild_Guild_Cargo_Upgrade	2	11	1
Packet_Monitor_Char_Info	1	10	25
Packet_Monitor_UDP_Login	2	10	25
Packet_Monitor_Increase_Guild_Exp	2	10	2
Packet_Guild_Check_Guild_Cargo_Push_Item	1	9	1
Packet_Client_Spec_Statistic	2	8	19
Packet_Guild_Guild_Cargo_Pop_Item	1	8	1
Packet_Dungeon_Statistic_Party_Job	1	8	0
Packet_Guild_Guild_Cargo_Move_Item	1	7	1
Packet_VillageAttackedGMCommand	2	7	0
Packet_Mannerless_User_Accusation	1	7	3
Packet_Guild_Change_Power_War_Point	2	7	20
Packet_Monitor_Buy_Guild_Skill	1	7	0
Packet_Monitor_Guild_Chat_Hyper_Link	1	7	8
Packet_Monitor_MegaPhone_Hyper_Link	1	7	8
Packet_Monitor_Member_Chat_Hyper_Link	1	7	8
Packet_Stat_Compatibility_Index	1	6	1
Packet_Monitor_UDP_Logout	1	6	0
Packet_Notice_Power_War_CFG	1	6	0
Packet_Guild_Request_Guild_Board_Write	1	6	0
Packet_Guild_Debug	1	6	0
Packet_Monitor_Server_Message_Info	1	6	4
Packet_Monitor_Guild_Chat	1	6	10
Packet_Monitor_MegaPhone	1	6	10
Packet_Monitor_Member_Chat	1	6	10
Packet_Monitor_Member_Enter_Reply	2	5	4
Packet_PvPChannelInfo	1	5	0
Packet_Item_Limit_Edition_Buyable_Query	1	5	11
Packet_CutOff_UDP_Reply_UserInfo	1	5	0
Packet_TowerOfDespair_Statistic_GTS	2	5	7
Packet_Monitor_Char_Changable_Info	1	5	0
Packet_Monitor_Call_Guild_Level_Up	1	5	0
Packet_Guild_Create_Guild_Agit	1	5	0
Packet_Guild_Upgrade_Guild_Agit	1	5	0
Packet_Add_Guild_Fund	1	5	0
Packet_Request_Charac_Tower_Update_Ranking	1	5	0
Packet_Monitor_Find_Factory_Hub_User	1	5	0
Packet_Server_Match_data	2	5	4
Packet_HellParty_Statistic_Item	1	5	0
Packet_Cube_Statistic	1	5	0
Packet_User_Ting_TimeCheck_Statistic_Add	1	5	19
Packet_GameServer2Statisctics2DBServer	1	4	0
Packet_Approve_Join_Guild	1	4	0
