service	name	status	diff_pm	same_mnemonic	call_diff_orig	call_diff_new	has_eh	src_ok	src_file	attempts	bucket	reason
dbmw	_ZN10CDBManager10InsertMailEjPcS0_jjii	DIFF	73	N			N	N	source/DNFServer/GameServer/DBMW/DBManager.cpp	0	NEEDS_REVERSE	source location missing from md
dbmw	_ZN10CDBManager10QueryGuildEhjR27Packet_DB_Reply_Query_Guild	DIFF	335	N			N	N	source/DNFServer/GameServer/DBMW/DBManager.cpp	0	NEEDS_REVERSE	source location missing from md
dbmw	_ZN10CDBManager11GuildSecedeEP30Packet_DB_Request_Guild_SecedeRjS2_S2_	DIFF	1102	N			N	N	source/DNFServer/GameServer/DBMW/DBManager.cpp	0	NEEDS_REVERSE	source location missing from md
dbmw	_ZN10CDBManager11QueryMemberEjR28Packet_DB_Reply_Query_Member	DIFF	1104	N			N	Y	source/DNFServer/GameServer/DBMW/DBManager.cpp	0	CONST_OR_OFFSET	immediate/field/stack offset present
dbmw	_ZN10CDBManager12InsertLetterEjjPKcS1_Ril	DIFF	73	N			N	N	source/DNFServer/GameServer/DBMW/DBManager.cpp	0	NEEDS_REVERSE	source location missing from md
dbmw	_ZN10CDBManager13SaveGuildInfoEhjR17STGuildDBInfoOnly	DIFF	19	N			N	N	source/DNFServer/GameServer/DBMW/DBManager.cpp	0	NEEDS_REVERSE	source location missing from md
dbmw	_ZN10CDBManager14QueryBuddyInfoEjP13STBuddyDBInfoRh	DIFF	118	N			N	N	source/DNFServer/GameServer/DBMW/DBManager.cpp	0	NEEDS_REVERSE	source location missing from md
dbmw	_ZN10CDBManager14SaveGuildSkillEhjR17STGuildDBInfoOnly	DIFF	43	N			N	N	source/DNFServer/GameServer/DBMW/DBManager.cpp	0	NEEDS_REVERSE	source location missing from md
dbmw	_ZN10CDBManager15OnLoadGuildAgitEP25Packet_DB_Load_Guild_AgitR28Packet_Guild_Load_Guild_Agit	DIFF	30	N			N	N	source/DNFServer/GameServer/DBMW/DBManager.cpp	0	NEEDS_REVERSE	source location missing from md
dbmw	_ZN10CDBManager15QueryGuildSkillEhjR27Packet_DB_Reply_Query_Guild	DIFF	88	N			N	N	source/DNFServer/GameServer/DBMW/DBManager.cpp	0	NEEDS_REVERSE	source location missing from md
dbmw	_ZN10CDBManager15SaveGuildMemberEhjR18STGuildMemerDBInfojh	DIFF	136	N			N	N	source/DNFServer/GameServer/DBMW/DBManager.cpp	0	NEEDS_REVERSE	source location missing from md
dbmw	_ZN10CDBManager15SendGuildLetterEijPc	DIFF	215	N			N	Y	source/DNFServer/GameServer/DBMW/DBManager.cpp	0	CONST_OR_OFFSET	immediate/field/stack offset present
dbmw	_ZN10CDBManager16OnLoadGuildBoardEiRiP18STGuildBoardDBInfo	DIFF	315	N			N	N	source/DNFServer/GameServer/DBMW/DBManager.cpp	0	NEEDS_REVERSE	source location missing from md
