service	name	status	diff_pm	same_mnemonic	call_diff_orig	call_diff_new	has_eh	src_ok	src_file	attempts	bucket	reason
monitor	_ZN14CMemberManager10LoadMemberEjR14STMemberDBInfojjP14CServerHandler	DIFF	121	N			N	N	source/DNFServer/GameServer/Monitor/DNFMemberManager.cpp	0	NEEDS_REVERSE	source location missing from md
monitor	_ZN14CMemberManager12DeleteMemberEjb	DIFF	22	N			N	Y	source/DNFServer/GameServer/Monitor/DNFMemberManager.cpp	0	CONST_OR_OFFSET	immediate/field/stack offset present
monitor	_ZN14CMemberManager12InsertMemberEjP7CMember	DIFF	55	N			N	Y	source/DNFServer/GameServer/Monitor/DNFMemberManager.cpp	0	CONST_OR_OFFSET	immediate/field/stack offset present
monitor	_ZN14CMemberManager13MemerMemLoginEjP5CUser	DIFF	52	N			Y	Y	source/DNFServer/GameServer/Monitor/DNFMemberManager.cpp	0	EH_OR_CLEANUP	exception/cleanup pattern present
monitor	_ZN14CMemberManager14RegisterMemberEP7CMembersP5CUserb	DIFF	26	N			N	Y	source/DNFServer/GameServer/Monitor/DNFMemberManager.cpp	0	CONST_OR_OFFSET	immediate/field/stack offset present
monitor	_ZN14CMemberManager15MemberMemLogoutEjP5CUserb	DIFF	174	N			N	Y	source/DNFServer/GameServer/Monitor/DNFMemberManager.cpp	0	CONST_OR_OFFSET	immediate/field/stack offset present
monitor	_ZN14CMemberManager19SaveMemberOnConnectEP14CServerHandlerP5CUserS3_h	DIFF	26	N			N	N	source/DNFServer/GameServer/Monitor/DNFMemberManager.cpp	0	NEEDS_REVERSE	source location missing from md
monitor	_ZN14CMemberManager21IsPossableMemberEnterEP5CUserP7CMemberS1_S3_i	DIFF	80	N			N	N	source/DNFServer/GameServer/Monitor/DNFMemberManager.cpp	0	NEEDS_REVERSE	source location missing from md
monitor	_ZN14CMemberManager21SaveMemberOnUnConnectEP14CServerHandlerjjjh	DIFF	29	N			N	N	source/DNFServer/GameServer/Monitor/DNFMemberManager.cpp	0	NEEDS_REVERSE	source location missing from md
monitor	_ZN14CMemberManager25MemberRegisterFlagProcessEv	DIFF	51	N			N	Y	source/DNFServer/GameServer/Monitor/DNFMemberManager.cpp	0	CONST_OR_OFFSET	immediate/field/stack offset present
