service	name	status	diff_pm	same_mnemonic	call_diff_orig	call_diff_new	has_eh	src_ok	src_file	attempts	bucket	reason
monitor	_ZN17CPacketTranslater11OnCharLoginEP12PacketHeader	DIFF	520	N			N	Y	source/DNFServer/GameServer/Monitor/DNFPacketTranslater.cpp	0	CONST_OR_OFFSET	immediate/field/stack offset present
monitor	_ZN17CPacketTranslater11OnHeartBeatEP12PacketHeader	DIFF	32	N			N	Y	source/DNFServer/GameServer/Monitor/DNFPacketTranslater.cpp	3	CONST_OR_OFFSET	immediate/field/stack offset present
monitor	_ZN17CPacketTranslater11OnUserRepelEP12PacketHeader	DIFF	70	N			N	Y	source/DNFServer/GameServer/Monitor/DNFPacketTranslater.cpp	0	CONST_OR_OFFSET	immediate/field/stack offset present
monitor	_ZN17CPacketTranslater12OnCeraUpdateEP12PacketHeader	DIFF	10	N			N	Y	source/DNFServer/GameServer/Monitor/DNFPacketTranslater.cpp	0	CODEGEN_TAIL	very small structural diff
monitor	_ZN17CPacketTranslater12OnEventStartEP12PacketHeader	DIFF	68	N			N	Y	source/DNFServer/GameServer/Monitor/DNFPacketTranslater.cpp	0	CONST_OR_OFFSET	immediate/field/stack offset present
monitor	_ZN17CPacketTranslater14OnGMRequestMidEP12PacketHeader	DIFF	70	N			N	Y	source/DNFServer/GameServer/Monitor/DNFPacketTranslater.cpp	0	CONST_OR_OFFSET	immediate/field/stack offset present
monitor	_ZN17CPacketTranslater14OnMemberSecedeEP12PacketHeader	DIFF	342	N			N	Y	source/DNFServer/GameServer/Monitor/DNFPacketTranslater.cpp	0	CONST_OR_OFFSET	immediate/field/stack offset present
monitor	_ZN17CPacketTranslater14onCollectItemsEP12PacketHeader	DIFF	224	N			N	Y	source/DNFServer/GameServer/Monitor/DNFPacketTranslater.cpp	0	CONST_OR_OFFSET	immediate/field/stack offset present
monitor	_ZN17CPacketTranslater15OnPayTaxToUpperEP12PacketHeader	DIFF	264	N			N	Y	source/DNFServer/GameServer/Monitor/DNFPacketTranslater.cpp	0	CONST_OR_OFFSET	immediate/field/stack offset present
monitor	_ZN17CPacketTranslater15OnReplyUserInfoEP12PacketHeader	DIFF	481	N			N	Y	source/DNFServer/GameServer/Monitor/DNFPacketTranslater.cpp	0	CONST_OR_OFFSET	immediate/field/stack offset present
monitor	_ZN17CPacketTranslater16OnCallMemberListEP12PacketHeader	DIFF	419	N			N	Y	source/DNFServer/GameServer/Monitor/DNFPacketTranslater.cpp	0	CONST_OR_OFFSET	immediate/field/stack offset present
