service	tu	n_funcs	buckets	status	owner	pkg
dbmw	source/DNFServer/GameServer/DBMW/DBManager.cpp	86	CONST_OR_OFFSET,NEEDS_REVERSE	todo		function_reports/_triage/packages/dbmw/source_DNFServer_GameServer_DBMW_DBManager.cpp.tsv
dbmw	source/DNFServer/GameServer/DBMW/DNFAppConfig.cpp	1	CONST_OR_OFFSET	todo		function_reports/_triage/packages/dbmw/source_DNFServer_GameServer_DBMW_DNFAppConfig.cpp.tsv
dbmw	source/DNFServer/GameServer/DBMW/DNFApplication.cpp	4	CONST_OR_OFFSET	todo		function_reports/_triage/packages/dbmw/source_DNFServer_GameServer_DBMW_DNFApplication.cpp.tsv
dbmw	source/DNFServer/GameServer/DBMW/DNFMySql.cpp	4	CONST_OR_OFFSET	todo		function_reports/_triage/packages/dbmw/source_DNFServer_GameServer_DBMW_DNFMySql.cpp.tsv
dbmw	source/DNFServer/GameServer/DBMW/DNFMySql.h	1	CONST_OR_OFFSET	todo		function_reports/_triage/packages/dbmw/source_DNFServer_GameServer_DBMW_DNFMySql.h.tsv
dbmw	source/DNFServer/GameServer/DBMW/DNFNetworkThread.cpp	1	EH_OR_CLEANUP	todo		function_reports/_triage/packages/dbmw/source_DNFServer_GameServer_DBMW_DNFNetworkThread.cpp.tsv
dbmw	source/DNFServer/GameServer/DBMW/DNFPacketTracer.cpp	3	CODEGEN_TAIL,CONST_OR_OFFSET	todo		function_reports/_triage/packages/dbmw/source_DNFServer_GameServer_DBMW_DNFPacketTracer.cpp.tsv
dbmw	source/DNFServer/GameServer/DBMW/DNFPacketTranslater.cpp	30	CODEGEN_TAIL,CONST_OR_OFFSET,EH_OR_CLEANUP	todo		function_reports/_triage/packages/dbmw/source_DNFServer_GameServer_DBMW_DNFPacketTranslater.cpp.tsv
dbmw	source/DNFServer/GameServer/DBMW/DNFServerHandler.cpp	1	CONST_OR_OFFSET	todo		function_reports/_triage/packages/dbmw/source_DNFServer_GameServer_DBMW_DNFServerHandler.cpp.tsv
dbmw	source/DNFServer/GameServer/DBMW/DNFTcpNetworkThread.cpp	1	CONST_OR_OFFSET	todo		function_reports/_triage/packages/dbmw/source_DNFServer_GameServer_DBMW_DNFTcpNetworkThread.cpp.tsv
dbmw	source/DNFServer/GameServer/DBMW/DNFTickHandler.cpp	2	CODEGEN_TAIL,EH_OR_CLEANUP	todo		function_reports/_triage/packages/dbmw/source_DNFServer_GameServer_DBMW_DNFTickHandler.cpp.tsv
dbmw	source/DNFServer/GameServer/DBMW/GMAccounts.cpp	1	CODEGEN_TAIL	todo		function_reports/_triage/packages/dbmw/source_DNFServer_GameServer_DBMW_GMAccounts.cpp.tsv
dbmw	source/DNFServer/GameServer/DBMW/PacketCounter.cpp	1	CONST_OR_OFFSET	todo		function_reports/_triage/packages/dbmw/source_DNFServer_GameServer_DBMW_PacketCounter.cpp.tsv
dbmw	source/DNFServer/GameServer/DBMW/Peer.cpp	2	CONST_OR_OFFSET,EH_OR_CLEANUP	todo		function_reports/_triage/packages/dbmw/source_DNFServer_GameServer_DBMW_Peer.cpp.tsv
dbmw	source/DNFServer/GameServer/DBMW/QueryCounter.cpp	3	CODEGEN_TAIL,CONST_OR_OFFSET	todo		function_reports/_triage/packages/dbmw/source_DNFServer_GameServer_DBMW_QueryCounter.cpp.tsv
dbmw	source/DNFServer/GameServer/DBMW/ServerXml.cpp	1	NEEDS_REVERSE	todo		function_reports/_triage/packages/dbmw/source_DNFServer_GameServer_DBMW_ServerXml.cpp.tsv
dbmw	source/DNFServer/GameServer/DBMW/StackBuffer.cpp	2	CODEGEN_TAIL,CONST_OR_OFFSET	todo		function_reports/_triage/packages/dbmw/source_DNFServer_GameServer_DBMW_StackBuffer.cpp.tsv
dbmw	source/DNFServer/GameServer/DBMW/TcpNetSystem.cpp	5	CONST_OR_OFFSET,EH_OR_CLEANUP	todo		function_reports/_triage/packages/dbmw/source_DNFServer_GameServer_DBMW_TcpNetSystem.cpp.tsv
guild	source/DNFServer/GameServer/Guild/DNFAppStartInit.cpp	1	NEEDS_REVERSE	todo		function_reports/_triage/packages/guild/source_DNFServer_GameServer_Guild_DNFAppStartInit.cpp.tsv
guild	source/DNFServer/GameServer/Guild/DNFApplication.cpp	3	CONST_OR_OFFSET	todo		function_reports/_triage/packages/guild/source_DNFServer_GameServer_Guild_DNFApplication.cpp.tsv
guild	source/DNFServer/GameServer/Guild/DNFGuild.cpp	46	CODEGEN_TAIL,CONST_OR_OFFSET,EH_OR_CLEANUP,NEEDS_REVERSE	todo		function_reports/_triage/packages/guild/source_DNFServer_GameServer_Guild_DNFGuild.cpp.tsv
guild	source/DNFServer/GameServer/Guild/DNFGuildManager.cpp	7	CALL_DIFF,CODEGEN_TAIL,CONST_OR_OFFSET	todo		function_reports/_triage/packages/guild/source_DNFServer_GameServer_Guild_DNFGuildManager.cpp.tsv
guild	source/DNFServer/GameServer/Guild/DNFGuildWar.cpp	4	CODEGEN_TAIL,CONST_OR_OFFSET	todo		function_reports/_triage/packages/guild/source_DNFServer_GameServer_Guild_DNFGuildWar.cpp.tsv
guild	source/DNFServer/GameServer/Guild/DNFNetworkThread.cpp	1	CALL_DIFF	todo		function_reports/_triage/packages/guild/source_DNFServer_GameServer_Guild_DNFNetworkThread.cpp.tsv
guild	source/DNFServer/GameServer/Guild/DNFPacketDecoder.cpp	5	CONST_OR_OFFSET,EH_OR_CLEANUP	todo		function_reports/_triage/packages/guild/source_DNFServer_GameServer_Guild_DNFPacketDecoder.cpp.tsv
guild	source/DNFServer/GameServer/Guild/DNFPacketTranslater.cpp	88	CALL_DIFF,CONST_OR_OFFSET,EH_OR_CLEANUP	todo		function_reports/_triage/packages/guild/source_DNFServer_GameServer_Guild_DNFPacketTranslater.cpp.tsv
guild	source/DNFServer/GameServer/Guild/DNFServerHandler.cpp	1	CONST_OR_OFFSET	todo		function_reports/_triage/packages/guild/source_DNFServer_GameServer_Guild_DNFServerHandler.cpp.tsv
guild	source/DNFServer/GameServer/Guild/DNFTcpHandler.cpp	2	CODEGEN_TAIL	todo		function_reports/_triage/packages/guild/source_DNFServer_GameServer_Guild_DNFTcpHandler.cpp.tsv
guild	source/DNFServer/GameServer/Guild/DNFTcpNetworkThread.cpp	1	CONST_OR_OFFSET	todo		function_reports/_triage/packages/guild/source_DNFServer_GameServer_Guild_DNFTcpNetworkThread.cpp.tsv
guild	source/DNFServer/GameServer/Guild/DNFTickHandler.cpp	4	CODEGEN_TAIL,EH_OR_CLEANUP,NEEDS_REVERSE	todo		function_reports/_triage/packages/guild/source_DNFServer_GameServer_Guild_DNFTickHandler.cpp.tsv
guild	source/DNFServer/GameServer/Guild/DNFUdpHandler.cpp	2	CODEGEN_TAIL,CONST_OR_OFFSET	todo		function_reports/_triage/packages/guild/source_DNFServer_GameServer_Guild_DNFUdpHandler.cpp.tsv
guild	source/DNFServer/GameServer/Guild/DNFUser.cpp	3	CONST_OR_OFFSET	todo		function_reports/_triage/packages/guild/source_DNFServer_GameServer_Guild_DNFUser.cpp.tsv
guild	source/DNFServer/GameServer/Guild/DNFUserManager.cpp	6	CODEGEN_TAIL,CONST_OR_OFFSET	todo		function_reports/_triage/packages/guild/source_DNFServer_GameServer_Guild_DNFUserManager.cpp.tsv
guild	source/DNFServer/GameServer/Guild/GMAccounts.cpp	1	CODEGEN_TAIL	todo		function_reports/_triage/packages/guild/source_DNFServer_GameServer_Guild_GMAccounts.cpp.tsv
guild	source/DNFServer/GameServer/Guild/GuildBoard.cpp	4	EH_OR_CLEANUP,NEEDS_REVERSE	todo		function_reports/_triage/packages/guild/source_DNFServer_GameServer_Guild_GuildBoard.cpp.tsv
guild	source/DNFServer/GameServer/Guild/GuildCargo.cpp	6	CODEGEN_TAIL,CONST_OR_OFFSET,NEEDS_REVERSE	todo		function_reports/_triage/packages/guild/source_DNFServer_GameServer_Guild_GuildCargo.cpp.tsv
guild	source/DNFServer/GameServer/Guild/MemoryCashManager.cpp	1	CONST_OR_OFFSET	todo		function_reports/_triage/packages/guild/source_DNFServer_GameServer_Guild_MemoryCashManager.cpp.tsv
guild	source/DNFServer/GameServer/Guild/Peer.cpp	4	CODEGEN_TAIL,CONST_OR_OFFSET,EH_OR_CLEANUP	todo		function_reports/_triage/packages/guild/source_DNFServer_GameServer_Guild_Peer.cpp.tsv
guild	source/DNFServer/GameServer/Guild/PowerManager.cpp	4	CALL_DIFF,CODEGEN_TAIL,CONST_OR_OFFSET	todo		function_reports/_triage/packages/guild/source_DNFServer_GameServer_Guild_PowerManager.cpp.tsv
guild	source/DNFServer/GameServer/Guild/PowerWarCharacInfo.cpp	1	CODEGEN_TAIL	todo		function_reports/_triage/packages/guild/source_DNFServer_GameServer_Guild_PowerWarCharacInfo.cpp.tsv
guild	source/DNFServer/GameServer/Guild/PowerWarGuildInfo.cpp	4	CODEGEN_TAIL,CONST_OR_OFFSET,NEEDS_REVERSE	todo		function_reports/_triage/packages/guild/source_DNFServer_GameServer_Guild_PowerWarGuildInfo.cpp.tsv
guild	source/DNFServer/GameServer/Guild/ServerXml.cpp	1	NEEDS_REVERSE	todo		function_reports/_triage/packages/guild/source_DNFServer_GameServer_Guild_ServerXml.cpp.tsv
guild	source/DNFServer/GameServer/Guild/TcpNetSystem.cpp	1	CODEGEN_TAIL	todo		function_reports/_triage/packages/guild/source_DNFServer_GameServer_Guild_TcpNetSystem.cpp.tsv
manager	source/DNFServer/GameServer/Manager/Peer.cpp	1	NEEDS_REVERSE	todo		function_reports/_triage/packages/manager/source_DNFServer_GameServer_Manager_Peer.cpp.tsv
manager	source/DNFServer/GameServer/Manager/TcpNetSystem.cpp	1	CODEGEN_TAIL	todo		function_reports/_triage/packages/manager/source_DNFServer_GameServer_Manager_TcpNetSystem.cpp.tsv
monitor	source/DNFServer/GameServer/Monitor/Arad_MomijiEvent.cpp	1	EH_OR_CLEANUP	todo		function_reports/_triage/packages/monitor/source_DNFServer_GameServer_Monitor_Arad_MomijiEvent.cpp.tsv
monitor	source/DNFServer/GameServer/Monitor/CashObject.cpp	1	CODEGEN_TAIL	todo		function_reports/_triage/packages/monitor/source_DNFServer_GameServer_Monitor_CashObject.cpp.tsv
monitor	source/DNFServer/GameServer/Monitor/DNFAppConfig.cpp	1	CODEGEN_TAIL	todo		function_reports/_triage/packages/monitor/source_DNFServer_GameServer_Monitor_DNFAppConfig.cpp.tsv
monitor	source/DNFServer/GameServer/Monitor/DNFAppStartInit.cpp	2	EH_OR_CLEANUP	todo		function_reports/_triage/packages/monitor/source_DNFServer_GameServer_Monitor_DNFAppStartInit.cpp.tsv
monitor	source/DNFServer/GameServer/Monitor/DNFAppStopInit.cpp	1	EH_OR_CLEANUP	todo		function_reports/_triage/packages/monitor/source_DNFServer_GameServer_Monitor_DNFAppStopInit.cpp.tsv
monitor	source/DNFServer/GameServer/Monitor/DNFApplication.cpp	3	CONST_OR_OFFSET,EH_OR_CLEANUP	todo		function_reports/_triage/packages/monitor/source_DNFServer_GameServer_Monitor_DNFApplication.cpp.tsv
monitor	source/DNFServer/GameServer/Monitor/DNFBuddyHandle.cpp	5	CODEGEN_TAIL,CONST_OR_OFFSET	todo		function_reports/_triage/packages/monitor/source_DNFServer_GameServer_Monitor_DNFBuddyHandle.cpp.tsv
monitor	source/DNFServer/GameServer/Monitor/DNFManagerServer.cpp	2	CONST_OR_OFFSET	todo		function_reports/_triage/packages/monitor/source_DNFServer_GameServer_Monitor_DNFManagerServer.cpp.tsv
monitor	source/DNFServer/GameServer/Monitor/DNFMember.cpp	7	CODEGEN_TAIL,CONST_OR_OFFSET,NEEDS_REVERSE	todo		function_reports/_triage/packages/monitor/source_DNFServer_GameServer_Monitor_DNFMember.cpp.tsv
