service	name	status	diff_pm	same_mnemonic	call_diff_orig	call_diff_new	has_eh	src_ok	src_file	attempts	bucket	reason
dbmw	_ZL16allocStackBufferjPPhPi	NEAR	332	Y			Y	Y	source/DNFServer/GameServer/DBMW/StackBuffer.cpp	4	EH_OR_CLEANUP	exception/cleanup pattern present
dbmw	_ZL19freeAllStackBuffersv	DIFF	141	N			N	Y	source/DNFServer/GameServer/DBMW/StackBuffer.cpp	0	CONST_OR_OFFSET	immediate/field/stack offset present
dbmw	_ZN10CAppConfig11Parse_TableEPci	DIFF	2629	N			N	Y	source/DNFServer/GameServer/DBMW/DNFAppConfig.cpp	0	CONST_OR_OFFSET	immediate/field/stack offset present
dbmw	_ZN10CDBManager10InsertMailEjPcS0_jjii	NEAR	202	Y			N	N		0	NEEDS_REVERSE	source location missing from md
dbmw	_ZN10CDBManager10QueryGuildEhjR27Packet_DB_Reply_Query_Guild	DIFF	753	N			N	N		0	NEEDS_REVERSE	source location missing from md
dbmw	_ZN10CDBManager11GuildSecedeEP30Packet_DB_Request_Guild_SecedeRjS2_S2_	DIFF	1858	N			N	N		0	NEEDS_REVERSE	source location missing from md
dbmw	_ZN10CDBManager11QueryMemberEjR28Packet_DB_Reply_Query_Member	DIFF	1602	N			Y	Y	source/DNFServer/GameServer/DBMW/DBManager.cpp	0	EH_OR_CLEANUP	exception/cleanup pattern present
dbmw	_ZN10CDBManager12InsertLetterEjjPKcS1_Ril	DIFF	231	N			N	N		0	NEEDS_REVERSE	source location missing from md
dbmw	_ZN10CDBManager13SaveGuildInfoEhjR17STGuildDBInfoOnly	DIFF	217	N			N	N		0	NEEDS_REVERSE	source location missing from md
dbmw	_ZN10CDBManager14QueryBuddyInfoEjP13STBuddyDBInfoRh	DIFF	396	N			N	N		0	NEEDS_REVERSE	source location missing from md
dbmw	_ZN10CDBManager14SaveGuildSkillEhjR17STGuildDBInfoOnly	DIFF	259	N			N	N		0	NEEDS_REVERSE	source location missing from md
