id	status	mangled	demangled	file	line	report
DNF-DBM-NEAR-0001	NEAR	_ZL16allocStackBufferjPPhPi	allocStackBuffer(unsigned int, unsigned char**, int*)	source/DNFServer/GameServer/DBMW/StackBuffer.cpp	36	function_reports/dbmw/_ZL16allocStackBufferjPPhPi.md
DNF-DBM-DIFF-0001	DIFF	_ZL19freeAllStackBuffersv	freeAllStackBuffers()	source/DNFServer/GameServer/DBMW/StackBuffer.cpp	108	function_reports/dbmw/_ZL19freeAllStackBuffersv.md
DNF-DBM-DIFF-0002	DIFF	_ZN10CAppConfig11Parse_TableEPci	CAppConfig::Parse_Table(char*, int)	source/DNFServer/GameServer/DBMW/DNFAppConfig.cpp	84	function_reports/dbmw/_ZN10CAppConfig11Parse_TableEPci.md
DNF-DBM-NEAR-0002	NEAR	_ZN10CDBManager10InsertMailEjPcS0_jjii	CDBManager::InsertMail(unsigned int, char*, char*, unsigned int, unsigned int, int, int)	source/DNFServer/GameServer/DBMW/DBManager.cpp	1020	function_reports/dbmw/_ZN10CDBManager10InsertMailEjPcS0_jjii.md
DNF-DBM-NEAR-0003	NEAR	_ZN10CDBManager10QueryGuildEhjR27Packet_DB_Reply_Query_Guild	CDBManager::QueryGuild(unsigned char, unsigned int, Packet_DB_Reply_Query_Guild&)	source/DNFServer/GameServer/DBMW/DBManager.cpp	4617	function_reports/dbmw/_ZN10CDBManager10QueryGuildEhjR27Packet_DB_Reply_Query_Guild.md
DNF-DBM-DIFF-0003	DIFF	_ZN10CDBManager11GuildSecedeEP30Packet_DB_Request_Guild_SecedeRjS2_S2_	CDBManager::GuildSecede(Packet_DB_Request_Guild_Secede*, unsigned int&, unsigned int&, unsigned int&)	source/DNFServer/GameServer/DBMW/DBManager.cpp	4063	function_reports/dbmw/_ZN10CDBManager11GuildSecedeEP30Packet_DB_Request_Guild_SecedeRjS2_S2_.md
DNF-DBM-DIFF-0004	DIFF	_ZN10CDBManager11QueryMemberEjR28Packet_DB_Reply_Query_Member	CDBManager::QueryMember(unsigned int, Packet_DB_Reply_Query_Member&)	source/DNFServer/GameServer/DBMW/DBManager.cpp	2492	function_reports/dbmw/_ZN10CDBManager11QueryMemberEjR28Packet_DB_Reply_Query_Member.md
DNF-DBM-DIFF-0005	DIFF	_ZN10CDBManager13SaveGuildInfoEhjR17STGuildDBInfoOnly	CDBManager::SaveGuildInfo(unsigned char, unsigned int, STGuildDBInfoOnly&)	source/DNFServer/GameServer/DBMW/DBManager.cpp	3443	function_reports/dbmw/_ZN10CDBManager13SaveGuildInfoEhjR17STGuildDBInfoOnly.md
DNF-DBM-DIFF-0006	DIFF	_ZN10CDBManager14QueryBuddyInfoEjP13STBuddyDBInfoRh	CDBManager::QueryBuddyInfo(unsigned int, STBuddyDBInfo*, unsigned char&)	source/DNFServer/GameServer/DBMW/DBManager.cpp	6615	function_reports/dbmw/_ZN10CDBManager14QueryBuddyInfoEjP13STBuddyDBInfoRh.md
DNF-DBM-DIFF-0007	DIFF	_ZN10CDBManager14SaveGuildSkillEhjR17STGuildDBInfoOnly	CDBManager::SaveGuildSkill(unsigned char, unsigned int, STGuildDBInfoOnly&)	source/DNFServer/GameServer/DBMW/DBManager.cpp	800	function_reports/dbmw/_ZN10CDBManager14SaveGuildSkillEhjR17STGuildDBInfoOnly.md
DNF-DBM-NEAR-0004	NEAR	_ZN10CDBManager15OnLoadGuildAgitEP25Packet_DB_Load_Guild_AgitR28Packet_Guild_Load_Guild_Agit	CDBManager::OnLoadGuildAgit(Packet_DB_Load_Guild_Agit*, Packet_Guild_Load_Guild_Agit&)	source/DNFServer/GameServer/DBMW/DBManager.cpp	632	function_reports/dbmw/_ZN10CDBManager15OnLoadGuildAgitEP25Packet_DB_Load_Guild_AgitR28Packet_Guild_Load_Guild_Agit.md
DNF-DBM-DIFF-0008	DIFF	_ZN10CDBManager15QueryGuildSkillEhjR27Packet_DB_Reply_Query_Guild	CDBManager::QueryGuildSkill(unsigned char, unsigned int, Packet_DB_Reply_Query_Guild&)	source/DNFServer/GameServer/DBMW/DBManager.cpp	7086	function_reports/dbmw/_ZN10CDBManager15QueryGuildSkillEhjR27Packet_DB_Reply_Query_Guild.md
DNF-DBM-DIFF-0009	DIFF	_ZN10CDBManager15SaveGuildMemberEhjR18STGuildMemerDBInfojh	CDBManager::SaveGuildMember(unsigned char, unsigned int, STGuildMemerDBInfo&, unsigned int, unsigned char)	source/DNFServer/GameServer/DBMW/DBManager.cpp	825	function_reports/dbmw/_ZN10CDBManager15SaveGuildMemberEhjR18STGuildMemerDBInfojh.md
DNF-DBM-DIFF-0010	DIFF	_ZN10CDBManager15SendGuildLetterEijPc	CDBManager::SendGuildLetter(int, unsigned int, char*)	source/DNFServer/GameServer/DBMW/DBManager.cpp	490	function_reports/dbmw/_ZN10CDBManager15SendGuildLetterEijPc.md
DNF-DBM-DIFF-0011	DIFF	_ZN10CDBManager16OnLoadGuildBoardEiRiP18STGuildBoardDBInfo	CDBManager::OnLoadGuildBoard(int, int&, STGuildBoardDBInfo*)	source/DNFServer/GameServer/DBMW/DBManager.cpp	5467	function_reports/dbmw/_ZN10CDBManager16OnLoadGuildBoardEiRiP18STGuildBoardDBInfo.md
