id	status	mangled	demangled	file	line	report
DNF-GLD-DIFF-0001	DIFF	_ZN11CGuildBoard18sendGuildBoardDataEjjjP5CUser	CGuildBoard::sendGuildBoardData(unsigned int, unsigned int, unsigned int, CUser*)	source/DNFServer/GameServer/Guild/GuildBoard.cpp	171	function_reports/guild/_ZN11CGuildBoard18sendGuildBoardDataEjjjP5CUser.md
DNF-GLD-NEAR-0001	NEAR	_ZN11CGuildCargo10DeleteItemER11DnfItemInfoiihii	CGuildCargo::DeleteItem(DnfItemInfo&, int, int, unsigned char, int, int)	source/DNFServer/GameServer/Guild/GuildCargo.cpp	270	function_reports/guild/_ZN11CGuildCargo10DeleteItemER11DnfItemInfoiihii.md
DNF-GLD-NEAR-0002	NEAR	_ZN11CGuildCargo13InsertHistoryE25ENUM_GUILD_CARGO_BEHAVIORiPKciiPK12RandomOption	CGuildCargo::InsertHistory(ENUM_GUILD_CARGO_BEHAVIOR, int, char const*, int, int, RandomOption const*)	source/DNFServer/GameServer/Guild/GuildCargo.cpp	453	function_reports/guild/_ZN11CGuildCargo13InsertHistoryE25ENUM_GUILD_CARGO_BEHAVIORiPKciiPK12RandomOption.md
DNF-GLD-DIFF-0002	DIFF	_ZN11CGuildCargo14SendGuildCargoEP5CUser	CGuildCargo::SendGuildCargo(CUser*)	source/DNFServer/GameServer/Guild/GuildCargo.cpp	376	function_reports/guild/_ZN11CGuildCargo14SendGuildCargoEP5CUser.md
DNF-GLD-DIFF-0003	DIFF	_ZN11CGuildCargo16PrintDnfItemInfoER11DnfItemInfo	CGuildCargo::PrintDnfItemInfo(DnfItemInfo&)	source/DNFServer/GameServer/Guild/GuildCargo.cpp	404	function_reports/guild/_ZN11CGuildCargo16PrintDnfItemInfoER11DnfItemInfo.md
DNF-GLD-DIFF-0004	DIFF	_ZN11CGuildCargo20SendGuildCargoToDBMWEP14CServerHandleri	CGuildCargo::SendGuildCargoToDBMW(CServerHandler*, int)	source/DNFServer/GameServer/Guild/GuildCargo.cpp	424	function_reports/guild/_ZN11CGuildCargo20SendGuildCargoToDBMWEP14CServerHandleri.md
DNF-GLD-DIFF-0005	DIFF	_ZN11CGuildCargo20SetGuildCargoHistoryEjP15STGuildCargoLog	CGuildCargo::SetGuildCargoHistory(unsigned int, STGuildCargoLog*)	source/DNFServer/GameServer/Guild/GuildCargo.cpp	362	function_reports/guild/_ZN11CGuildCargo20SetGuildCargoHistoryEjP15STGuildCargoLog.md
DNF-GLD-DIFF-0006	DIFF	_ZN11CTcpHandlerC1Ev	CTcpHandler::CTcpHandler()	source/DNFServer/GameServer/Guild/DNFTcpHandler.cpp	173	function_reports/guild/_ZN11CTcpHandlerC1Ev.md
DNF-GLD-DIFF-0007	DIFF	_ZN11CTcpHandlerC2Ev	CTcpHandler::CTcpHandler()	source/DNFServer/GameServer/Guild/DNFTcpHandler.cpp	173	function_reports/guild/_ZN11CTcpHandlerC2Ev.md
DNF-GLD-DIFF-0008	DIFF	_ZN11CUdpHandler16InitServerSocketEi	CUdpHandler::InitServerSocket(int)	source/DNFServer/GameServer/Guild/DNFUdpHandler.cpp	91	function_reports/guild/_ZN11CUdpHandler16InitServerSocketEi.md
DNF-GLD-DIFF-0009	DIFF	_ZN12CApplication15TranslateSignalEv	CApplication::TranslateSignal()	source/DNFServer/GameServer/Guild/DNFApplication.cpp	445	function_reports/guild/_ZN12CApplication15TranslateSignalEv.md
DNF-GLD-DIFF-0010	DIFF	_ZN12CApplication4LoadEiPPc	CApplication::Load(int, char**)	source/DNFServer/GameServer/Guild/DNFApplication.cpp	153	function_reports/guild/_ZN12CApplication4LoadEiPPc.md
DNF-GLD-NEAR-0003	NEAR	_ZN12CUserManager17DeleteUser_CharNoEj	CUserManager::DeleteUser_CharNo(unsigned int)	source/DNFServer/GameServer/Guild/DNFUserManager.cpp	338	function_reports/guild/_ZN12CUserManager17DeleteUser_CharNoEj.md
DNF-GLD-NEAR-0004	NEAR	_ZN12CUserManager17InsertUser_CharNoEjP5CUser	CUserManager::InsertUser_CharNo(unsigned int, CUser*)	source/DNFServer/GameServer/Guild/DNFUserManager.cpp	318	function_reports/guild/_ZN12CUserManager17InsertUser_CharNoEjP5CUser.md
DNF-GLD-NEAR-0005	NEAR	_ZN12CUserManager19InsertUser_CharNameEPcP5CUser	CUserManager::InsertUser_CharName(char*, CUser*)	source/DNFServer/GameServer/Guild/DNFUserManager.cpp	364	function_reports/guild/_ZN12CUserManager19InsertUser_CharNameEPcP5CUser.md
DNF-GLD-DIFF-0011	DIFF	_ZN13CAppStartInit4InitEP12CApplicationiPPc	CAppStartInit::Init(CApplication*, int, char**)	source/DNFServer/GameServer/Guild/DNFAppStartInit.cpp	93	function_reports/guild/_ZN13CAppStartInit4InitEP12CApplicationiPPc.md
DNF-GLD-DIFF-0012	DIFF	_ZN13CGuildManager13GuildMemLoginEjP5CUser	CGuildManager::GuildMemLogin(unsigned int, CUser*)	source/DNFServer/GameServer/Guild/DNFGuildManager.cpp	300	function_reports/guild/_ZN13CGuildManager13GuildMemLoginEjP5CUser.md
DNF-GLD-DIFF-0013	DIFF	_ZN13CGuildManager14DBGuildProcessEP14CServerHandlerb	CGuildManager::DBGuildProcess(CServerHandler*, bool)	source/DNFServer/GameServer/Guild/DNFGuildManager.cpp	528	function_reports/guild/_ZN13CGuildManager14DBGuildProcessEP14CServerHandlerb.md
DNF-GLD-DIFF-0014	DIFF	_ZN13CGuildManager14GuildMemLogoutEjP5CUser	CGuildManager::GuildMemLogout(unsigned int, CUser*)	source/DNFServer/GameServer/Guild/DNFGuildManager.cpp	345	function_reports/guild/_ZN13CGuildManager14GuildMemLogoutEjP5CUser.md
DNF-GLD-NEAR-0006	NEAR	_ZN13CGuildManager16GetAttendanceExpEji	CGuildManager::GetAttendanceExp(unsigned int, int)	source/DNFServer/GameServer/Guild/DNFGuildManager.cpp	792	function_reports/guild/_ZN13CGuildManager16GetAttendanceExpEji.md
DNF-GLD-DIFF-0015	DIFF	_ZN13CGuildManager17GetAttendanceInfoEjR16STAttendanceInfo	CGuildManager::GetAttendanceInfo(unsigned int, STAttendanceInfo&)	source/DNFServer/GameServer/Guild/DNFGuildManager.cpp	811	function_reports/guild/_ZN13CGuildManager17GetAttendanceInfoEjR16STAttendanceInfo.md
DNF-GLD-DIFF-0016	DIFF	_ZN13CPowerManager18SaveDBPowerWarRankEv	CPowerManager::SaveDBPowerWarRank()	source/DNFServer/GameServer/Guild/PowerManager.cpp	288	function_reports/guild/_ZN13CPowerManager18SaveDBPowerWarRankEv.md
DNF-GLD-DIFF-0017	DIFF	_ZN13CPowerManager23SendPowerWarProcessInfoEj	CPowerManager::SendPowerWarProcessInfo(unsigned int)	source/DNFServer/GameServer/Guild/PowerManager.cpp	527	function_reports/guild/_ZN13CPowerManager23SendPowerWarProcessInfoEj.md
DNF-GLD-DIFF-0018	DIFF	_ZN13CPowerManager34SendPowerWarEndInfoInSpecificPowerEc	CPowerManager::SendPowerWarEndInfoInSpecificPower(char)	source/DNFServer/GameServer/Guild/PowerManager.cpp	593	function_reports/guild/_ZN13CPowerManager34SendPowerWarEndInfoInSpecificPowerEc.md
DNF-GLD-NEAR-0007	NEAR	_ZN13CTcpNetSystem10SendPacketEv	CTcpNetSystem::SendPacket()	source/DNFServer/GameServer/Guild/TcpNetSystem.cpp	321	function_reports/guild/_ZN13CTcpNetSystem10SendPacketEv.md
DNF-GLD-DIFF-0019	DIFF	_ZN13np_server_xml10CServerXml9StrPunishEiPKcNS_12_eStringTypeE	np_server_xml::CServerXml::StrPunish(int, char const*, np_server_xml::_eStringType)	source/DNFServer/GameServer/Guild/ServerXml.cpp	275	function_reports/guild/_ZN13np_server_xml10CServerXml9StrPunishEiPKcNS_12_eStringTypeE.md
DNF-GLD-DIFF-0020	DIFF	_ZN14CPacketDecoder10TcpProcessEv	CPacketDecoder::TcpProcess()	source/DNFServer/GameServer/Guild/DNFPacketDecoder.cpp	274	function_reports/guild/_ZN14CPacketDecoder10TcpProcessEv.md
DNF-GLD-DIFF-0021	DIFF	_ZN14CPacketDecoder10UdpProcessEv	CPacketDecoder::UdpProcess()	source/DNFServer/GameServer/Guild/DNFPacketDecoder.cpp	234	function_reports/guild/_ZN14CPacketDecoder10UdpProcessEv.md
DNF-GLD-DIFF-0022	DIFF	_ZN14CPacketDecoder9MsgDecodeEP12PacketHeader	CPacketDecoder::MsgDecode(PacketHeader*)	source/DNFServer/GameServer/Guild/DNFPacketDecoder.cpp	203	function_reports/guild/_ZN14CPacketDecoder9MsgDecodeEP12PacketHeader.md
DNF-GLD-DIFF-0023	DIFF	_ZN14CPacketDecoderC1Ev	CPacketDecoder::CPacketDecoder()	source/DNFServer/GameServer/Guild/DNFPacketDecoder.cpp	77	function_reports/guild/_ZN14CPacketDecoderC1Ev.md
DNF-GLD-DIFF-0024	DIFF	_ZN14CPacketDecoderC2Ev	CPacketDecoder::CPacketDecoder()	source/DNFServer/GameServer/Guild/DNFPacketDecoder.cpp	77	function_reports/guild/_ZN14CPacketDecoderC2Ev.md
DNF-GLD-DIFF-0025	DIFF	_ZN14CServerHandler7ProcessEv	CServerHandler::Process()	source/DNFServer/GameServer/Guild/DNFServerHandler.cpp	151	function_reports/guild/_ZN14CServerHandler7ProcessEv.md
