id	status	mangled	demangled	file	line	report
DNF-MON-NEAR-0001	NEAR	_ZN10CAppConfig11Parse_TableEPci	CAppConfig::Parse_Table(char*, int)	source/DNFServer/GameServer/Monitor/DNFAppConfig.cpp	65	function_reports/monitor/_ZN10CAppConfig11Parse_TableEPci.md
DNF-MON-DIFF-0001	DIFF	_ZN10CIPCounter11setLoadTermEh	CIPCounter::setLoadTerm(unsigned char)	source/DNFServer/GameServer/Monitor/IPCounter.cpp	67	function_reports/monitor/_ZN10CIPCounter11setLoadTermEh.md
DNF-MON-DIFF-0002	DIFF	_ZN10CIPCounter13setMinIPCountEh	CIPCounter::setMinIPCount(unsigned char)	source/DNFServer/GameServer/Monitor/IPCounter.cpp	82	function_reports/monitor/_ZN10CIPCounter13setMinIPCountEh.md
DNF-MON-NEAR-0002	NEAR	_ZN10CIPCounter9setOptionEhh	CIPCounter::setOption(unsigned char, unsigned char)	source/DNFServer/GameServer/Monitor/IPCounter.cpp	92	function_reports/monitor/_ZN10CIPCounter9setOptionEhh.md
DNF-MON-NEAR-0003	NEAR	_ZN11CCashObject15GetBuddysObjectEPP6CBuddy	CCashObject::GetBuddysObject(CBuddy**)	source/DNFServer/GameServer/Monitor/CashObject.cpp	104	function_reports/monitor/_ZN11CCashObject15GetBuddysObjectEPP6CBuddy.md
DNF-MON-DIFF-0003	DIFF	_ZN11CUdpHandler16InitServerSocketEi	CUdpHandler::InitServerSocket(int)	source/DNFServer/GameServer/Monitor/DNFUdpHandler.cpp	41	function_reports/monitor/_ZN11CUdpHandler16InitServerSocketEi.md
DNF-MON-DIFF-0004	DIFF	_ZN12CAppStopInit4InitEP12CApplicationiPPc	CAppStopInit::Init(CApplication*, int, char**)	source/DNFServer/GameServer/Monitor/DNFAppStopInit.cpp	32	function_reports/monitor/_ZN12CAppStopInit4InitEP12CApplicationiPPc.md
DNF-MON-DIFF-0005	DIFF	_ZN12CApplication15TranslateSignalEv	CApplication::TranslateSignal()	source/DNFServer/GameServer/Monitor/DNFApplication.cpp	951	function_reports/monitor/_ZN12CApplication15TranslateSignalEv.md
DNF-MON-DIFF-0006	DIFF	_ZN12CApplication4LoadEiPPc	CApplication::Load(int, char**)	source/DNFServer/GameServer/Monitor/DNFApplication.cpp	312	function_reports/monitor/_ZN12CApplication4LoadEiPPc.md
DNF-MON-DIFF-0007	DIFF	_ZN12CBuddyHandle11addFromCashEP6CBuddy	CBuddyHandle::addFromCash(CBuddy*)	source/DNFServer/GameServer/Monitor/DNFBuddyHandle.cpp	195	function_reports/monitor/_ZN12CBuddyHandle11addFromCashEP6CBuddy.md
DNF-MON-DIFF-0008	DIFF	_ZN12CBuddyHandle11printBuddysEPc	CBuddyHandle::printBuddys(char*)	source/DNFServer/GameServer/Monitor/DNFBuddyHandle.cpp	248	function_reports/monitor/_ZN12CBuddyHandle11printBuddysEPc.md
DNF-MON-DIFF-0009	DIFF	_ZN12CBuddyHandle5addDBEP14CServerHandlerPc	CBuddyHandle::addDB(CServerHandler*, char*)	source/DNFServer/GameServer/Monitor/DNFBuddyHandle.cpp	47	function_reports/monitor/_ZN12CBuddyHandle5addDBEP14CServerHandlerPc.md
DNF-MON-NEAR-0004	NEAR	_ZN12CUserManager11AddSchoolNoEjh	CUserManager::AddSchoolNo(unsigned int, unsigned char)	source/DNFServer/GameServer/Monitor/DNFUserManager.cpp	582	function_reports/monitor/_ZN12CUserManager11AddSchoolNoEjh.md
DNF-MON-DIFF-0010	DIFF	_ZN12CUserManager14GetSchoolCountEjPjRh	CUserManager::GetSchoolCount(unsigned int, unsigned int*, unsigned char&)	source/DNFServer/GameServer/Monitor/DNFUserManager.cpp	341	function_reports/monitor/_ZN12CUserManager14GetSchoolCountEjPjRh.md
DNF-MON-NEAR-0005	NEAR	_ZN12CUserManager15ProcessByMinuteEv	CUserManager::ProcessByMinute()	source/DNFServer/GameServer/Monitor/DNFUserManager.cpp	85	function_reports/monitor/_ZN12CUserManager15ProcessByMinuteEv.md
DNF-MON-NEAR-0006	NEAR	_ZN12CUserManager17InsertUser_CharNoEjP5CUser	CUserManager::InsertUser_CharNo(unsigned int, CUser*)	source/DNFServer/GameServer/Monitor/DNFUserManager.cpp	432	function_reports/monitor/_ZN12CUserManager17InsertUser_CharNoEjP5CUser.md
DNF-MON-NEAR-0007	NEAR	_ZN12CUserManager19InsertUser_CharNameEPcP5CUser	CUserManager::InsertUser_CharName(char*, CUser*)	source/DNFServer/GameServer/Monitor/DNFUserManager.cpp	455	function_reports/monitor/_ZN12CUserManager19InsertUser_CharNameEPcP5CUser.md
DNF-MON-DIFF-0011	DIFF	_ZN12CUserManager23SendConnectedBuddysListEP5CUser	CUserManager::SendConnectedBuddysList(CUser*)	source/DNFServer/GameServer/Monitor/DNFUserManager.cpp	292	function_reports/monitor/_ZN12CUserManager23SendConnectedBuddysListEP5CUser.md
DNF-MON-DIFF-0012	DIFF	_ZN12CUserManager27DeleteUsersOnGameServerDownEP11CGameServer	CUserManager::DeleteUsersOnGameServerDown(CGameServer*)	source/DNFServer/GameServer/Monitor/DNFUserManager.cpp	176	function_reports/monitor/_ZN12CUserManager27DeleteUsersOnGameServerDownEP11CGameServer.md
DNF-MON-DIFF-0013	DIFF	_ZN12CUserManager30DeleteUsersOnTcpGameServerDownEP14CTcpGameServer	CUserManager::DeleteUsersOnTcpGameServerDown(CTcpGameServer*)	source/DNFServer/GameServer/Monitor/DNFUserManager.cpp	234	function_reports/monitor/_ZN12CUserManager30DeleteUsersOnTcpGameServerDownEP14CTcpGameServer.md
