id	status	mangled	demangled	file	line	report
DNF-STA-DIFF-0001	DIFF	_ZN14CNetworkThread8dispatchEPv	CNetworkThread::dispatch(void*)	source/DNFServer/GameServer/Statics/DNFNetworkThread.cpp	30	function_reports/statics/_ZN14CNetworkThread8dispatchEPv.md
DNF-STA-DIFF-0002	DIFF	_ZN16StatisticManager16AddLagStatisticsEP26Packet_Stat_Lag_Statistics	StatisticManager::AddLagStatistics(Packet_Stat_Lag_Statistics*)	source/DNFServer/GameServer/Statics/Statistics.cpp	1519	function_reports/statics/_ZN16StatisticManager16AddLagStatisticsEP26Packet_Stat_Lag_Statistics.md
DNF-STA-DIFF-0003	DIFF	_ZN16StatisticManager19SendDBLagStatisticsEP14CServerHandlerPc	StatisticManager::SendDBLagStatistics(CServerHandler*, char*)	source/DNFServer/GameServer/Statics/Statistics.cpp	1582	function_reports/statics/_ZN16StatisticManager19SendDBLagStatisticsEP14CServerHandlerPc.md
DNF-STA-DIFF-0004	DIFF	_ZN16StatisticManager20SendDBPartyStatisticEP14CServerHandler	StatisticManager::SendDBPartyStatistic(CServerHandler*)	source/DNFServer/GameServer/Statics/Statistics.cpp	449	function_reports/statics/_ZN16StatisticManager20SendDBPartyStatisticEP14CServerHandler.md
DNF-STA-DIFF-0005	DIFF	_ZN16StatisticManager22AddSecretShopStatisticEP28Packet_Secret_Shop_Statistic	StatisticManager::AddSecretShopStatistic(Packet_Secret_Shop_Statistic*)	source/DNFServer/GameServer/Statics/Statistics.cpp	1761	function_reports/statics/_ZN16StatisticManager22AddSecretShopStatisticEP28Packet_Secret_Shop_Statistic.md
DNF-STA-DIFF-0006	DIFF	_ZN16StatisticManager23SendDBPartyJobStatisticEP14CServerHandler	StatisticManager::SendDBPartyJobStatistic(CServerHandler*)	source/DNFServer/GameServer/Statics/Statistics.cpp	499	function_reports/statics/_ZN16StatisticManager23SendDBPartyJobStatisticEP14CServerHandler.md
DNF-STA-DIFF-0007	DIFF	_ZN16StatisticManager26AddTowerOfDespairStatisticEP35Packet_TowerOfDespair_Statistic_GTS	StatisticManager::AddTowerOfDespairStatistic(Packet_TowerOfDespair_Statistic_GTS*)	source/DNFServer/GameServer/Statics/Statistics.cpp	1840	function_reports/statics/_ZN16StatisticManager26AddTowerOfDespairStatisticEP35Packet_TowerOfDespair_Statistic_GTS.md
DNF-STA-NEAR-0001	NEAR	_ZN16StatisticManager26SendDBPartyCharacStatisticEP14CServerHandler	StatisticManager::SendDBPartyCharacStatistic(CServerHandler*)	source/DNFServer/GameServer/Statics/Statistics.cpp	542	function_reports/statics/_ZN16StatisticManager26SendDBPartyCharacStatisticEP14CServerHandler.md
DNF-STA-DIFF-0008	DIFF	_ZN16StatisticManager26WriteDungeonPartyStatisticEP30Packet_Dungeon_Statistic_Party	StatisticManager::WriteDungeonPartyStatistic(Packet_Dungeon_Statistic_Party*)	source/DNFServer/GameServer/Statics/Statistics.cpp	280	function_reports/statics/_ZN16StatisticManager26WriteDungeonPartyStatisticEP30Packet_Dungeon_Statistic_Party.md
DNF-STA-DIFF-0009	DIFF	_ZN16StatisticManager27WriteHellPartyStatisticItemEP31Packet_HellParty_Statistic_Item	StatisticManager::WriteHellPartyStatisticItem(Packet_HellParty_Statistic_Item*)	source/DNFServer/GameServer/Statics/Statistics.cpp	907	function_reports/statics/_ZN16StatisticManager27WriteHellPartyStatisticItemEP31Packet_HellParty_Statistic_Item.md
DNF-STA-DIFF-0010	DIFF	_ZN16StatisticManager30AddLoadingTimeReportStatisticsEP37Packet_Loading_Time_Report_Statistics	StatisticManager::AddLoadingTimeReportStatistics(Packet_Loading_Time_Report_Statistics*)	source/DNFServer/GameServer/Statics/Statistics.cpp	973	function_reports/statics/_ZN16StatisticManager30AddLoadingTimeReportStatisticsEP37Packet_Loading_Time_Report_Statistics.md
DNF-STA-DIFF-0011	DIFF	_ZN16StatisticManager32WriteDungeonPartyCharacStatisticEP37Packet_Dungeon_Statistic_Party_Charac	StatisticManager::WriteDungeonPartyCharacStatistic(Packet_Dungeon_Statistic_Party_Charac*)	source/DNFServer/GameServer/Statics/Statistics.cpp	368	function_reports/statics/_ZN16StatisticManager32WriteDungeonPartyCharacStatisticEP37Packet_Dungeon_Statistic_Party_Charac.md
DNF-STA-DIFF-0012	DIFF	_ZN16StatisticManager35WriteDeathTowerPlayDataJobStatisticEP40Packet_DeathTower_Statistic_Playdata_Job	StatisticManager::WriteDeathTowerPlayDataJobStatistic(Packet_DeathTower_Statistic_Playdata_Job*)	source/DNFServer/GameServer/Statics/Statistics.cpp	220	function_reports/statics/_ZN16StatisticManager35WriteDeathTowerPlayDataJobStatisticEP40Packet_DeathTower_Statistic_Playdata_Job.md
DNF-STA-DIFF-0013	DIFF	_ZN16StatisticManager37WriteDeathTowerPlayDataPartyStatisticEP42Packet_DeathTower_Statistic_Playdata_Party	StatisticManager::WriteDeathTowerPlayDataPartyStatistic(Packet_DeathTower_Statistic_Playdata_Party*)	source/DNFServer/GameServer/Statics/Statistics.cpp	252	function_reports/statics/_ZN16StatisticManager37WriteDeathTowerPlayDataPartyStatisticEP42Packet_DeathTower_Statistic_Playdata_Party.md
DNF-STA-DIFF-0014	DIFF	_ZN17CHWSpecResearcher14SendDBMWHWSpecEP14CServerHandlerh	CHWSpecResearcher::SendDBMWHWSpec(CServerHandler*, unsigned char)	source/DNFServer/GameServer/Statics/HWSpecResearcher.cpp	49	function_reports/statics/_ZN17CHWSpecResearcher14SendDBMWHWSpecEP14CServerHandlerh.md
DNF-STA-DIFF-0015	DIFF	_ZN17CHWSpecResearcher17SendDBMWErrorLineEP14CServerHandler	CHWSpecResearcher::SendDBMWErrorLine(CServerHandler*)	source/DNFServer/GameServer/Statics/HWSpecResearcher.cpp	114	function_reports/statics/_ZN17CHWSpecResearcher17SendDBMWErrorLineEP14CServerHandler.md
DNF-STA-DIFF-0016	DIFF	_ZN17CPacketTranslater23OnFrameLagStatisticsAddEP12PacketHeader	CPacketTranslater::OnFrameLagStatisticsAdd(PacketHeader*)	source/DNFServer/GameServer/Statics/DNFPacketTranslater.cpp	152	function_reports/statics/_ZN17CPacketTranslater23OnFrameLagStatisticsAddEP12PacketHeader.md
DNF-STA-DIFF-0017	DIFF	_ZN17FrameLagCollector14SaveUsedMemoryEP14CServerHandler	FrameLagCollector::SaveUsedMemory(CServerHandler*)	source/DNFServer/GameServer/Statics/FrameLagCollector.cpp	682	function_reports/statics/_ZN17FrameLagCollector14SaveUsedMemoryEP14CServerHandler.md
DNF-STA-DIFF-0018	DIFF	_ZN17FrameLagCollector16SaveFrameLagDataEP14CServerHandler	FrameLagCollector::SaveFrameLagData(CServerHandler*)	source/DNFServer/GameServer/Statics/FrameLagCollector.cpp	494	function_reports/statics/_ZN17FrameLagCollector16SaveFrameLagDataEP14CServerHandler.md
DNF-STA-DIFF-0019	DIFF	_ZN17FrameLagCollector17accFrameLagStructERNS_18FrameLagDataStructEP14FrameLagStruct	FrameLagCollector::accFrameLagStruct(FrameLagCollector::FrameLagDataStruct&, FrameLagStruct*)	source/DNFServer/GameServer/Statics/FrameLagCollector.cpp	633	function_reports/statics/_ZN17FrameLagCollector17accFrameLagStructERNS_18FrameLagDataStructEP14FrameLagStruct.md
DNF-STA-DIFF-0020	DIFF	_ZN17FrameLagCollector18FrameLagDataStruct4initEv	FrameLagCollector::FrameLagDataStruct::init()	source/DNFServer/GameServer/Statics/FrameLagCollector.cpp	717	function_reports/statics/_ZN17FrameLagCollector18FrameLagDataStruct4initEv.md
DNF-STA-DIFF-0021	DIFF	_ZN17FrameLagCollector19PushOneFrameLagDataEP30Packet_Frame_Lag_Statistic_Add	FrameLagCollector::PushOneFrameLagData(Packet_Frame_Lag_Statistic_Add*)	source/DNFServer/GameServer/Statics/FrameLagCollector.cpp	228	function_reports/statics/_ZN17FrameLagCollector19PushOneFrameLagDataEP30Packet_Frame_Lag_Statistic_Add.md
