status	name	orig_addr	orig_size	new_addr	new_size
DIFF	_ZN3nsl9TCPThread4loopEPv	0x80afc5c	0x64a	0x80ae4c2	0x64a
MISSING	bmove_upp	0x81053b0	0x2f		
MISSING	calc_daynr	0x80caf60	0x8f		
MISSING	calc_days_in_year	0x80cad90	0x47		
MISSING	check_time_range	0x80cae90	0xab		
MISSING	cli_fetch_lengths	0x80bff50	0x67		
MISSING	fetch_result_double	0x80c5320	0x21		
MISSING	fetch_result_float	0x80c6950	0x20		
MISSING	fetch_result_int32	0x80c52d0	0x50		
MISSING	fetch_result_short	0x80c5280	0x4f		
MISSING	fetch_result_tinyint	0x80c5230	0x4e		
MISSING	get_index_dynamic	0x80fca30	0x26		
MISSING	init_glob_errs	0x80fff30	0x5		
MISSING	int10_to_str	0x8119b90	0xa7		
MISSING	is_prefix	0x8119d70	0x39		
MISSING	ismbchar_big5	0x8133870	0x3c		
MISSING	ismbchar_cp932	0x81346c0	0x45		
MISSING	ismbchar_eucjpms	0x8135ce0	0xaf		
MISSING	ismbchar_gb2312	0x81381a0	0x34		
MISSING	ismbchar_gbk	0x8138b10	0x3c		
MISSING	ismbchar_sjis	0x813aa40	0x45		
MISSING	ismbchar_ujis	0x813bf40	0xaf		
MISSING	list_add	0x80ffff0	0x34		
MISSING	list_delete	0x8100030	0x2f		
MISSING	list_length	0x8100090	0x1c		
MISSING	list_reverse	0x8100060	0x24		
MISSING	mbcharlen_big5	0x81338b0	0x14		
MISSING	mbcharlen_cp932	0x8134710	0x27		
MISSING	mbcharlen_euc_kr	0x8137e70	0x14		
MISSING	mbcharlen_eucjpms	0x8135d90	0x37		
MISSING	mbcharlen_gb2312	0x81381e0	0x14		
MISSING	mbcharlen_gbk	0x8138b50	0x14		
MISSING	mbcharlen_sjis	0x813aa90	0x27		
MISSING	mbcharlen_ujis	0x813bff0	0x37		
MISSING	my_case_bin	0x81054f0	0x8		
MISSING	my_case_str_bin	0x81054e0	0x7		
MISSING	my_casedn_8bit	0x81063d0	0x2c		
MISSING	my_casedn_mb	0x81391c0	0x5e		
MISSING	my_casedn_str_8bit	0x8106360	0x3a		
MISSING	my_casedn_str_mb	0x81390f0	0x61		
MISSING	my_casedn_str_mb2_or_mb4	0x810a810	0x7		
MISSING	my_casedn_utf32	0x810c480	0xcf		
MISSING	my_caseup_8bit	0x81063a0	0x2c		
MISSING	my_caseup_mb	0x8139160	0x5e		
MISSING	my_caseup_str_8bit	0x8106320	0x3a		
