status	name	orig_addr	orig_size	new_addr	new_size
MISSING	_Z11AES_DecryptPvPh	0x806a506	0x167d		
MISSING	_Z11AES_EncryptPvPh	0x8068e89	0x167d		
MISSING	_Z11DES_DecryptPvPh	0x807dcf1	0xe9f		
MISSING	_Z11DES_EncryptPvPh	0x807ce52	0xe9f		
MISSING	_Z12BlockToBytesRK6SBlockPh	0x80719d7	0xfe		
MISSING	_Z12BytesToBlockPKhR6SBlock	0x80718a4	0x133		
MISSING	_Z12DES3_DecryptPvPh	0x807af6c	0x50		
MISSING	_Z12DES3_EncryptPvPh	0x807af1c	0x50		
MISSING	_Z4Bytej	0x8071815	0x8		
DIFF	_Z8Char2HexhPc	0x806558c	0x42	0x805fc20	0x40
MISSING	_ZL16SHA256_TransformPmS_	0x8089b10	0x6a8		
MISSING	_ZL16SHA384_TransformPmS_	0x808a4c4	0x2075		
MISSING	_ZL16SHA512_TransformPmS_	0x808c914	0x2075		
MISSING	_ZL2FIjj	0x807ed2c	0x86		
MISSING	_ZL2FImmm	0x80729c3	0x6d		
MISSING	_ZL3FIImmm	0x8072a30	0x6b		
MISSING	_ZL3ROLji	0x80922c4	0x15		
MISSING	_ZL3RORji	0x80922d9	0x15		
MISSING	_ZL3pi1Pm	0x8082199	0x1c		
MISSING	_ZL3pi2PmS_	0x80821b5	0x5c		
MISSING	_ZL3pi3PmS_	0x8082211	0xa4		
MISSING	_ZL3pi4PmS_	0x80822b5	0x49		
MISSING	_ZL4FIIImmm	0x8072a9b	0x73		
MISSING	_ZL5setupPmS_S_	0x80822fe	0x158		
MISSING	_ZL7decryptPmiS_	0x8082519	0xb5		
MISSING	_ZL7encryptPmiS_	0x8082456	0xc3		
DIFF	_ZN12EpollReactorIN17ChannelServiceApp7TCPUserEE12handleEventsEj	0x805dd80	0x343	0x8053172	0x32e
NEAR	_ZN13ScriptRawData10push_childEPS_	0x80620e2	0x50	0x804e10a	0x50
NEAR	_ZN13ScriptRawDataC1EPcS0_i	0x8061e7c	0x100	0x804de36	0x100
NEAR	_ZN13ScriptRawDataC2EPcS0_i	0x8061e7c	0x100	0x804de36	0x100
DIFF	_ZN15TGlobalInstanceI21TextOutputDevice_FILEE6createEv	0x80573ec	0x8e	0x8058298	0x8d
DIFF	_ZN15TGlobalInstanceI23TextOutputDevice_stdoutE6createEv	0x80574b8	0x93	0x80581ea	0xad
DIFF	_ZN17ChannelServiceApp11CheckThread4loopEPv	0x806268e	0xf2e	0x805e67a	0xeed
DIFF	_ZN17ChannelServiceApp12ScriptThread4loopEPv	0x8063936	0xb40	0x804ef74	0xae5
DIFF	_ZN17ChannelServiceApp7TCPUser7onRead_Ev	0x805f0bc	0x65a	0x8054a20	0x8b0
DIFF	_ZN17ChannelServiceApp9UDPThread4loopEPv	0x8060eba	0x17f	0x8056896	0x17c
NEAR	_ZN5Token11get_contextEi	0x8061290	0x48	0x804b2ec	0x48
NEAR	_ZN5Token9get_tokenEPci	0x80610fe	0x192	0x804b15a	0x192
NEAR	_ZN6Script13on_keyval_tagEPcS0_	0x80617c8	0xc6	0x804eb08	0xc6
NEAR	_ZN6Script4loadEPc	0x8061368	0x14d	0x804e6a8	0x14d
DIFF	_ZN7DNFFLib12get_rand_intEi	0x8065942	0xf5	0x805ffd8	0xfd
DIFF	_ZN9TCPSocket8shutdownEi	0x8052b3c	0xd	0x804bafc	0xa
DIFF	_ZNK17ChannelServiceApp7TCPUser6isIdleEv	0x805ee2c	0x7b	0x8054790	0x7b
DIFF	__deregister_frame	0x8121b20	0x31	0x8065b80	0x3e
DIFF	__deregister_frame_info_bases	0x8121a10	0xff	0x8065b20	0x24
DIFF	__register_frame	0x8121180	0x42	0x80658f0	0x9b
DIFF	__register_frame_info_bases	0x8120030	0x99	0x80657d0	0x8b
DIFF	__register_frame_info_table_bases	0x8120100	0x93	0x8065990	0x73
DIFF	__register_frame_table	0x8121140	0x33	0x8065a90	0x83
MISSING	_my_thread_var	0x80d8790	0x28		
MISSING	add_collation	0x80d19d0	0x680		
MISSING	add_compiled_collation	0x80d1230	0x27		
MISSING	add_directory	0x80d2800	0x72		
MISSING	add_init_command	0x8094c10	0xaa		
MISSING	alloc_dynamic	0x80d1010	0xbf		
MISSING	alloc_root	0x80d56e0	0x138		
MISSING	alloc_stmt_fields	0x809a6d0	0x210		
MISSING	allocate_dynamic	0x80d0ea0	0xc5		
MISSING	array_append_string_unique	0x80d4460	0x7c		
MISSING	atoi_octal	0x80d6e70	0x78		
MISSING	bchange	0x80d95d0	0x82		
MISSING	bmove_upp	0x80d9660	0x2f		
MISSING	build_tree	0x8109fb0	0xa80		
MISSING	calc_daynr	0x809f210	0x8f		
MISSING	calc_days_in_year	0x809f040	0x47		
MISSING	check_date	0x809f090	0xac		
MISSING	check_scramble	0x80a2240	0xf4		
MISSING	check_scramble_323	0x80a2650	0x7b7		
MISSING	check_time_range	0x809f140	0xab		
DIFF	classify_object_over_fdes	0x81206f0	0x169	0x8064c10	0x306
MISSING	cleanup_dirname	0x80d4b20	0x3a9		
MISSING	cli_advanced_command	0x80987e0	0x20e		
MISSING	cli_fetch_lengths	0x8094200	0x67		
MISSING	cli_flush_use_result	0x8096b90	0x6f		
MISSING	cli_list_fields	0x809d9a0	0x80		
MISSING	cli_read_binary_rows	0x809adf0	0x16d		
MISSING	cli_read_change_user_result	0x809e010	0xd2		
MISSING	cli_read_prepare_result	0x809d3f0	0x15e		
MISSING	cli_read_query_result	0x8096850	0x21b		
MISSING	cli_read_rows	0x8096510	0x33a		
MISSING	cli_read_statistics	0x809a8e0	0x69		
MISSING	cli_safe_read	0x8096160	0x17b		
MISSING	cli_stmt_execute	0x809e9d0	0x66c		
MISSING	cli_unbuffered_fetch	0x809af60	0x4d		
MISSING	cli_use_result	0x8094a80	0x188		
MISSING	comp_names	0x80d7180	0x2e		
MISSING	compress	0x8105fb0	0x40		
MISSING	compress_block	0x8109a20	0x584		
MISSING	convert_dirname	0x80d4510	0x73		
MISSING	copy_typelib	0x80d0670	0x13a		
MISSING	create_fromuni	0x80dc6f0	0x26e		
MISSING	create_random_string	0x80a2530	0x69		
MISSING	create_tailoring	0x80dd940	0xb0e		
MISSING	cs_alloc	0x80d1850	0x2b		
MISSING	cs_enter	0x80e7b60	0x96		
MISSING	cs_leave	0x80e74f0	0x92		
MISSING	cs_value	0x80e7690	0x4c4		
MISSING	d2b	0x80e7ea0	0x3de		
MISSING	default_local_infile_end	0x809db40	0x46		
MISSING	default_local_infile_error	0x809d930	0x6c		
MISSING	default_local_infile_init	0x809dc30	0xf4		
MISSING	default_local_infile_read	0x809db90	0xa0		
MISSING	delete_dynamic	0x80d0de0	0x4d		
MISSING	delete_dynamic_element	0x80d0d80	0x5b		
MISSING	directory_file_name	0x80d7130	0x4e		
MISSING	dirname_length	0x80d44e0	0x30		
MISSING	dirname_part	0x80d4590	0x54		
MISSING	dtoa.clone.0	0x80eac30	0x25cb		
MISSING	end_server	0x8096100	0x60		
MISSING	err_helper	0x80a3790	0x51		
MISSING	escape_quotes_for_mysql	0x80d1530	0x1bc		
MISSING	escape_string_for_mysql	0x80d1280	0x2ab		
DIFF	execute_stack_op	0x811db30	0xe7d	0x8060600	0x87e
DIFF	fde_mixed_encoding_compare	0x8120a00	0x8c	0x8065190	0x102
DIFF	fde_single_encoding_compare	0x8120980	0x7c	0x80650e0	0xa2
DIFF	fde_unencoded_compare	0x81201d0	0x1c	0x8063790	0x22
MISSING	fetch_datetime_with_conversion	0x809be20	0x1e3		
MISSING	fetch_float_with_conversion	0x809b960	0x4b3		
MISSING	fetch_long_with_conversion	0x809b570	0x3e3		
MISSING	fetch_result_bin	0x809b0a0	0x71		
MISSING	fetch_result_date	0x809e7a0	0x9d		
MISSING	fetch_result_datetime	0x809e910	0xbd		
MISSING	fetch_result_double	0x80995d0	0x21		
MISSING	fetch_result_float	0x809ac00	0x20		
MISSING	fetch_result_int32	0x8099580	0x50		
MISSING	fetch_result_int64	0x809ac20	0x61		
MISSING	fetch_result_short	0x8099530	0x4f		
MISSING	fetch_result_str	0x809b020	0x7d		
MISSING	fetch_result_time	0x809e840	0xc5		
MISSING	fetch_result_tinyint	0x80994e0	0x4e		
MISSING	fetch_result_with_conversion	0x809c010	0x3b8		
MISSING	fetch_string_with_conversion	0x809b120	0x44a		
MISSING	fill_uchar	0x80e7590	0xf2		
MISSING	find_type	0x80d0810	0x27b		
MISSING	find_type_or_exit	0x80d0ba0	0x117		
MISSING	find_typeset	0x80d0a90	0x105		
MISSING	finish_client_errs	0x8098a00	0x2c		
MISSING	flush_one_result	0x8096b20	0x6c		
MISSING	fn_ext	0x80d45f0	0x6d		
MISSING	fn_format	0x80d46b0	0x3a3		
DIFF	frame_downheap	0x81201f0	0xb8	0x80637c0	0x98
MISSING	free_charsets	0x80d1260	0x1a		
MISSING	free_defaults	0x80d2c50	0x61		
MISSING	free_old_query	0x8095a60	0x8a		
MISSING	free_root	0x80d55d0	0x102		
MISSING	free_rows	0x8095af0	0x43		
MISSING	free_vio_ssl_acceptor_fd	0x80f0fa0	0x36		
MISSING	freeze_size	0x80d0d10	0x68		
MISSING	get_argument	0x80d2ea0	0xa4		
MISSING	get_charset	0x80d2380	0xdd		
MISSING	get_charset_by_csname	0x80d2690	0xa9		
MISSING	get_charset_by_name	0x80d24f0	0xa1		
MISSING	get_charset_name	0x80d27a0	0x5a		
MISSING	get_charset_number	0x80d25f0	0x9a		
MISSING	get_charsets_dir	0x80d2050	0xed		
DIFF	get_cie_encoding	0x81205d0	0x112	0x80642b0	0x118
MISSING	get_collation_number	0x80d2460	0x82		
MISSING	get_defaults_options	0x80d2d80	0x119		
MISSING	get_dynamic	0x80d0e30	0x69		
MISSING	get_index_dynamic	0x80d0ce0	0x26		
MISSING	get_internal_charset	0x80d2140	0x12a		
MISSING	get_salt_from_password	0x80a2170	0x86		
MISSING	get_salt_from_password_323	0x80a1f20	0x1d3		
MISSING	get_type	0x80d0640	0x30		
MISSING	handle_default_option	0x80d2cc0	0xb3		
MISSING	handle_local_infile	0x809dd30	0x211		
MISSING	has_path	0x80d6a50	0x30		
MISSING	hash_password	0x80a1e80	0xa0		
MISSING	init_alloc_root	0x80d5a70	0xab		
MISSING	init_available_charsets.clone.0	0x80d2270	0x102		
MISSING	init_client_errs	0x8098a30	0x36		
MISSING	init_compiled_charsets	0x810b550	0x7a3		
MISSING	init_default_directories	0x80d2880	0xd3		
