status	name	orig_addr	orig_size	new_addr	new_size
DIFF	_ZN12EpollReactorIN17ChannelServiceApp7TCPUserEE12handleEventsEjb	0x805b0f6	0x433	0x8059a18	0x42d
NEAR	_ZN12LinuxServiceC1Ev	0x804b094	0x3c	0x8050598	0x3c
NEAR	_ZN12LinuxServiceC2Ev	0x804b094	0x3c	0x8050598	0x3c
NEAR	_ZN13ScriptRawData10push_childEPS_	0x80608ca	0x50	0x8051f4a	0x50
NEAR	_ZN13ScriptRawDataC1EPcS0_i	0x8060664	0x100	0x8051c76	0x100
NEAR	_ZN13ScriptRawDataC2EPcS0_i	0x8060664	0x100	0x8051c76	0x100
NEAR	_ZN14GlobalInstanceI10ScriptDataE6createEv	0x804a614	0xc3	0x8051797	0xc3
NEAR	_ZN14GlobalInstanceI6ScriptE6createEv	0x804a551	0xc3	0x8052d61	0xc3
DIFF	_ZN15TGlobalInstanceI21TextOutputDevice_FILEE6createEv	0x80526b6	0x8e	0x8064320	0x8d
DIFF	_ZN15TGlobalInstanceI23TextOutputDevice_stdoutE6createEv	0x8052782	0x93	0x805f43e	0xad
DIFF	_ZN17ChannelServiceApp14ChannelService15onCS_GET_SCRIPTEP15tagPacketHeaderPNS_7TCPUserE	0x80505ce	0x48f	0x80600a0	0x48b
DIFF	_ZN17ChannelServiceApp14ChannelService15onSC_GET_SCRIPTEP15tagPacketHeaderPNS_7TCPUserE	0x8050f82	0x172	0x805fb06	0x172
NEAR	_ZN17ChannelServiceApp14ChannelService17registerProtocolsEv	0x804dc78	0x1c5	0x805f8ea	0x1c5
DIFF	_ZN17ChannelServiceApp14ChannelService21onCS_ASK_CHANNEL_INFOEP15tagPacketHeaderPNS_7TCPUserE	0x804ee64	0x918	0x8060628	0x913
DIFF	_ZN17ChannelServiceApp14ChannelService24onCS_UPDATE_CHANNEL_INFOEP15tagPacketHeaderPNS_7TCPUserE	0x804f786	0xb15	0x8060f3c	0xb0d
DIFF	_ZN17ChannelServiceApp14ChannelService25onCS_CHECK_SCRIPT_VERSIONEP15tagPacketHeaderPNS_7TCPUserE	0x805029c	0x332	0x8061a4a	0x330
NEAR	_ZN17ChannelServiceApp7TCPUser7onCloseEPci	0x805d606	0x151	0x8054450	0x151
NEAR	_ZN17ChannelServiceApp7TCPUser8setACCIDEj	0x805a88c	0xe	0x805907e	0xe
NEAR	_ZN17ChannelServiceApp7UDPUserC1Ev	0x805f8e8	0x13	0x8056442	0x13
NEAR	_ZN17ChannelServiceApp7UDPUserC2Ev	0x805f8e8	0x13	0x8056442	0x13
DIFF	_ZN17ChannelServiceApp9UDPThread4loopEPv	0x805f6ca	0x1cd	0x805c51a	0x1c7
NEAR	_ZN23TextOutputDevice_stdoutC1Ev	0x8052766	0x1c	0x8062c9e	0x1c
NEAR	_ZN23TextOutputDevice_stdoutC2Ev	0x8052766	0x1c	0x8062c9e	0x1c
NEAR	_ZN6Script13on_keyval_tagEPcS0_	0x8060048	0xc6	0x8052948	0xc6
NEAR	_ZN6Script4loadEPc	0x805fbe8	0x14d	0x80524e8	0x14d
NEAR	_ZN8TMsgCellILi128EEC1Ev	0x8052948	0x32	0x805e262	0x32
NEAR	_ZN8TMsgCellILi128EEC2Ev	0x8052948	0x32	0x805e262	0x32
DIFF	_ZN9TCPSocket8shutdownEi	0x804c8c0	0xd	0x80534f4	0xa
DIFF	__deregister_frame	0x806c290	0x31	0x8073f20	0x3e
DIFF	__deregister_frame_info_bases	0x806c180	0xff	0x8073ec0	0x24
DIFF	__register_frame	0x806b8f0	0x42	0x8073c90	0x9b
DIFF	__register_frame_info_bases	0x806a7a0	0x99	0x8073b70	0x8b
DIFF	__register_frame_info_table_bases	0x806a870	0x93	0x8073d30	0x73
DIFF	__register_frame_table	0x806b8b0	0x33	0x8073e30	0x83
DIFF	classify_object_over_fdes	0x806ae60	0x169	0x8072fb0	0x306
DIFF	execute_stack_op	0x80682a0	0xe7d	0x806e9b0	0x87e
DIFF	fde_mixed_encoding_compare	0x806b170	0x8c	0x8073530	0x102
DIFF	fde_single_encoding_compare	0x806b0f0	0x7c	0x8073480	0xa2
DIFF	fde_unencoded_compare	0x806a940	0x1c	0x8071b30	0x22
DIFF	frame_downheap	0x806a960	0xb8	0x8071b60	0x98
DIFF	get_cie_encoding	0x806ad40	0x112	0x8072650	0x118
DIFF	init_dwarf_reg_size_table	0x8067720	0x80	0x806e5f0	0x7f
DIFF	linear_search_fdes	0x806b200	0x143	0x80738c0	0x2b0
