status	name	orig_addr	orig_size	new_addr	new_size	md_file
DIFF	_ZL15get_ttype_entryP16lsda_header_infom	0x809dd80	0x8c	0x809e3c0	0x8c	
DIFF	_ZN12_GLOBAL__N_116get_locale_mutexEv	0x805dd60	0xa3	0x805d320	0xaf	
DIFF	_ZN12_GLOBAL__N_121system_error_categoryD0Ev	0x805f5e0	0x15	0x805ebe0	0x16	
DIFF	_ZN12_GLOBAL__N_122generic_error_categoryD0Ev	0x805f600	0x15	0x805ec00	0x16	
DIFF	_ZN12_GLOBAL__N_1L6xwriteEiPKci	0x809c8f0	0x4a	0x809c1a0	0x4c	
DIFF	_ZNK12_GLOBAL__N_121system_error_category7messageEi	0x805f6c0	0x3a	0x805ecc0	0x3c	
DIFF	_ZNK12_GLOBAL__N_122generic_error_category7messageEi	0x805f680	0x3a	0x805ec80	0x3c	
NEAR	__deregister_frame	0x80b3c30	0x31	0x80b34d0	0x31	
NEAR	__deregister_frame_info_bases	0x80b3b20	0xff	0x80b33c0	0xff	
DIFF	__dynamic_cast	0x809fe10	0x10a	0x809de20	0x109	
DIFF	__gcclibcxx_demangle_callback	0x80ae560	0x3a	0x80ae070	0x3a	
NEAR	__register_frame	0x80b3290	0x42	0x80b2b30	0x42	
NEAR	__register_frame_info_bases	0x80b2140	0x99	0x80b19c0	0x99	
NEAR	__register_frame_info_table_bases	0x80b2210	0x93	0x80b1a90	0x93	
NEAR	__register_frame_table	0x80b3250	0x33	0x80b2af0	0x33	
DIFF	d_append_buffer	0x80ac450	0xa7	0x80abf50	0xb0	
DIFF	d_append_char	0x80aa540	0x7c	0x80aa020	0x7c	
DIFF	d_append_string	0x80ac500	0xc0	0x80ac000	0xc1	
DIFF	d_bare_function_type	0x80abc20	0xfa	0x80ab710	0xfa	
DIFF	d_call_offset	0x80aa1a0	0x64	0x80a9c80	0x64	
DIFF	d_cv_qualifiers	0x80aa210	0xa1	0x80a9cf0	0xa2	
DIFF	d_demangle_callback	0x80ae220	0x335	0x80add30	0x331	
DIFF	d_encoding	0x80aacb0	0x5a9	0x80aa7a0	0x5a9	
DIFF	d_expr_primary	0x80ab260	0x13d	0x80aad50	0x13d	
DIFF	d_expression	0x80abeb0	0x3e2	0x80ab9b0	0x3e2	
DIFF	d_exprlist	0x80ac2a0	0xa1	0x80abda0	0xa2	
DIFF	d_find_pack	0x80aa5c0	0xb4	0x80aa0a0	0xb4	
DIFF	d_growable_string_callback_adapter	0x80ac350	0xf2	0x80abe50	0xf2	
DIFF	d_make_comp	0x80aa020	0x8d	0x80a9b00	0x8d	
DIFF	d_make_name	0x80aa0b0	0x61	0x80a9b90	0x61	
DIFF	d_name	0x80aa940	0x368	0x80aa420	0x371	
DIFF	d_number	0x80aa120	0x7f	0x80a9c00	0x7f	
DIFF	d_operator_name	0x80abd20	0x18a	0x80ab810	0x1a0	
DIFF	d_print_array_type	0x80ac5c0	0x32c	0x80ac0d0	0x32c	
DIFF	d_print_cast	0x80ae860	0x199	0x80ae370	0x1a1	
DIFF	d_print_comp	0x80acdb0	0x1464	0x80ac8c0	0x1464	
DIFF	d_print_expr_op	0x80aea00	0xc7	0x80ae520	0xd0	
DIFF	d_print_function_type	0x80aca50	0x35c	0x80ac560	0x35c	
