status	name	orig_addr	orig_size	new_addr	new_size	md_file
MISSING	ACCESS_DESCRIPTION_free	0x883f6d0	0x1b			
MISSING	ACCESS_DESCRIPTION_new	0x883f710	0x13			
MISSING	AES_decrypt	0x887e260	0x478			
MISSING	AES_encrypt	0x887ddd0	0x487			
MISSING	AES_options	0x887c970	0x6			
MISSING	AES_set_decrypt_key	0x887c980	0x5			
MISSING	AES_set_encrypt_key	0x887c990	0x5			
MISSING	AES_unwrap_key	0x887c9a0	0x154			
MISSING	AES_wrap_key	0x887cb00	0x127			
MISSING	ASN1_BIT_STRING_check	0x881e8e0	0x94			
MISSING	ASN1_BIT_STRING_free	0x88279f0	0x1b			
MISSING	ASN1_BIT_STRING_get_bit	0x881e890	0x47			
MISSING	ASN1_BIT_STRING_new	0x8827c50	0x13			
MISSING	ASN1_BIT_STRING_set	0x881eda0	0x5			
MISSING	ASN1_BIT_STRING_set_bit	0x881e980	0x155			
MISSING	ASN1_BMPSTRING_free	0x8827870	0x1b			
MISSING	ASN1_BMPSTRING_new	0x8827ad0	0x13			
MISSING	ASN1_ENUMERATED_free	0x8827a10	0x1b			
MISSING	ASN1_ENUMERATED_get	0x88686c0	0x7c			
MISSING	ASN1_ENUMERATED_new	0x8827c70	0x13			
MISSING	ASN1_ENUMERATED_set	0x8868920	0x11a			
MISSING	ASN1_ENUMERATED_to_BN	0x8868740	0x91			
MISSING	ASN1_GENERALIZEDTIME_adj	0x88675c0	0x182			
MISSING	ASN1_GENERALIZEDTIME_check	0x8867290	0x32b			
MISSING	ASN1_GENERALIZEDTIME_free	0x88278d0	0x1b			
MISSING	ASN1_GENERALIZEDTIME_new	0x8827b30	0x13			
MISSING	ASN1_GENERALIZEDTIME_print	0x886ac60	0x2b5			
MISSING	ASN1_GENERALIZEDTIME_set	0x8867750	0x2b			
MISSING	ASN1_GENERALIZEDTIME_set_string	0x8867780	0x70			
MISSING	ASN1_GENERALSTRING_free	0x8827910	0x1b			
MISSING	ASN1_GENERALSTRING_new	0x8827b70	0x13			
MISSING	ASN1_IA5STRING_free	0x8827930	0x1b			
MISSING	ASN1_IA5STRING_new	0x8827b90	0x13			
MISSING	ASN1_INTEGER_cmp	0x881f670	0x45			
MISSING	ASN1_INTEGER_dup	0x881f6c0	0x5			
MISSING	ASN1_INTEGER_free	0x8827a30	0x1b			
MISSING	ASN1_INTEGER_get	0x881edb0	0x7c			
MISSING	ASN1_INTEGER_new	0x8827c90	0x13			
MISSING	ASN1_INTEGER_set	0x881f020	0x11a			
MISSING	ASN1_INTEGER_to_BN	0x881ee30	0x91			
MISSING	ASN1_NULL_free	0x88279b0	0x1b			
MISSING	ASN1_NULL_new	0x8827c10	0x13			
MISSING	ASN1_OBJECT_create	0x881dcb0	0x43			
MISSING	ASN1_OBJECT_free	0x881dd00	0x7d			
MISSING	ASN1_OBJECT_new	0x881dd80	0x80			
MISSING	ASN1_OCTET_STRING_cmp	0x881f6e0	0x5			
MISSING	ASN1_OCTET_STRING_dup	0x881f6f0	0x5			
MISSING	ASN1_OCTET_STRING_free	0x88279d0	0x1b			
MISSING	ASN1_OCTET_STRING_new	0x8827c30	0x13			
MISSING	ASN1_OCTET_STRING_set	0x881f6d0	0x5			
MISSING	ASN1_PCTX_free	0x8827d50	0x5			
MISSING	ASN1_PCTX_get_cert_flags	0x8827cf0	0x8			
MISSING	ASN1_PCTX_get_flags	0x8827cb0	0x7			
MISSING	ASN1_PCTX_get_nm_flags	0x8827cd0	0x8			
MISSING	ASN1_PCTX_get_oid_flags	0x8827d10	0x8			
MISSING	ASN1_PCTX_get_str_flags	0x8827d30	0x8			
MISSING	ASN1_PCTX_new	0x88288d0	0x79			
MISSING	ASN1_PCTX_set_cert_flags	0x8827d00	0xc			
MISSING	ASN1_PCTX_set_flags	0x8827cc0	0xb			
MISSING	ASN1_PCTX_set_nm_flags	0x8827ce0	0xc			
MISSING	ASN1_PCTX_set_oid_flags	0x8827d20	0xc			
MISSING	ASN1_PCTX_set_str_flags	0x8827d40	0xc			
MISSING	ASN1_PRINTABLESTRING_free	0x8827970	0x1b			
MISSING	ASN1_PRINTABLESTRING_new	0x8827bd0	0x13			
MISSING	ASN1_PRINTABLE_free	0x8827830	0x1b			
MISSING	ASN1_PRINTABLE_new	0x8827a90	0x13			
MISSING	ASN1_PRINTABLE_type	0x8884530	0xc8			
MISSING	ASN1_STRING_TABLE_add	0x886e6c0	0x182			
MISSING	ASN1_STRING_TABLE_cleanup	0x886e4f0	0x2a			
MISSING	ASN1_STRING_TABLE_get	0x886e540	0x71			
MISSING	ASN1_STRING_cmp	0x882a260	0x58			
MISSING	ASN1_STRING_copy	0x882a7b0	0x5e			
MISSING	ASN1_STRING_data	0x882a1c0	0x8			
MISSING	ASN1_STRING_dup	0x882a900	0xe0			
MISSING	ASN1_STRING_free	0x882a2c0	0x45			
MISSING	ASN1_STRING_get_default_mask	0x886e4b0	0x6			
MISSING	ASN1_STRING_length	0x882a190	0x7			
MISSING	ASN1_STRING_length_set	0x882a1a0	0xb			
MISSING	ASN1_STRING_new	0x882a880	0x72			
MISSING	ASN1_STRING_print	0x886a830	0xc9			
MISSING	ASN1_STRING_print_ex	0x886a0d0	0x1a			
MISSING	ASN1_STRING_print_ex_fp	0x886a0b0	0x1a			
MISSING	ASN1_STRING_set	0x882a690	0x119			
MISSING	ASN1_STRING_set0	0x882a310	0x29			
MISSING	ASN1_STRING_set_by_NID	0x886e850	0x13b			
MISSING	ASN1_STRING_set_default_mask	0x886e4a0	0xa			
MISSING	ASN1_STRING_set_default_mask_asc	0x886e5c0	0xfb			
MISSING	ASN1_STRING_to_UTF8	0x8869860	0x79			
MISSING	ASN1_STRING_type	0x882a1b0	0x8			
MISSING	ASN1_STRING_type_new	0x882a340	0x76			
MISSING	ASN1_T61STRING_free	0x8827950	0x1b			
MISSING	ASN1_T61STRING_new	0x8827bb0	0x13			
MISSING	ASN1_TIME_adj	0x8867820	0xed			
MISSING	ASN1_TIME_check	0x88677f0	0x25			
MISSING	ASN1_TIME_free	0x8867940	0x1b			
MISSING	ASN1_TIME_new	0x8867960	0x13			
MISSING	ASN1_TIME_print	0x886af20	0x4e			
MISSING	ASN1_TIME_set	0x8867910	0x2b			
MISSING	ASN1_TIME_set_string	0x8867b10	0x79			
MISSING	ASN1_TIME_to_generalizedtime	0x88679e0	0x12a			
MISSING	ASN1_TYPE_cmp	0x8867bb0	0x53			
MISSING	ASN1_TYPE_free	0x8827850	0x1b			
MISSING	ASN1_TYPE_get	0x8867b90	0x19			
MISSING	ASN1_TYPE_get_int_octetstring	0x882aa60	0x1ee			
MISSING	ASN1_TYPE_get_octetstring	0x882a9e0	0x7c			
MISSING	ASN1_TYPE_new	0x8827ab0	0x13			
