symbol,demangled,category,reason,diff_excerpt,date
_Z14NumberToStringji,"NumberToString(unsigned int, int)",codegen_diff,"栈帧/局部布局差异 2 处（栈局部偏移不同（lea    -0x208(%eax),%eax | lea    -0x210(%eax),%eax）；栈局部偏移不同（lea    -0x208(%eax),%eax | lea    -0x210(%eax),%eax））","--- ORIG（伪代码化）
+++ OURS（伪代码化）
@@ -1,22 +1,22 @@
 push   %ebp
 mov    %esp,%ebp
 sub    $0x18,%esp
 mov    0xc(%ebp),%eax
 mov    %eax,%edx
 shl    $0x6,%edx
 mov    %gs:0x0,%eax
-lea    -0x208(%eax),%eax
+lea    -0x210(%eax),%eax",2026-08-11
_Z14NumberToStringyi,"NumberToString(unsigned long long, int)",codegen_diff,"栈帧/局部布局差异 2 处（栈局部偏移不同（lea    -0x208(%eax),%eax | lea    -0x210(%eax),%eax）；栈局部偏移不同（lea    -0x208(%eax),%eax | lea    -0x210(%eax),%eax））","--- ORIG（伪代码化）
+++ OURS（伪代码化）
@@ -1,29 +1,29 @@
 push   %ebp
 mov    %esp,%ebp
 sub    $0x28,%esp
 mov    0x8(%ebp),%eax
 mov    %eax,-0x10(%ebp)
 mov    0xc(%ebp),%eax
 mov    %eax,-0xc(%ebp)
 mov    0x10(%ebp),%eax
 mov    %eax,%edx",2026-08-11
_Z14signal_handleri,signal_handler(int),caliber_issue,"立即数/常量差异 1 处（立即数不同（sub    $0x18,%esp | sub    $0x28,%esp））；其余指令差异 8 处（操作数差异（mov    %eax,(%esp) | mov    %eax,-0x10(%ebp)）；助记符不同（call   <T> <_ZNK17CSignalTranslator9getSignalEi> | mov    0x8(%ebp),%eax））","--- ORIG（伪代码化）
+++ OURS（伪代码化）
@@ -1,16 +1,21 @@
 push   %ebp
 mov    %esp,%ebp
-sub    $0x18,%esp
+sub    $0x28,%esp
 call   <T> <_Z25CSignalTranslatorInstancev>
+mov    %eax,-0x10(%ebp)
+mov    0x8(%ebp),%eax
+mov    %eax,0x4(%esp)
+mov    -0x10(%ebp),%eax",2026-08-11
_Z20CApplicationInstancev,CApplicationInstance(),caliber_issue,"匿名数据指针差异 1 处（匿名数据指针差异（movl   $&data#b8e3732b(.rodata),0x8(%esp) | movl   $&data#193a0d28(.data),0x8(%esp)））","--- ORIG（伪代码化）
+++ OURS（伪代码化）
@@ -1,44 +1,44 @@
 push   %ebp
 mov    %esp,%ebp
 push   %edi
 push   %esi
 push   %ebx
 sub    $0x1c,%esp
 mov    $&_ZGVZ20CApplicationInstancevE8instance,%eax
 movzbl (%eax),%eax
 test   %al,%al",2026-08-11
_Z21CPacketTracerInstancev,CPacketTracerInstance(),caliber_issue,"匿名数据指针差异 1 处（匿名数据指针差异（movl   $&data#b8e3732b(.rodata),0x8(%esp) | movl   $&data#193a0d28(.data),0x8(%esp)））","--- ORIG（伪代码化）
+++ OURS（伪代码化）
@@ -1,44 +1,44 @@
 push   %ebp
 mov    %esp,%ebp
 push   %edi
 push   %esi
 push   %ebx
 sub    $0x1c,%esp
 mov    $&_ZGVZ21CPacketTracerInstancevE8instance,%eax
 movzbl (%eax),%eax
 test   %al,%al",2026-08-11
_Z21GetScheduleTimeAsWDayii,"GetScheduleTimeAsWDay(int, int)",codegen_diff,"等价指令形态差异 1 处（等价指令形态差异（lea vs mov））；栈帧/局部布局差异 14 处（栈局部偏移不同（lea    -0x10(%ebp),%eax | lea    -0x18(%ebp),%eax）；栈局部偏移不同（mov    %edx,-0x40(%ebp) | mov    -0x14(%ebp),%eax））；其余指令差异 26 处（助记符不同（lea    -0x10(%ebp),%eax | movl   $0x0,(%esp)）；操作数差异（mov    %eax,(%esp) | mov    %eax,-0x18(%ebp)））","--- ORIG（伪代码化）
+++ OURS（伪代码化）
@@ -1,59 +1,70 @@
 push   %ebp
 mov    %esp,%ebp
 sub    $0x58,%esp
-lea    -0x10(%ebp),%eax
-mov    %eax,(%esp)
+movl   $0x0,(%esp)
 call   <T> <time>
-lea    -0x10(%ebp),%eax
+mov    %eax,-0x18(%ebp)",2026-08-11
_Z22CFileLogWriterInstancev,CFileLogWriterInstance(),caliber_issue,"匿名数据指针差异 1 处（匿名数据指针差异（movl   $&data#b8e3732b(.rodata),0x8(%esp) | movl   $&data#193a0d28(.data),0x8(%esp)））","--- ORIG（伪代码化）
+++ OURS（伪代码化）
@@ -1,44 +1,44 @@
 push   %ebp
 mov    %esp,%ebp
 push   %edi
 push   %esi
 push   %ebx
 sub    $0x1c,%esp
 mov    $&_ZGVZ22CFileLogWriterInstancevE8instance,%eax
 movzbl (%eax),%eax
 test   %al,%al",2026-08-11
_Z22CPacketDecoderInstancev,CPacketDecoderInstance(),caliber_issue,"匿名数据指针差异 1 处（匿名数据指针差异（movl   $&data#b8e3732b(.rodata),0x8(%esp) | movl   $&data#193a0d28(.data),0x8(%esp)））","--- ORIG（伪代码化）
+++ OURS（伪代码化）
@@ -1,25 +1,25 @@
 push   %ebp
 mov    %esp,%ebp
 sub    $0x18,%esp
 mov    $&_ZGVZ22CPacketDecoderInstancevE8instance,%eax
 movzbl (%eax),%eax
 test   %al,%al
 jne    <T> <_Z22CPacketDecoderInstancev+0x5c>
 movl   $&_ZGVZ22CPacketDecoderInstancevE8instance,(%esp)
 call   <T> <__cxa_guard_acquire>",2026-08-11
_Z24CheckDayScheduleTimeOveril,"CheckDayScheduleTimeOver(int, long)",codegen_diff,"寄存器分配差异 1 处（寄存器分配差异（imul   $0xfffeae80,%eax,%edx | imul   $0xfffeae80,%eax,%eax））；等价指令形态差异 1 处（等价指令形态差异（lea vs mov））；其余指令差异 5 处（助记符不同（lea    -0xc(%ebp),%eax | movl   $0x0,(%esp)）；操作数差异（mov    %eax,(%esp) | mov    %eax,-0x10(%ebp)））","--- ORIG（伪代码化）
+++ OURS（伪代码化）
@@ -1,14 +1,16 @@
 push   %ebp
 mov    %esp,%ebp
 sub    $0x28,%esp
-lea    -0xc(%ebp),%eax
-mov    %eax,(%esp)
+movl   $0x0,(%esp)
 call   <T> <time>
+mov    %eax,-0x10(%ebp)
 mov    0x8(%ebp),%eax",2026-08-11
_Z25CSignalTranslatorInstancev,CSignalTranslatorInstance(),caliber_issue,"匿名数据指针差异 1 处（匿名数据指针差异（movl   $&data#b8e3732b(.rodata),0x8(%esp) | movl   $&data#193a0d28(.data),0x8(%esp)））","--- ORIG（伪代码化）
+++ OURS（伪代码化）
@@ -1,25 +1,25 @@
 push   %ebp
 mov    %esp,%ebp
 sub    $0x18,%esp
 mov    $&_ZGVZ25CSignalTranslatorInstancevE8instance,%eax
 movzbl (%eax),%eax
 test   %al,%al
 jne    <T> <_Z25CSignalTranslatorInstancev+0x5c>
 movl   $&_ZGVZ25CSignalTranslatorInstancevE8instance,(%esp)
 call   <T> <__cxa_guard_acquire>",2026-08-11
