status	name	orig_addr	orig_size	new_addr	new_size	md_file
NEAR	_ZN13CTcpNetSystem10SendPacketEv	0x8058bf4	0x2f1	0x8066f78	0x2f1	_ZN13CTcpNetSystem10SendPacketEv.md
DIFF	_ZN17CUdpNetworkThread8dispatchEPv	0x806b180	0x8eb	0x8055600	0x8eb	_ZN17CUdpNetworkThread8dispatchEPv.md
DIFF	_ZN5CPeer11send_packetEv	0x8057212	0x24d	0x806443a	0x24d	_ZN5CPeer11send_packetEv.md
DIFF	_ZN5CPeer7parsingEi	0x8056b6c	0x489	0x8064916	0x483	_ZN5CPeer7parsingEi.md
NEAR	_my_thread_var	0x8107fe0	0x28	0x80d3f60	0x28	
DIFF	add_collation	0x8101220	0x680	0x80dad10	0x67e	
NEAR	add_compiled_collation	0x8100a80	0x27	0x80da720	0x27	
NEAR	add_directory	0x8102050	0x72	0x80c3650	0x72	
NEAR	add_init_command	0x80c4470	0xaa	0x80ba5c0	0xaa	
DIFF	alloc_dynamic	0x8100860	0xbf	0x80da440	0xbf	
NEAR	alloc_root	0x8104f30	0x138	0x80d1210	0x138	
DIFF	alloc_stmt_fields	0x80c9f20	0x210	0x80cb0e0	0x218	
NEAR	allocate_dynamic	0x81006f0	0xc5	0x80da2d0	0xc5	
NEAR	array_append_string_unique	0x8103cb0	0x7c	0x80cff80	0x7c	
NEAR	atoi_octal	0x81066c0	0x78	0x80d2600	0x78	
NEAR	bchange	0x8108e20	0x82	0x80da660	0x82	
DIFF	build_tree	0x8139800	0xa80	0x80b7cd0	0x503	
NEAR	check_date	0x80ce8e0	0xac	0x80d4660	0xac	
NEAR	check_scramble	0x80d1a90	0xf4	0x80d78e0	0xf4	
DIFF	check_scramble_323	0x80d1ea0	0x7b7	0x80d7cf0	0x136	
DIFF	cleanup_dirname	0x8104370	0x3a9	0x80d0640	0x3b1	
DIFF	cli_advanced_command	0x80c8040	0x20e	0x80be110	0x20e	
NEAR	cli_flush_use_result	0x80c63f0	0x6f	0x80bc6a0	0x6f	
NEAR	cli_list_fields	0x80cd1f0	0x80	0x80ced60	0x80	
NEAR	cli_read_binary_rows	0x80ca640	0x16d	0x80cba00	0x16d	
NEAR	cli_read_change_user_result	0x80cd860	0xd2	0x80cf4a0	0xd2	
NEAR	cli_read_prepare_result	0x80ccc40	0x15e	0x80ce7b0	0x15e	
DIFF	cli_read_query_result	0x80c60b0	0x21b	0x80bc360	0x21b	
DIFF	cli_read_rows	0x80c5d70	0x33a	0x80bc090	0x2c2	
NEAR	cli_read_statistics	0x80ca130	0x69	0x80cb300	0x69	
NEAR	cli_safe_read	0x80c59c0	0x17b	0x80bbce0	0x17b	
DIFF	cli_stmt_execute	0x80ce220	0x66c	0x80ce300	0x303	
NEAR	cli_unbuffered_fetch	0x80ca7b0	0x4d	0x80cbb70	0x4d	
NEAR	cli_use_result	0x80c42e0	0x188	0x80ba430	0x188	
NEAR	comp_names	0x81069d0	0x2e	0x80d2910	0x2e	
MISSING	compress	0x8135800	0x40			
DIFF	compress_block	0x8139270	0x584	0x80b8f70	0x584	
NEAR	convert_dirname	0x8103d60	0x73	0x80d0030	0x73	
NEAR	copy_typelib	0x80ffec0	0x13a	0x80d8840	0x13a	
DIFF	create_fromuni	0x810bf40	0x26e	0x80c0a00	0x277	
NEAR	create_random_string	0x80d1d80	0x69	0x80d7bd0	0x69	
DIFF	create_tailoring	0x810d190	0xb0e	0x80deb00	0x813	
NEAR	cs_alloc	0x81010a0	0x2b	0x80dab90	0x2b	
NEAR	cs_enter	0x81173b0	0x96	0x80e4a70	0x96	
NEAR	cs_leave	0x8116d40	0x92	0x80e43a0	0x92	
DIFF	cs_value	0x8116ee0	0x4c4	0x80e4540	0x524	
DIFF	d2b	0x81176f0	0x3de	0x80c5510	0x133	
NEAR	default_local_infile_end	0x80cd390	0x46	0x80cefd0	0x46	
NEAR	default_local_infile_error	0x80cd180	0x6c	0x80cecf0	0x6c	
NEAR	default_local_infile_init	0x80cd480	0xf4	0x80cf0c0	0xf4	
NEAR	default_local_infile_read	0x80cd3e0	0xa0	0x80cf020	0xa0	
NEAR	delete_dynamic	0x8100630	0x4d	0x80da210	0x4d	
NEAR	delete_dynamic_element	0x81005d0	0x5b	0x80da1b0	0x5b	
NEAR	directory_file_name	0x8106980	0x4e	0x80d28c0	0x4e	
DIFF	dirname_length	0x8103d30	0x30	0x80d0000	0x30	
NEAR	dirname_part	0x8103de0	0x54	0x80d00b0	0x54	
MISSING	dtoa.clone.0	0x811a480	0x25cb			
NEAR	end_server	0x80c5960	0x60	0x80bbba0	0x60	
DIFF	fetch_datetime_with_conversion	0x80cb670	0x1e3	0x80ccf20	0x21b	
DIFF	fetch_float_with_conversion	0x80cb1b0	0x4b3	0x80cc9d0	0x54b	
DIFF	fetch_long_with_conversion	0x80cadc0	0x3e3	0x80cc450	0x57b	
NEAR	fetch_result_bin	0x80ca8f0	0x71	0x80cbcb0	0x71	
DIFF	fetch_result_date	0x80cdff0	0x9d	0x80cbdd0	0x15	
DIFF	fetch_result_datetime	0x80ce160	0xbd	0x80cbfa0	0x15	
DIFF	fetch_result_int64	0x80ca470	0x61	0x80cb770	0x5d	
NEAR	fetch_result_str	0x80ca870	0x7d	0x80cbc30	0x7d	
DIFF	fetch_result_time	0x80ce090	0xc5	0x80cbec0	0x15	
DIFF	fetch_result_with_conversion	0x80cb860	0x3b8	0x80cd140	0x282	
DIFF	fetch_string_with_conversion	0x80ca970	0x44a	0x80cbfc0	0x482	
NEAR	fill_uchar	0x8116de0	0xf2	0x80e4440	0xf2	
DIFF	find_type	0x8100060	0x27b	0x80d89e0	0x213	
NEAR	find_type_or_exit	0x81003f0	0x117	0x80d8d10	0x117	
DIFF	find_typeset	0x81002e0	0x105	0x80d8c00	0x109	
NEAR	finish_client_errs	0x80c8250	0x2c	0x80c9500	0x2c	
NEAR	flush_one_result	0x80c6380	0x6c	0x80bc630	0x6c	
NEAR	fn_ext	0x8103e40	0x6d	0x80d0110	0x6d	
DIFF	fn_format	0x8103f00	0x3a3	0x80d01d0	0x3a3	
NEAR	free_charsets	0x8100ab0	0x1a	0x80da750	0x1a	
NEAR	free_defaults	0x81024a0	0x61	0x80c3aa0	0x61	
NEAR	free_old_query	0x80c52c0	0x8a	0x80bb500	0x8a	
DIFF	free_root	0x8104e20	0x102	0x80d1100	0x102	
NEAR	free_rows	0x80c5350	0x43	0x80bb590	0x43	
NEAR	free_vio_ssl_acceptor_fd	0x81207f0	0x36	0x80d9bf0	0x36	
NEAR	freeze_size	0x8100560	0x68	0x80da140	0x68	
DIFF	get_argument	0x81026f0	0xa4	0x80c3cf0	0xa4	
NEAR	get_charset	0x8101bd0	0xdd	0x80db6c0	0xdd	
NEAR	get_charset_by_csname	0x8101ee0	0xa9	0x80db9d0	0xa9	
NEAR	get_charset_by_name	0x8101d40	0xa1	0x80db830	0xa1	
NEAR	get_charset_name	0x8101ff0	0x5a	0x80dbae0	0x5a	
NEAR	get_charset_number	0x8101e40	0x9a	0x80db930	0x9a	
NEAR	get_charsets_dir	0x81018a0	0xed	0x80db390	0xed	
NEAR	get_collation_number	0x8101cb0	0x82	0x80db7a0	0x82	
NEAR	get_defaults_options	0x81025d0	0x119	0x80c3bd0	0x119	
NEAR	get_dynamic	0x8100680	0x69	0x80da260	0x69	
NEAR	get_internal_charset	0x8101990	0x12a	0x80db480	0x12a	
DIFF	get_salt_from_password	0x80d19c0	0x86	0x80d7810	0x88	
DIFF	get_salt_from_password_323	0x80d1770	0x1d3	0x80d7720	0x7f	
NEAR	get_type	0x80ffe90	0x30	0x80d8810	0x30	
NEAR	handle_default_option	0x8102510	0xb3	0x80c3b10	0xb3	
NEAR	handle_local_infile	0x80cd580	0x211	0x80cf1c0	0x211	
NEAR	has_path	0x81062a0	0x30	0x80d21e0	0x30	
DIFF	hash_password	0x80d16d0	0xa0	0x80d7690	0x8a	
