service	total_named	identical	identical_ae	near	diff	missing	empty	exempt_skip	non_identical
auction	2320	1050	588	4	37	641	0	6181	682
bridge	1218	350	195	0	0	673	0	2972	673
channel	642	388	254	0	0	0	0	804	0
community	279	187	87	0	5	0	0	2750	5
coserver	344	182	154	0	8	0	0	2668	8
dbmw	1755	659	213	281	596	6	0	6397	883
guild	1550	770	216	8	556	0	0	5501	564
manager	1249	493	196	256	298	6	0	5030	560
monitor	1679	946	301	16	416	0	0	6247	432
point	2320	1052	588	4	35	641	0	6181	680
relay	476	361	108	1	6	0	0	1472	7
statics	843	531	190	5	117	0	0	5241	122
stun	21	3	18	0	0	0	0	2	0
