symbol,demangled,category,reason,diff_excerpt,date
_Z12get_rand_inti,get_rand_int(int),codegen_diff,C语义一致（Ghidra反编译与源码逐句对应），但编译器输出不同：栈预留 0x18 vs 0x28；分支布局不同（ORIG 先判 n<0 再 n==0，OURS 先判 n==0）；LCG 计算 ORIG 用 -0x10 内存槽 imul/addl 循环，OURS 用 -0x14/-0x18/-0x1c 多槽且寄存器分配不同,"```diff
--- ORIG（伪代码化）
+++ OURS（伪代码化）
@@ -1,73 +1,78 @@
 push   %ebp
 mov    %esp,%ebp
-sub    $0x18,%esp
+sub    $0x28,%esp
 cmpl   $0x0,0x8(%ebp)
 jns    <T> <_Z12get_rand_inti+0x16>
 mov    $0x0,%eax
-jmp    <T> <_Z12get_rand_inti+0xf3>",2026-08-11
_Z14signal_handleri,signal_handler(int),codegen_diff,C语义一致（源码 getSignal(sig)->handle(sig) 与Ghidra反编译相同），编译器输出不同：栈预留 0x18 vs 0x28；OURS 额外用 -0x14/-0x10/-0xc 栈槽暂存并先取 (eax) 再取 (eax)，ORIG 直接两次解引用后间接调用，指令序列不同,"```diff
--- ORIG（伪代码化）
+++ OURS（伪代码化）
@@ -1,16 +1,23 @@
 push   %ebp
 mov    %esp,%ebp
-sub    $0x18,%esp
+sub    $0x28,%esp
 call   <T> <_Z25CSignalTranslatorInstancev>
+mov    %eax,-0x14(%ebp)
+mov    0x8(%ebp),%eax
+mov    %eax,0x4(%esp)",2026-08-11
_Z15GetNextSchedule2tmiii,"GetNextSchedule(tm, int, int, int)",codegen_diff,"C语义一致（Ghidra反编译与源码相同），编译器输出不同：ORIG 分支内 addl /usr/bin/zshx7,-0x10 与跳转布局，OURS movl /usr/bin/zshx7,-0x10；尾部 ORIG 先 imul 后 add 到 eax，OURS 先存 mktime 结果再 imul/add，指令调度不同","```diff
--- ORIG（伪代码化）
+++ OURS（伪代码化）
@@ -1,42 +1,41 @@
 push   %ebp
 mov    %esp,%ebp
 sub    $0x28,%esp
 mov    0x20(%ebp),%eax
 mov    0x34(%ebp),%edx
 mov    %edx,%ecx
 sub    %eax,%ecx
 mov    %ecx,%eax",2026-08-11
_Z15GetPrevSchedule2tmiii,"GetPrevSchedule(tm, int, int, int)",codegen_diff,C语义一致（Ghidra反编译与源码相同），仅尾部指令调度不同：ORIG imul 0xfffeae80 后 add 到 mktime 结果，OURS 先存 -0xc 再 imul/add，寄存器使用不同,"```diff
--- ORIG（伪代码化）
+++ OURS（伪代码化）
@@ -1,24 +1,23 @@
 push   %ebp
 mov    %esp,%ebp
 sub    $0x28,%esp
 mov    0x20(%ebp),%eax
 sub    0x34(%ebp),%eax
 mov    %eax,-0x10(%ebp)
 cmpl   $0x0,-0x10(%ebp)
 jns    <T> <_Z15GetPrevSchedule2tmiii+0x19>",2026-08-11
_Z20CApplicationInstancev,CApplicationInstance(),caliber_issue,唯一差异是 __cxa_atexit 第三参数（__dso_handle 模块句柄）：ORIG 解析为 &data#b8e3732b(.rodata)，OURS 为 &data#0c4fb883(.data)，内容相同的模块句柄因区段不同未被归并为同一符号,"```diff
--- ORIG（伪代码化）
+++ OURS（伪代码化）
@@ -1,44 +1,44 @@
 push   %ebp
 mov    %esp,%ebp
 push   %edi
 push   %esi
 push   %ebx
 sub    $0x1c,%esp
 mov    $&_ZGVZ20CApplicationInstancevE8instance,%eax
 movzbl (%eax),%eax",2026-08-11
_Z21CPacketTracerInstancev,CPacketTracerInstance(),caliber_issue,唯一差异是 __cxa_atexit 第三参数（__dso_handle）：ORIG &data#b8e3732b(.rodata) vs OURS &data#0c4fb883(.data)，同一模块句柄因区段不同未归并,"```diff
--- ORIG（伪代码化）
+++ OURS（伪代码化）
@@ -1,44 +1,44 @@
 push   %ebp
 mov    %esp,%ebp
 push   %edi
 push   %esi
 push   %ebx
 sub    $0x1c,%esp
 mov    $&_ZGVZ21CPacketTracerInstancevE8instance,%eax
 movzbl (%eax),%eax",2026-08-11
_Z22CFileLogWriterInstancev,CFileLogWriterInstance(),caliber_issue,唯一差异是 __cxa_atexit 第三参数（__dso_handle）：ORIG &data#b8e3732b(.rodata) vs OURS &data#0c4fb883(.data)，同一模块句柄因区段不同未归并,"```diff
--- ORIG（伪代码化）
+++ OURS（伪代码化）
@@ -1,44 +1,44 @@
 push   %ebp
 mov    %esp,%ebp
 push   %edi
 push   %esi
 push   %ebx
 sub    $0x1c,%esp
 mov    $&_ZGVZ22CFileLogWriterInstancevE8instance,%eax
 movzbl (%eax),%eax",2026-08-11
_Z22CPacketDecoderInstancev,CPacketDecoderInstance(),caliber_issue,静态变量已由 inst 重命名为 instance（与ORIG符号名一致），剩余唯一差异是 __cxa_atexit 第三参数 __dso_handle：ORIG &data#b8e3732b(.rodata) vs OURS &data#0c4fb883(.data)，同一模块句柄因区段不同未归并,"```diff
--- ORIG（伪代码化）
+++ OURS（伪代码化）
@@ -1,25 +1,25 @@
 push   %ebp
 mov    %esp,%ebp
 sub    $0x18,%esp
 mov    $&_ZGVZ22CPacketDecoderInstancevE8instance,%eax
 movzbl (%eax),%eax
 test   %al,%al
 jne    <T> <_Z22CPacketDecoderInstancev+0x5c>
 movl   $&_ZGVZ22CPacketDecoderInstancevE8instance,(%esp)",2026-08-11
_Z25CSignalTranslatorInstancev,CSignalTranslatorInstance(),caliber_issue,静态变量已由 inst 重命名为 instance（与ORIG符号名一致），剩余唯一差异是 __cxa_atexit 第三参数 __dso_handle：ORIG &data#b8e3732b(.rodata) vs OURS &data#0c4fb883(.data)，同一模块句柄因区段不同未归并,"```diff
--- ORIG（伪代码化）
+++ OURS（伪代码化）
@@ -1,25 +1,25 @@
 push   %ebp
 mov    %esp,%ebp
 sub    $0x18,%esp
 mov    $&_ZGVZ25CSignalTranslatorInstancevE8instance,%eax
 movzbl (%eax),%eax
 test   %al,%al
 jne    <T> <_Z25CSignalTranslatorInstancev+0x5c>
 movl   $&_ZGVZ25CSignalTranslatorInstancevE8instance,(%esp)",2026-08-11
_Z26CSystemTimeHandlerInstancev,CSystemTimeHandlerInstance(),caliber_issue,唯一差异是 __cxa_atexit 第三参数 __dso_handle：ORIG &data#b8e3732b(.rodata) vs OURS &data#0c4fb883(.data)，同一模块句柄因区段不同未归并,"```diff
--- ORIG（伪代码化）
+++ OURS（伪代码化）
@@ -1,25 +1,25 @@
 push   %ebp
 mov    %esp,%ebp
 sub    $0x18,%esp
 mov    $&_ZGVZ26CSystemTimeHandlerInstancevE8instance,%eax
 movzbl (%eax),%eax
 test   %al,%al
 jne    <T> <_Z26CSystemTimeHandlerInstancev+0x5c>
 movl   $&_ZGVZ26CSystemTimeHandlerInstancevE8instance,(%esp)",2026-08-11
