status	name	orig_addr	orig_size	new_addr	new_size
NEAR	_ZN10CAppConfig11Parse_TableEPci	0x805fa96	0x311	0x804e698	0x311
DIFF	_ZN10CIPCounter11setLoadTermEh	0x805e8ba	0x4c	0x8093fde	0x53
DIFF	_ZN10CIPCounter13setMinIPCountEh	0x805e906	0x20	0x8094032	0x1a
NEAR	_ZN10CIPCounter9setOptionEhh	0x805e830	0x89	0x809404c	0x89
NEAR	_ZN10CTableBase19Load_Txt_Table_DataEPKci	0x8062678	0xda	0x808434a	0xda
NEAR	_ZN11CCashObject15GetBuddysObjectEPP6CBuddy	0x80a0642	0x70	0x804d53c	0x70
DIFF	_ZN11CUdpHandler16InitServerSocketEi	0x80501bc	0x1b8	0x8087c26	0x1ad
DIFF	_ZN12CAppStopInit4InitEP12CApplicationiPPc	0x806bbd6	0x248	0x804fd90	0x248
DIFF	_ZN12CApplication15TranslateSignalEv	0x8064fb2	0x36c	0x8052fec	0x36c
DIFF	_ZN12CApplication4LoadEiPPc	0x8062f4e	0x10df	0x8050cd4	0x110e
DIFF	_ZN12CBuddyHandle11addFromCashEP6CBuddy	0x809e91a	0xb3	0x80580f0	0xb6
DIFF	_ZN12CBuddyHandle11printBuddysEPc	0x809f036	0x184	0x8058374	0x181
DIFF	_ZN12CBuddyHandle5addDBEP14CServerHandlerPc	0x809e5e0	0x1fe	0x805793e	0x20f
NEAR	_ZN12CBuddyHandle5delDBEP14CServerHandlerPc	0x809e9f2	0x1ce	0x8057b4e	0x1ce
NEAR	_ZN12CUserManager11AddSchoolNoEjh	0x8071f08	0x41b	0x808ca56	0x41b
DIFF	_ZN12CUserManager14GetSchoolCountEjPjRh	0x80724c6	0x227	0x808bd4e	0x21f
NEAR	_ZN12CUserManager15ProcessByMinuteEv	0x8071776	0x15c	0x808b1b4	0x15c
NEAR	_ZN12CUserManager17InsertUser_CharNoEjP5CUser	0x8071204	0xdf	0x808c27a	0xdf
NEAR	_ZN12CUserManager19InsertUser_CharNameEPcP5CUser	0x807140a	0xdf	0x808c35a	0xdf
DIFF	_ZN12CUserManager23SendConnectedBuddysListEP5CUser	0x8071b74	0x216	0x808bb3c	0x211
DIFF	_ZN12CUserManager27DeleteUsersOnGameServerDownEP11CGameServer	0x8070c7c	0x2f9	0x808b530	0x306
DIFF	_ZN12CUserManager30DeleteUsersOnTcpGameServerDownEP14CTcpGameServer	0x8070982	0x2f9	0x808b836	0x306
DIFF	_ZN12momiji_event13EndEffectTask10_DoExecuteEv	0x805c5f8	0x121	0x804aec2	0x13b
DIFF	_ZN13CAppStartInit4InitEP12CApplicationiPPc	0x806b272	0x265	0x804f820	0x263
DIFF	_ZN13CMemberExpTbl11Parse_TableEPci	0x8061e82	0x85	0x8061626	0x83
DIFF	_ZN13CMemberExpTbl17GetMemberExpLevelEj	0x8062120	0x82	0x80616aa	0x86
DIFF	_ZN13CPacketTracer8WriteLogEv	0x807db72	0x86	0x8069172	0x89
DIFF	_ZN13CTcpNetSystem10SendPacketEv	0x805345c	0x2f1	0x80a318a	0x2fb
DIFF	_ZN13CTcpNetSystem14OpenTcpServiceERiPKct	0x8053958	0x1b1	0x80a2d4e	0x1c1
DIFF	_ZN13CTcpNetSystem19CleanTcpSendPacketQEv	0x8053d1e	0x11c	0x80a377a	0x117
DIFF	_ZN13CTcpNetSystem4InitEt	0x8052fc2	0x13e	0x80a2c14	0x13a
NEAR	_ZN13CTcpNetSystemD1Ev	0x8052d38	0x28a	0x80a298a	0x28a
NEAR	_ZN13CTcpNetSystemD2Ev	0x8052d38	0x28a	0x80a298a	0x28a
DIFF	_ZN13np_server_xml10CServerXml9StrPunishEiPKcNS_12_eStringTypeE	0x8057ed2	0x265	0x809e3c8	0x264
DIFF	_ZN14CMemberManager10LoadMemberEjR14STMemberDBInfojjP14CServerHandler	0x809acda	0x216	0x806214c	0x216
DIFF	_ZN14CMemberManager12DeleteMemberEjb	0x8099e1c	0x14a	0x8061bf6	0x14a
DIFF	_ZN14CMemberManager12InsertMemberEjP7CMember	0x8099d2a	0xf2	0x806269e	0xf5
DIFF	_ZN14CMemberManager13MemerMemLoginEjP5CUser	0x809a698	0x3c9	0x8062ce6	0x3c6
DIFF	_ZN14CMemberManager14RegisterMemberEP7CMembersP5CUserb	0x8099f66	0x112	0x80628fe	0x116
DIFF	_ZN14CMemberManager15MemberMemLogoutEjP5CUserb	0x809aa62	0x23a	0x8061d40	0x237
DIFF	_ZN14CMemberManager19SaveMemberOnConnectEP14CServerHandlerP5CUserS3_h	0x809a078	0xd0	0x8062794	0xc7
DIFF	_ZN14CMemberManager21IsPossableMemberEnterEP5CUserP7CMemberS1_S3_i	0x809afe4	0x13d	0x8062006	0x146
DIFF	_ZN14CMemberManager21SaveMemberOnUnConnectEP14CServerHandlerjjjh	0x809a148	0xb8	0x806285c	0xa2
DIFF	_ZN14CMemberManager25MemberRegisterFlagProcessEv	0x809a37e	0x118	0x8061a70	0x117
DIFF	_ZN14CPacketCounterILi1000ELi10240EE12AfterProcessEi	0x807d5ac	0x11d	0x8068b2a	0x117
DIFF	_ZN14CPacketDecoder10TcpProcessEv	0x807cfd6	0x333	0x8068072	0x33f
DIFF	_ZN14CPacketDecoder10UdpProcessEv	0x807cca8	0x32e	0x80683b2	0x33a
DIFF	_ZN14CPacketDecoder9MsgDecodeEP12PacketHeader	0x807cab0	0x1f8	0x80686ec	0x1d0
NEAR	_ZN14CServerHandler16RegistGameServerEP12stServerInfo	0x807a614	0xfc	0x8080434	0xfc
DIFF	_ZN14CServerHandler20GetTcpGameServerByChEh	0x807a4d8	0x98	0x80805fe	0x97
DIFF	_ZN14CServerHandler7ProcessEv	0x80796b4	0x46f	0x807fad4	0x493
NEAR	_ZN14CServerHandlerD1Ev	0x80790ac	0x13b	0x807f96e	0x13b
NEAR	_ZN14CServerHandlerD2Ev	0x80790ac	0x13b	0x807f96e	0x13b
DIFF	_ZN15exchange_server18CCacheCharacterMgr14CollectGarbageEv	0x80938a0	0x107	0x805d93e	0x113
DIFF	_ZN15init_accusation22CInitAccusationListMgr11setScheduleERKb	0x80a9bac	0xb3	0x8050432	0xcf
DIFF	_ZN16CDNFProhibitUser20IsTimeOutConnectableEv	0x806ccfa	0x33	0x807f2be	0x38
DIFF	_ZN16CDNFProhibitUser22SetUserConnectableTimeEjscb	0x806cd2e	0x50	0x807f212	0x50
DIFF	_ZN16CServerInterface19IsHeartBeatTimeOverEv	0x807c2a8	0x58	0x8082a64	0x5a
DIFF	_ZN16CTcpAcceptThread8dispatchEPv	0x8059e70	0x405	0x80845ee	0x410
DIFF	_ZN16village_attacked23CVillageAttackedManager10OnScheduleEv	0x80a8656	0x270	0x80a7a92	0x271
DIFF	_ZN16village_attacked23CVillageAttackedManager11InsertTimerEii	0x80a88c6	0x1bd	0x80a7844	0x24d
DIFF	_ZN16village_attacked23CVillageAttackedManager14SendCharacRankEv	0x80a8d40	0x3a5	0x80a8ac0	0x34a
DIFF	_ZN16village_attacked23CVillageAttackedManager18UpdateHuntingPointEPP5CUserbPiPj	0x80a9904	0x211	0x80a88b0	0x210
DIFF	_ZN16village_attacked23CVillageAttackedManager20OnEndVillageAttackedEv	0x80a916e	0x147	0x80a80aa	0x183
DIFF	_ZN16village_attacked23CVillageAttackedManager25SendRequestRevengeDungeonEPc	0x80a9142	0x2b	0x80a9178	0x2a
DIFF	_ZN16village_attacked23CVillageAttackedManager34OnServerGroupRewardVillageAttackedEv	0x80a931c	0x258	0x80a8632	0x258
NEAR	_ZN17CPacketTranslater10OnAddBuddyEP12PacketHeader	0x808776e	0x210	0x8072c08	0x210
NEAR	_ZN17CPacketTranslater10OnDelBuddyEP12PacketHeader	0x8087c3e	0x234	0x80730ca	0x234
NEAR	_ZN17CPacketTranslater10OnEventEndEP12PacketHeader	0x80845bc	0x273	0x806fa18	0x273
DIFF	_ZN17CPacketTranslater11OnCharLoginEP12PacketHeader	0x807f5a2	0x8c3	0x806ae78	0x858
DIFF	_ZN17CPacketTranslater11OnHeartBeatEP12PacketHeader	0x807ec9e	0x313	0x806ab6a	0x30d
DIFF	_ZN17CPacketTranslater11OnUserRepelEP12PacketHeader	0x8083aec	0x2ea	0x806f23a	0x2f0
DIFF	_ZN17CPacketTranslater12OnCeraUpdateEP12PacketHeader	0x807fe66	0x210	0x806be98	0x20d
DIFF	_ZN17CPacketTranslater12OnEventStartEP12PacketHeader	0x8084332	0x28a	0x806f77e	0x29a
NEAR	_ZN17CPacketTranslater12OnForbidChatEP12PacketHeader	0x808753a	0x234	0x80704c4	0x234
NEAR	_ZN17CPacketTranslater12OnSetARSInfoEP12PacketHeader	0x808cce0	0x252	0x80781a2	0x252
NEAR	_ZN17CPacketTranslater13OnNoticeSlangEP12PacketHeader	0x8089270	0x1e7	0x80749e6	0x1e7
NEAR	_ZN17CPacketTranslater14OnBroadcastMsgEP12PacketHeader	0x808e724	0x1aa	0x8079e3a	0x1aa
DIFF	_ZN17CPacketTranslater14OnGMRequestMidEP12PacketHeader	0x80883f2	0x296	0x807386a	0x28c
DIFF	_ZN17CPacketTranslater14OnMemberSecedeEP12PacketHeader	0x8081be2	0x524	0x806d9f8	0x516
DIFF	_ZN17CPacketTranslater14onCollectItemsEP12PacketHeader	0x8090f48	0x390	0x807c4a6	0x3b5
NEAR	_ZN17CPacketTranslater15OnNoticeMessageEP12PacketHeader	0x80870bc	0x22a	0x8070046	0x22a
DIFF	_ZN17CPacketTranslater15OnPayTaxToUpperEP12PacketHeader	0x8082b74	0x58b	0x806e74a	0x5a5
DIFF	_ZN17CPacketTranslater15OnReplyUserInfoEP12PacketHeader	0x807efb2	0x5ef	0x806a580	0x5e9
DIFF	_ZN17CPacketTranslater16OnCallMemberListEP12PacketHeader	0x8082106	0x498	0x806df0e	0x4b0
DIFF	_ZN17CPacketTranslater16OnChangeCharNameEP12PacketHeader	0x8089824	0x3c4	0x8074f9a	0x3b6
DIFF	_ZN17CPacketTranslater16OnLogoutCompleteEP12PacketHeader	0x8083100	0x2f4	0x806ef3c	0x2fe
DIFF	_ZN17CPacketTranslater16OnPvPChannelInfoEP12PacketHeader	0x8089cb6	0x196	0x807541e	0x18d
DIFF	_ZN17CPacketTranslater16OnTakeScreenShotEP12PacketHeader	0x808c4e0	0x2c8	0x8077c28	0x2b1
NEAR	_ZN17CPacketTranslater16onCollectItemsGmEP12PacketHeader	0x80914f2	0x1f2	0x807ca76	0x1f2
DIFF	_ZN17CPacketTranslater17OnAddBuddyDBReplyEP12PacketHeader	0x808797e	0x2c0	0x8072e18	0x2b2
DIFF	_ZN17CPacketTranslater17OnCharacterDeleteEP12PacketHeader	0x80840d6	0x25b	0x806f52a	0x253
DIFF	_ZN17CPacketTranslater17OnDelBuddyDBReplyEP12PacketHeader	0x8087e72	0x25d	0x80732fe	0x25a
DIFF	_ZN17CPacketTranslater17OnEventItemUpdateEP12PacketHeader	0x8080076	0x328	0x806c0a6	0x328
NEAR	_ZN17CPacketTranslater17OnWebNoticeSingleEP12PacketHeader	0x8086f12	0x1aa	0x8072a5e	0x1aa
DIFF	_ZN17CPacketTranslater18OnGameServerRegistEP12PacketHeader	0x808d0dc	0x2ae	0x80787fc	0x2a8
DIFF	_ZN17CPacketTranslater18OnInnerPacketLoginEP12PacketHeader	0x8088c44	0x38f	0x8074382	0x3a9
DIFF	_ZN17CPacketTranslater18OnMemberEnterReplyEP12PacketHeader	0x8080fb0	0xc32	0x806cd7e	0xc79
NEAR	_ZN17CPacketTranslater18OnRegisterEventIdxEP12PacketHeader	0x808d9e8	0x16a	0x80790d4	0x16a
NEAR	_ZN17CPacketTranslater18OnReplyQueryMemberEP12PacketHeader	0x808039e	0x225	0x806c3ce	0x225
NEAR	_ZN17CPacketTranslater18OnRequestBlackListEP12PacketHeader	0x8085e52	0x207	0x8071880	0x207
DIFF	_ZN17CPacketTranslater18OnSetCleanPadPointEP12PacketHeader	0x808bc48	0x3b0	0x8077392	0x3ae
NEAR	_ZN17CPacketTranslater18onIPCounterControlEP12PacketHeader	0x808a552	0x24b	0x8075caa	0x24b
DIFF	_ZN17CPacketTranslater19OnDeleteToBlackListEP12PacketHeader	0x8085afe	0x353	0x807152e	0x352
DIFF	_ZN17CPacketTranslater19OnInnerPacketLogoutEP12PacketHeader	0x8088fd4	0x29b	0x807472c	0x2b9
DIFF	_ZN17CPacketTranslater19OnRegisterEventItemEP12PacketHeader	0x808dd98	0x227	0x8079484	0x266
NEAR	_ZN17CPacketTranslater19OnServerMessageInfoEP12PacketHeader	0x808a180	0x148	0x80758d8	0x148
NEAR	_ZN17CPacketTranslater19OnWebNoticeInGameADEP12PacketHeader	0x8090c3e	0x22a	0x807c27c	0x22a
DIFF	_ZN17CPacketTranslater19OnWebQueryUserStateEP12PacketHeader	0x8085164	0x2c3	0x806fd64	0x2e2
DIFF	_ZN17CPacketTranslater19OnWebRequestARSInfoEP12PacketHeader	0x808ca7c	0x264	0x80783f4	0x261
NEAR	_ZN17CPacketTranslater19onLoadCleanPadPointEP12PacketHeader	0x8089458	0x142	0x8074bce	0x142
NEAR	_ZN17CPacketTranslater19onLoadPunishUserReqEP12PacketHeader	0x808a410	0x142	0x8075b68	0x142
NEAR	_ZN17CPacketTranslater19onReloadCountryCodeEP12PacketHeader	0x80922a4	0x13a	0x807d82e	0x13a
