service	function	status
dbmw	_ZL16allocStackBufferjPPhPi	NEAR
dbmw	_ZN10CAppConfig11Parse_TableEPci	DIFF
dbmw	_ZN10CDBManager10InsertMailEjPcS0_jjii	NEAR
dbmw	_ZN10CDBManager10QueryGuildEhjR27Packet_DB_Reply_Query_Guild	NEAR
dbmw	_ZN10CDBManager11GuildSecedeEP30Packet_DB_Request_Guild_SecedeRjS2_S2_	DIFF
dbmw	_ZN10CDBManager13SaveGuildInfoEhjR17STGuildDBInfoOnly	DIFF
dbmw	_ZN10CDBManager14QueryBuddyInfoEjP13STBuddyDBInfoRh	DIFF
dbmw	_ZN10CDBManager14SaveGuildSkillEhjR17STGuildDBInfoOnly	DIFF
dbmw	_ZN10CDBManager15OnLoadGuildAgitEP25Packet_DB_Load_Guild_AgitR28Packet_Guild_Load_Guild_Agit	NEAR
dbmw	_ZN10CDBManager15QueryGuildSkillEhjR27Packet_DB_Reply_Query_Guild	DIFF
dbmw	_ZN10CDBManager15SaveGuildMemberEhjR18STGuildMemerDBInfojh	DIFF
dbmw	_ZN10CDBManager16SaveMemberInsertEjjh	DIFF
dbmw	_ZN10CDBManager17OnWriteGuildBoardEP40Packet_DB_Load_Request_Guild_Board_WriteP18STGuildBoardDBInfo	DIFF
dbmw	_ZN10CDBManager17QueryHWspecCreateEP38Packet_DBMW_Save_Client_Spec_Statistic	DIFF
dbmw	_ZN10CDBManager18selectCollectItemsEhRiS0_RjRh	DIFF
dbmw	_ZN10CDBManager18updateCollectItemsEhijh	DIFF
dbmw	_ZN10CDBManager19QueryCharacNoByNameEPcRjPi	DIFF
dbmw	_ZN10CDBManager19QuerySubGuildMasterEhjR27Packet_DB_Reply_Query_Guild	DIFF
dbmw	_ZN10CDBManager19SendGuildCoinByMailEijjjiPcS0_	DIFF
dbmw	_ZN10CDBManager20OnSaveFatigueBatteryEP43Packet_DBMW_Fatigue_Battery_Money_Statistic	DIFF
dbmw	_ZN10CDBManager20updateCollectItemsGmEhiij	DIFF
dbmw	_ZN10CDBManager21OnLoadPeriodicMessageEP28Packet_Load_Periodic_MessageP38Packet_Result_Loading_Periodic_Message	DIFF
dbmw	_ZN10CDBManager21OnSecretShopStatisticEP28Packet_Secret_Shop_Statistic	DIFF
dbmw	_ZN10CDBManager21QueryGuildMemberProxyEjjR18STGuildMemberProxy	DIFF
dbmw	_ZN10CDBManager21SaveGuildWarPointListEiPjS0_	DIFF
dbmw	_ZN10CDBManager22OnStatisticLoginLogoutEP34Packet_DBMW_Statistic_Login_Logout	DIFF
dbmw	_ZN10CDBManager22OnWriteGuildMemberMemoEP33Packet_DB_Write_Guild_Member_Memo	DIFF
dbmw	_ZN10CDBManager23OnLoadGuildCargoHistoryEjR37Packet_Guild_Load_Guild_Cargo_History	DIFF
dbmw	_ZN10CDBManager23OnSaveLoadingTimeReportEP31Packet_DBMW_Loading_Time_Report	DIFF
dbmw	_ZN10CDBManager23loadLimitNpcBuyItemInfoEP26LimitNpcBuyItemRequestInfoP25LimitNpcBuyItemResultInfo	DIFF
dbmw	_ZN10CDBManager24ChangeGuildNotifyMessageEijPc	DIFF
dbmw	_ZN10CDBManager24InsertFrameLagStatisticsEP42Packet_Frame_Lag_Statistic_Write_Lag_IndexP17CStatisticsServer	DIFF
dbmw	_ZN10CDBManager24OnGoldcardEventStatisticEP35Packet_Goldcard_Event_Statistic_STD	DIFF
dbmw	_ZN10CDBManager24OnGuildJoinByListApproveEjcjjR15STGuildJoinInfoRj	DIFF
dbmw	_ZN10CDBManager24OnManagerEventTriggerAckEP32Packet_Manager_Event_Trigger_Ack	NEAR
