status	name	orig_addr	orig_size	new_addr	new_size	md_file
DIFF	_ZN3nsl16ActiveConManager14RequestConnectEPNS_12ConInterfaceE	0x80bcf0a	0x22a	0x80a9efa	0x22d	_ZN3nsl16ActiveConManager14RequestConnectEPNS_12ConInterfaceE.md
MISSING	_my_thread_var	0x81044e0	0x28			
MISSING	add_collation	0x80fd720	0x680			
MISSING	add_compiled_collation	0x80fcf80	0x27			
MISSING	add_directory	0x80fe550	0x72			
MISSING	add_init_command	0x80c0960	0xaa			
MISSING	alloc_dynamic	0x80fcd60	0xbf			
MISSING	alloc_root	0x8101430	0x138			
MISSING	alloc_stmt_fields	0x80c6420	0x210			
MISSING	allocate_dynamic	0x80fcbf0	0xc5			
MISSING	array_append_string_unique	0x81001b0	0x7c			
MISSING	atoi_octal	0x8102bc0	0x78			
MISSING	bchange	0x8105320	0x82			
MISSING	bmove_upp	0x81053b0	0x2f			
MISSING	calc_daynr	0x80caf60	0x8f			
MISSING	calc_days_in_year	0x80cad90	0x47			
MISSING	check_date	0x80cade0	0xac			
MISSING	check_scramble	0x80cdf90	0xf4			
MISSING	check_scramble_323	0x80ce3a0	0x7b7			
MISSING	check_time_range	0x80cae90	0xab			
MISSING	cleanup_dirname	0x8100870	0x3a9			
MISSING	cli_advanced_command	0x80c4530	0x20e			
MISSING	cli_fetch_lengths	0x80bff50	0x67			
MISSING	cli_flush_use_result	0x80c28e0	0x6f			
MISSING	cli_list_fields	0x80c96f0	0x80			
MISSING	cli_read_binary_rows	0x80c6b40	0x16d			
MISSING	cli_read_change_user_result	0x80c9d60	0xd2			
MISSING	cli_read_prepare_result	0x80c9140	0x15e			
MISSING	cli_read_query_result	0x80c25a0	0x21b			
MISSING	cli_read_rows	0x80c2260	0x33a			
MISSING	cli_read_statistics	0x80c6630	0x69			
MISSING	cli_safe_read	0x80c1eb0	0x17b			
MISSING	cli_stmt_execute	0x80ca720	0x66c			
MISSING	cli_unbuffered_fetch	0x80c6cb0	0x4d			
MISSING	cli_use_result	0x80c07d0	0x188			
MISSING	comp_names	0x8102ed0	0x2e			
MISSING	convert_dirname	0x8100260	0x73			
MISSING	copy_typelib	0x80fc3c0	0x13a			
MISSING	create_fromuni	0x8108440	0x26e			
MISSING	create_random_string	0x80ce280	0x69			
MISSING	create_tailoring	0x8109690	0xb0e			
MISSING	cs_alloc	0x80fd5a0	0x2b			
MISSING	cs_enter	0x81138b0	0x96			
MISSING	cs_leave	0x8113240	0x92			
MISSING	cs_value	0x81133e0	0x4c4			
MISSING	d2b	0x8113bf0	0x3de			
MISSING	default_local_infile_end	0x80c9890	0x46			
MISSING	default_local_infile_error	0x80c9680	0x6c			
MISSING	default_local_infile_init	0x80c9980	0xf4			
MISSING	default_local_infile_read	0x80c98e0	0xa0			
MISSING	delete_dynamic	0x80fcb30	0x4d			
MISSING	delete_dynamic_element	0x80fcad0	0x5b			
MISSING	directory_file_name	0x8102e80	0x4e			
MISSING	dirname_length	0x8100230	0x30			
MISSING	dirname_part	0x81002e0	0x54			
