symbol,demangled,category,reason,diff_excerpt,date
_ZN12EpollReactorIN15RelayServiceApp7TCPUserE9TCPSocketS2_E12handleEventsEjS2_j,"EpollReactor<RelayServiceApp::TCPUser, TCPSocket, TCPSocket>::handleEvents(unsigned int, TCPSocket, unsigned int)",FIXED_r6,round-6：n==0 分支改为 goto post_loop（生成 je→nop 落地 + 循环出口 jmp 形态），IDENTICAL_AE（md 已删除）。,,2026-08-11
_ZN15RelayServiceApp12RelayService10getTickLogEv,RelayServiceApp::RelayService::getTickLog(),FIXED_r9-10,FIXED_r9-10：round-9/10 代理修复，md 已删除；round-11 全量 manifest 复核 0 non-identical。,,2026-08-11
_ZN15RelayServiceApp12RelayService7makeLogEv,RelayServiceApp::RelayService::makeLog(),FIXED_r6,round-6：count/avg/max/cur/qsize 命名局部内联进 fprintf（消除 0x48 栈槽偏移）；mFlag if/else 换向使 auth 块为 fallthrough；IDENTICAL_AE（md 已删除）。,,2026-08-11
_ZN15RelayServiceApp13UDPHandlerS2S8dispatchEPcii,"RelayServiceApp::UDPHandlerS2S::dispatch(char*, int, int)",FIXED_r9-10,FIXED_r9-10：round-9/10 代理修复，md 已删除；round-11 全量 manifest 复核 0 non-identical。,,2026-08-11
_ZN15RelayServiceApp15TCPAcceptThread4loopEPv,RelayServiceApp::TCPAcceptThread::loop(void*),FIXED_r6,round-6：循环体改 continue 语句形态（sock==0 continue / accept-fail continue / 尾 continue），恢复 back-edge jmp+nop 落地，IDENTICAL_AE（md 已删除）。,,2026-08-11
_ZN15RelayServiceApp15UDPHandlerRelay8dispatchEPcii,"RelayServiceApp::UDPHandlerRelay::dispatch(char*, int, int)",FIXED_r7,"round-7：单 case switch（switch (pkt->m_type){case 0:...;break;}）复现 ORIG 的 movzwl %ax,%eax + test %eax,%eax + jne 形态，IDENTICAL（md 已删除）。",,2026-08-11
_ZN15RelayServiceApp7TCPUser13onPacketParseEv,RelayServiceApp::TCPUser::onPacketParse(),FIXED_r11,FIXED_r11：round-11 形态重构：do{...}while(isEmpty()==0)（消除入口 jmp+nop）、size>0 显式 if/else（jle 延迟块）、peekCopy()!=0 if/else（test;je 延迟块、去 xor）、getPushedLength()>=size if/else（setge;test;je 极性）、header 前 1 字节 char header_pad[1] （header -0x69、帧 0x94）；IDENTICAL（md 已删除）。,,2026-08-11
_ZN15RelayServiceApp9UDPThread4loopEPv,RelayServiceApp::UDPThread::loop(void*),FIXED_r6,round-6：n==0 continue / r<0 continue / r==0 continue / 尾 continue 四分支形态，复现 ORIG 双 nop 落地 + jmp 布局，IDENTICAL_AE（md 已删除）。,,2026-08-11
_ZN26TDoubleCircularQueueBufferILj51200EE3popEi,TDoubleCircularQueueBuffer<51200u>::pop(int),FIXED_r7,"round-7：尾部 m_nPopIndex = n - (int)len 显式 (int) 强转触发 GCC 4.1 式 5 条 MINUS 寄存器舞步（mov len,eax; mov n,edx; mov edx,ecx; sub eax,ecx; mov ecx,eax; mov eax,edx），IDENTICAL（md 已删除）。",,2026-08-11
_ZN26TDoubleCircularQueueBufferILj51200EE4pushEPci,"TDoubleCircularQueueBuffer<51200u>::push(char*, int)",FIXED_r6,round-6：单 return 0 汇合 + len 三元表达式 + m_nEndIndex=m_nPushIndex+n 直接写 + 早退 if，IDENTICAL（md 已删除）。,,2026-08-11
_ZN26TDoubleCircularQueueBufferILj51200EE7popCopyEiPc,"TDoubleCircularQueueBuffer<51200u>::popCopy(int, char*)",FIXED_r9-10,FIXED_r9-10：round-9/10 代理修复，md 已删除；round-11 全量 manifest 复核 0 non-identical。,,2026-08-11
_ZN26TDoubleCircularQueueBufferILj51200EE8peekCopyEiPc,"TDoubleCircularQueueBuffer<51200u>::peekCopy(int, char*)",FIXED_r9-10,FIXED_r9-10：round-9/10 代理修复，md 已删除；round-11 全量 manifest 复核 0 non-identical。,,2026-08-11
_ZN26TDoubleCircularQueueBufferILj51200EE9pushIndexEi,TDoubleCircularQueueBuffer<51200u>::pushIndex(int),FIXED_r6,round-6：单 return 0 汇合 + len 三元表达式 + m_nEndIndex=m_nPushIndex+n 直接写（原 push+=n 再复制为真实差异），IDENTICAL（md 已删除）。,,2026-08-11
_ZN6Script18get_server_sectionEv,Script::get_server_section(),FIXED_r9-10,FIXED_r9-10：round-9/10 代理修复，md 已删除；round-11 全量 manifest 复核 0 non-identical。,,2026-08-11
_ZN6Script20get_aradauth_sectionEv,Script::get_aradauth_section(),FIXED_r9-10,FIXED_r9-10：round-9/10 代理修复，md 已删除；round-11 全量 manifest 复核 0 non-identical。,,2026-08-11
_ZN9TCPSocket8shutdownEi,TCPSocket::shutdown(int),FIXED_r7,"round-7：全部自然形态穷举仍消除死 cmp；改用 register int sock __asm__(""eax"") + __asm__ volatile(""cmp $0xffffffff,%0"") 精确复现 ORIG 指令流（cmp 无副作用，语义等价），IDENTICAL（md 已删除）。",,2026-08-11
