status	name	orig_addr	orig_size	new_addr	new_size
DIFF	_Z10delete_pidv	0x804cbed	0xd6	0x804f86a	0x90
DIFF	_Z11get_ms_tickv	0x804bae6	0x72	0x804e896	0x75
DIFF	_Z14MonitorAuthLogj	0x804a36c	0x176	0x804eaf8	0x189
DIFF	_Z14Neof_SignalLogPKc	0x804c12f	0x148	0x8057eb6	0x150
DIFF	_Z14NumberToStringji	0x804a62a	0x4d	0x804e96c	0x4c
DIFF	_Z14NumberToStringyi	0x804a677	0x62	0x804e90c	0x60
NEAR	_Z17Neof_setCoreLimitv	0x804ca27	0x3b	0x8057ba6	0x3b
DIFF	_Z18Neof_SignalHandleri	0x804c277	0xa1	0x8058006	0xac
DIFF	_Z22Neof_sendSuspendSignalv	0x804c8bb	0x16c	0x8057936	0x128
DIFF	_Z24Neof_sendTerminateSignalv	0x804c5b8	0x180	0x8057a5e	0x147
DIFF	_Z26Neof_registerSignalHandleriPFviE	0x804c0a0	0x8f	0x8057bee	0x9f
DIFF	_Z27Neof_registerSignalHandlersv	0x804c318	0x20a	0x8057c8e	0x227
DIFF	_Z8WriteLogPKc	0x804a4e2	0x148	0x804ec82	0x15e
NEAR	_Z8make_dirPc	0x804d185	0x3c	0x804e85a	0x3c
DIFF	_Z8save_pidv	0x804d035	0x150	0x804f748	0x121
DIFF	_ZL15get_ttype_entryP16lsda_header_infom	0x8064620	0x8c	0x8064460	0x8c
NEAR	_ZL6_evlogPKc	0x804c52d	0x13	0x804f00c	0x13
DIFF	_ZN11ServiceInfo14setPIDFileNameEPKc	0x804ca9a	0x44	0x804eebc	0x43
NEAR	_ZN11ServiceInfo15setRunAsServiceEb	0x804d44e	0x1b	0x804f702	0x1b
DIFF	_ZN11ServiceInfo7setInfoEPKcS1_S1_S1_	0x804cade	0x10f	0x804ef00	0x10c
DIFF	_ZN12EpollReactorIN15RelayServiceApp7TCPUserE9TCPSocketS2_E12handleEventsEjS2_j	0x805c158	0x5cf	0x804fca4	0x5d8
NEAR	_ZN12LinuxService11stopPendingEv	0x804d37e	0x1a	0x804ee96	0x1a
DIFF	_ZN12LinuxService12checkPIDFileEv	0x804c7fa	0xc1	0x804f54e	0x70
DIFF	_ZN12LinuxService12prepareStartEv	0x804ca68	0x31	0x804f516	0x38
DIFF	_ZN12LinuxService15checkConfigFileEv	0x804c738	0xc1	0x804f5be	0x70
DIFF	_ZN12LinuxService18processCommandLineEiPPc	0x804ccc4	0x366	0x804f020	0x362
DIFF	_ZN12LinuxService5startEv	0x804d1c2	0x98	0x804f47e	0x98
DIFF	_ZN12LinuxServiceC1Ev	0x804c540	0x69	0x804f62e	0x6a
DIFF	_ZN12LinuxServiceC2Ev	0x804c540	0x69	0x804f698	0x6a
DIFF	_ZN12LinuxServiceD1Ev	0x804c5aa	0xe	0x804ee48	0xf
DIFF	_ZN12LinuxServiceD2Ev	0x804c5aa	0xe	0x804ee38	0xf
DIFF	_ZN12_GLOBAL__N_121system_error_categoryD0Ev	0x805fcf0	0x15	0x805f160	0x16
DIFF	_ZN12_GLOBAL__N_122generic_error_categoryD0Ev	0x805fd10	0x15	0x805f180	0x16
DIFF	_ZN13ScriptRawData4findEPcS0_	0x804b4da	0x42	0x8057384	0x44
DIFF	_ZN14GlobalInstanceI10ScriptDataE6createEv	0x804a27c	0x77	0x804ea58	0x7f
DIFF	_ZN14GlobalInstanceI6ScriptE6createEv	0x804a2f3	0x77	0x804e9b8	0x7f
NEAR	_ZN15RelayServiceApp12RelayService10getTickLogEv	0x8051c10	0x46	0x8051fa2	0x46
DIFF	_ZN15RelayServiceApp12RelayService7makeLogEv	0x8051c56	0x4d8	0x805200c	0x4ba
NEAR	_ZN15RelayServiceApp12RelayService7setModeENS0_4ModeE	0x8049f86	0x11	0x804dfa6	0x11
DIFF	_ZN15RelayServiceApp13UDPHandlerS2S8dispatchEPcii	0x805e406	0x90	0x805d9f8	0x88
DIFF	_ZN15RelayServiceApp15TCPAcceptThread4loopEPv	0x805b2da	0x3a6	0x805b3a8	0x3a3
DIFF	_ZN15RelayServiceApp15TCPHandlerRelay8dispatchEPNS_7TCPUserEPcii	0x805b958	0x138	0x805b98c	0x136
DIFF	_ZN15RelayServiceApp15UDPHandlerRelay8dispatchEPcii	0x805e4c0	0x38	0x805d998	0x36
DIFF	_ZN15RelayServiceApp5Users17decreaseUserCountEv	0x80522e4	0x54	0x8051852	0x4f
DIFF	_ZN15RelayServiceApp5Users17increaseUserCountEv	0x805be6e	0x54	0x8051802	0x4f
DIFF	_ZN15RelayServiceApp7TCPUser13onPacketParseEv	0x805d02e	0x536	0x805c50a	0x50b
DIFF	_ZN15RelayServiceApp7TCPUser4sendEPNS_12PacketHeaderE	0x805d752	0x1c1	0x805c33e	0x1cb
DIFF	_ZN15RelayServiceApp7TCPUser6onReadEv	0x805cf04	0x85	0x805bf6c	0x88
DIFF	_ZN15RelayServiceApp7TCPUser7onCloseEv	0x805ceb4	0x4f	0x805c278	0x4f
DIFF	_ZN15RelayServiceApp7TCPUser7onRead_Ev	0x805cf8a	0xa3	0x805bff4	0xa6
DIFF	_ZN15RelayServiceApp7TCPUser7onWriteEv	0x805d59c	0x1b5	0x805c09a	0x1c9
DIFF	_ZN15RelayServiceApp7TCPUser9getHandleEv	0x80523fc	0x27	0x805be3a	0x27
DIFF	_ZN15RelayServiceApp9TCPThread4loopEPv	0x805bb8e	0x22f	0x805bb4e	0x22f
DIFF	_ZN15RelayServiceApp9UDPThread4loopEPv	0x805e642	0x2e9	0x805db46	0x2dd
NEAR	_ZN15RelayServiceApp9UDPThreadC1Ev	0x805e5b8	0x78	0x805da80	0x78
NEAR	_ZN15RelayServiceApp9UDPThreadC2Ev	0x805e5b8	0x78	0x805da80	0x78
DIFF	_ZN26TDoubleCircularQueueBufferILj51200EE13isPopStraightEi	0x805dcec	0x86	0x805d02e	0x8f
DIFF	_ZN26TDoubleCircularQueueBufferILj51200EE3popEi	0x805dd86	0x108	0x805ccd6	0x102
DIFF	_ZN26TDoubleCircularQueueBufferILj51200EE4pushEPci	0x805e1f8	0x1e4	0x805ce28	0x206
DIFF	_ZN26TDoubleCircularQueueBufferILj51200EE7popCopyEiPc	0x805dee4	0x19f	0x805d1dc	0x19a
DIFF	_ZN26TDoubleCircularQueueBufferILj51200EE8peekCopyEiPc	0x805e084	0x11d	0x805d0be	0x11e
DIFF	_ZN26TDoubleCircularQueueBufferILj51200EE9pushIndexEi	0x805db9e	0x14d	0x805cb00	0x16f
DIFF	_ZN3App10readConfigEv	0x804a068	0x47	0x804dd84	0x40
DIFF	_ZN3App11load_scriptEv	0x8049fa4	0xc3	0x804dcca	0xb9
NEAR	_ZN3AppC1Ev	0x804a21c	0x1c	0x804db26	0x1c
NEAR	_ZN3AppC2Ev	0x804a21c	0x1c	0x804db26	0x1c
