source_excerpt	result	date
命名局部 `std::pair<STCubeStatisticKey,int> pr = make_pair(...)`	DIFF(更差)	2026-08-12
去掉 -fno-enforce-eh-specs 重编	DIFF(同)	2026-08-12
编译器 A/B：c5/c6444r/c6446r/c6 均 DIFF（EH 清理块布局：ORIG 内联销毁 make_pair 临时，OURS 用共享块）	DIFF(同)	2026-08-12
else 分支加花括号	DIFF(同)	2026-08-12
const int value = ...（其余不动）	DIFF(同)	2026-08-12
分析：ORIG 正常路径内联销毁 make_pair 临时(local_20)，OURS 跳共享清理块；分支极性已与 ORIG 一致（je→insert、fall-through +=），翻转会更差；四编译器 A/B 均同态	DIFF(同)	2026-08-12
per-TU 4.1.2-52 编译 CubeStatistics.cpp	DIFF(整函数栈布局/参数顺序均差,ORIG 非 4.1.2 TU)	2026-08-12
std::pair<STCubeStatisticKey,int>(key,value) 直接构造弃 make_pair	DIFF(同,EH 清理仍共享)	2026-08-12
命名局部 std::pair<STCubeStatisticKey,int> tmp(key,value) 直接构造+insert(tmp)	DIFF(同,EH 清理仍共享 jmp+0x126)	2026-08-12
结论：ORIG 正常路径内联销毁 make_pair 临时,OURS 用共享清理块；5 编译器×7 变体均共享	REMAIN(到头,编译器 EH 布局)	2026-08-12
else 分支 const 命名 pair + insert(pr)	DIFF(更差,命名 pair 占栈槽致整体布局偏移 -0x4c->-0x38)	2026-08-12
const std::pair<STCubeStatisticKey,int>& pr = make_pair(...) 引用绑定临时+insert(pr)	DIFF(更差,引用占位致栈槽整体 -4 偏移)	2026-08-13
