source_excerpt	result	date
`unsigned int v = it->first.ErrorValue::m_field4` 中间变量	DIFF(更差)	2026-08-12
编译器 A/B：c5/c6444r/c6446r/c6 均 DIFF（ORIG 多一条 mov %eax,%edx 冗余拷贝，OURS 直接装入 edx）	DIFF(同)	2026-08-12
`register unsigned int v` 中间变量	DIFF(更差)	2026-08-12
(int) 显式强转：pkt.m_items[count].m_field0 = (int)it->first.ErrorValue::m_field4	DIFF(同)	2026-08-12
非限定成员：pkt.m_items[count].m_field0 = it->first.m_field4	DIFF(同)	2026-08-12
LHS 显式取址：*(unsigned int*)&pkt.m_items[count].m_field0 = it->first.ErrorValue::m_field4	DIFF(同)	2026-08-12
per-TU 4.1.2-52 编译 HWSpecResearcher.cpp	DIFF(整函数栈布局/-0x1806 与 map begin 中间拷贝均差)	2026-08-12
memcpy(&pkt.m_items[count].m_field0,&it->first.ErrorValue::m_field4,4)	DIFF(更差,lea 地址+memcpy 实参展开)	2026-08-12
结论：ORIG 中段 mov 0x4(%eax),%eax; mov %eax,%edx 冗余拷贝在 4.1.2-52/-55/4.4.4/4.4.6-3/4.4.7 五编译器与 7 变体下均不可复现(其余赋值无此拷贝)	REMAIN(到头)	2026-08-12
const unsigned int& v 引用别名中间值	DIFF(更差,引用占栈槽致整体布局偏移 -0x180a->-0x180e)	2026-08-12
