status	name	orig_addr	orig_size	new_addr	new_size
DIFF	_ZN14CNetworkThread8dispatchEPv	0x8061d00	0x752	0x8053184	0x757
DIFF	_ZN16StatisticManager16AddLagStatisticsEP26Packet_Stat_Lag_Statistics	0x8072e44	0x6c5	0x80730fc	0x6a1
DIFF	_ZN16StatisticManager19SendDBLagStatisticsEP14CServerHandlerPc	0x807350a	0x499	0x807379e	0x49e
DIFF	_ZN16StatisticManager20SendDBPartyStatisticEP14CServerHandler	0x806eee4	0x4ba	0x806f0a2	0x4b3
DIFF	_ZN16StatisticManager20SendDBValueStatisticEP14CServerHandler	0x8073b18	0x34e	0x8073db0	0x393
NEAR	_ZN16StatisticManager21AddDisjointAvatarInfoEP32Packet_Avater_Disjoint_Statistic	0x8072ad2	0xe1	0x8072d8a	0xe1
DIFF	_ZN16StatisticManager22AddSecretShopStatisticEP28Packet_Secret_Shop_Statistic	0x80745d8	0x22a	0x807492e	0x228
DIFF	_ZN16StatisticManager23SendDBPartyJobStatisticEP14CServerHandler	0x806f39e	0x3a3	0x806f556	0x3a7
DIFF	_ZN16StatisticManager23SendDBTingUserTimeCheckEP14CServerHandler	0x8070dbc	0x1a5	0x8070efa	0x1a9
DIFF	_ZN16StatisticManager25SendDBSecretShopStatisticEP14CServerHandler	0x8074802	0x157	0x8074b56	0x19e
DIFF	_ZN16StatisticManager26AddTowerOfDespairStatisticEP35Packet_TowerOfDespair_Statistic_GTS	0x8074aac	0x9d	0x8074e46	0xd2
DIFF	_ZN16StatisticManager26SendDBCirculationStatisticEP14CServerHandler	0x8073fda	0x524	0x80742b8	0x59c
DIFF	_ZN16StatisticManager26SendDBPartyCharacStatisticEP14CServerHandler	0x806f742	0x44c	0x806f8fe	0x43e
DIFF	_ZN16StatisticManager26WriteDungeonPartyStatisticEP30Packet_Dungeon_Statistic_Party	0x806e5f0	0x2be	0x806e78a	0x2cf
DIFF	_ZN16StatisticManager27WriteAssertManagerStatisticEP26Packet_Assert_Manager_Info	0x8070540	0x333	0x80706ac	0x32f
DIFF	_ZN16StatisticManager27WriteHellPartyStatisticItemEP31Packet_HellParty_Statistic_Item	0x8071138	0x210	0x8071292	0x212
DIFF	_ZN16StatisticManager28SendDBAssertManagerStatisticEP14CServerHandler	0x8070874	0x239	0x80709dc	0x217
DIFF	_ZN16StatisticManager28SendDBHellPartyStatisticItemEP14CServerHandler	0x8071348	0x2aa	0x80714a4	0x2c0
DIFF	_ZN16StatisticManager29WriteDungeonPartyJobStatisticEP34Packet_Dungeon_Statistic_Party_Job	0x806e8ae	0x1df	0x806ea5a	0x1ec
