status	name	orig_addr	orig_size	new_addr	new_size
NEAR	_Z10getMessageiPcPiPjPt	0x401ac0	0x1d2	0x4029cc	0x1d2
NEAR	_Z10msgProcessiPciR7Address	0x401584	0xef	0x402492	0xef
NEAR	_Z11sendMessageiPcijt	0x40189a	0x225	0x4027a6	0x225
NEAR	_Z12stunProcess1Pv	0x4017a4	0x81	0x4026b2	0x81
NEAR	_Z12stunProcess2Pv	0x401722	0x81	0x402630	0x81
NEAR	_Z12stunProcess3Pv	0x401674	0xad	0x402582	0xad
NEAR	_Z14signal_handleri	0x4025b2	0x140	0x40325c	0x140
NEAR	_Z8openPorttj	0x401c92	0x256	0x402b9e	0x256
DIFF	_Z9write_logPKci	0x40215c	0x198	0x402e02	0x19b
NEAR	main	0x401f64	0x1f8	0x403754	0x1f8
