status	name	orig_addr	orig_size	new_addr	new_size
NEAR	_ZN10CAppConfig11Parse_TableEPci	0x805fa96	0x311	0x804e5f0	0x311
DIFF	_ZN12CAppStopInit4InitEP12CApplicationiPPc	0x806bbd6	0x248	0x804fd2e	0x24d
DIFF	_ZN12CApplication15ProcessTimeSyncEv	0x8065cec	0xdf	0x8053b76	0xd7
DIFF	_ZN12CApplication15TranslateSignalEv	0x8064fb2	0x36c	0x8052f9e	0x346
DIFF	_ZN12CApplication18UpdateCollectItemsEv	0x8065dcc	0x11f	0x8053c4e	0x107
DIFF	_ZN12CApplication19isGM_regFromChannelEj	0x8065b48	0x57	0x8052974	0x57
DIFF	_ZN12CApplication20isAbleUserChatWithGMEjj	0x806588c	0x104	0x80529cc	0x104
NEAR	_ZN12CApplication22AddChattableUserWithGMEjj	0x8065660	0x115	0x8052ad0	0x115
DIFF	_ZN12CApplication4LoadEiPPc	0x8062f4e	0x10df	0x8050c86	0x110e
DIFF	_ZN12CApplication9Add_GM_idEj	0x8065990	0x12e	0x80535c0	0x12e
DIFF	_ZN12CApplicationC1Ev	0x8062858	0x2e0	0x8050640	0x2ed
DIFF	_ZN12CApplicationC2Ev	0x8062858	0x2e0	0x8050640	0x2ed
DIFF	_ZN13CAppStartInit11Init_DaemonEiPPc	0x806b4d8	0x110	0x804fa16	0x11c
DIFF	_ZN13CAppStartInit4InitEP12CApplicationiPPc	0x806b272	0x265	0x804f778	0x29d
DIFF	_ZN13CServerConfig11Parse_TableEPci	0x806232c	0xd7	0x807f722	0xda
DIFF	_ZN14CKillUSRConfig11Clear_TableEv	0x8060d9a	0xa4	0x805c342	0xbe
DIFF	_ZN15init_accusation22CInitAccusationListMgr11setScheduleERKb	0x80a9bac	0xb3	0x80503d6	0xd0
DIFF	_ZN19CPeriodicMessageMgr9OnProcessEP14CServerHandler	0x806682e	0xd0	0x8050044	0xcf
