status	name	orig_addr	orig_size	new_addr	new_size
DIFF	_ZN11CCashObject13IsLifeTimeOutEv	0x80a032e	0x3d	0x804d660	0x38
DIFF	_ZN11CCashObject15GetBuddysObjectEPP6CBuddy	0x80a0642	0x70	0x804d4b2	0x58
DIFF	_ZN18CMemoryCashManager13IsRightObjectEP5CUserP7CMemberRbS4_S4_	0x80a0b90	0x12c	0x8098056	0x133
DIFF	_ZN18CMemoryCashManager13SetUserObjectEP5CUser	0x80a0e78	0xb8	0x8098332	0xd6
DIFF	_ZN18CMemoryCashManager17DeleteCashObjecctEj	0x80a179e	0x90	0x8098408	0xa7
DIFF	_ZN18CMemoryCashManager18ProcessLifeTimeOutEv	0x80a0f30	0x103	0x80975c2	0x105
DIFF	_ZN18CMemoryCashManager20ProcessCashDataPrintEv	0x80a0acc	0xc4	0x80976c8	0xbf
DIFF	_ZN18CMemoryCashManager21QueryCashMemoryMemberEP5CUser	0x80a127a	0x293	0x8097788	0x289
DIFF	_ZN18CMemoryCashManager24QueryCashMemoryBlackListEP5CUser	0x80a1034	0x245	0x8097c84	0x20c
DIFF	_ZN18CMemoryCashManager24QueryCashMemoryBuddyInfoEP5CUser	0x80a150e	0x290	0x8097a12	0x272
DIFF	_ZN18CMemoryCashManager34InsertCashMemorySetCharacterObjectEP5CUserP7CMemberRbS4_	0x80a0cbc	0x1bc	0x809818a	0x1a8
DIFF	_ZN20CItemLimitEditionMgr10registItemERK28stItemLimitEditionItemInfo_t	0x809345c	0x17f	0x8093f6a	0x191
DIFF	_ZN20CItemLimitEditionMgr10removeItemEj	0x80935dc	0x87	0x80940fc	0x93
DIFF	_ZN20CItemLimitEditionMgr10updateItemEjj	0x8093664	0x78	0x8094190	0x78
DIFF	_ZN20CItemLimitEditionMgr19processScheduledJobEP12CApplicationb	0x80a5e58	0x29b	0x8094346	0x2bd
DIFF	_ZN20CItemLimitEditionMgr5clearEv	0x8066674	0xaa	0x8094280	0xc5
DIFF	_ZN22LimitNpcBuyItemManager10registItemER15NpcBuyLimitItem	0x805ada4	0x9c	0x80957d2	0x99
DIFF	_ZN22LimitNpcBuyItemManager19sellNpcLimitBuyItemEP19LimitNpcBuyItemInfo	0x805ae40	0x15a	0x8095562	0x134
DIFF	_ZN22LimitNpcBuyItemManager19undoNpcLimitBuyItemEP21LimitNpcBuyItemUpdate	0x805af9a	0x13a	0x8095696	0x13b
DIFF	_ZN22LimitNpcBuyItemManager23getNpcLimitBuyItemCountEjR25LimitNpcBuyItemChangeInfo	0x805b20e	0x85	0x80959a4	0x84
DIFF	_ZN22LimitNpcBuyItemManager25getNpcLimitBuyItemInfoAllEP22LimitNpcBuyItemInfoAll	0x805b0d4	0x126	0x8095880	0x123
DIFF	_ZNK17CItemLimitEdition12makeItemInfoER28stItemLimitEditionItemInfo_t	0x80a5c70	0x37	0x809467e	0x37
DIFF	_ZNK20CItemLimitEditionMgr11getItemInfoEj	0x80936dc	0x64	0x8094208	0x64
DIFF	_ZNK20CItemLimitEditionMgr32makeItemLimitEditionUpdatePacketER32Packet_Item_Limit_Edition_Update	0x80a5d6a	0xed	0x8093de6	0xe5
DIFF	_ZNK20CItemLimitEditionMgr35makeItemLimitEditionSellStartPacketER36Packet_Item_Limit_Edition_Sell_Start	0x80a5cce	0x9c	0x8093ecc	0x9d
