status	name	orig_addr	orig_size	new_addr	new_size
DIFF	_ZN10CommonTime10SetCurTimeEv	0x8066978	0x7a	0x809fdd2	0x76
DIFF	_ZN11CSystemTimeC1Ev	0x805ed5e	0x4f	0x809fe48	0x52
DIFF	_ZN11CSystemTimeC2Ev	0x805ed5e	0x4f	0x809fe48	0x52
DIFF	_ZN12momiji_event11EventAction13onStartActionER10EventParam	0x805bed0	0xc3	0x804b482	0xc9
DIFF	_ZN12momiji_event12EventManager10StartEventEhhh	0x805c070	0x237	0x804b16c	0x229
DIFF	_ZN12momiji_event13EndEffectTask10_DoExecuteEv	0x805c5f8	0x121	0x804aeca	0x13f
DIFF	_ZN12momiji_event15StartEffectTask10_DoExecuteEv	0x805c482	0x12f	0x804acfe	0x138
DIFF	_ZN14CTaskScheduler11ProcessTaskEj	0x809c5a0	0x88	0x80a065a	0x85
DIFF	_ZN15CRewardUserList6InsertEj	0x80a44b8	0x7e	0x8099d0a	0x80
DIFF	_ZN15CRewardUserList7isExistEj	0x80a4536	0x7f	0x8099d8a	0x4b
DIFF	_ZN16CBaseEventAction18sendEventAckUpdateEi	0x80a40e2	0x59	0x8092c0e	0x5b
DIFF	_ZN18COnTimeEventAction11onEndActionEv	0x80a4204	0x62	0x8092e6a	0x65
DIFF	_ZN18COnTimeEventAction13onStartActionER10EventParam	0x80a4164	0x9f	0x8092dc8	0xa2
DIFF	_ZN19CEventActionManager13OnStartActionEP26Packet_Monitor_Event_Start	0x80a4068	0x47	0x8093068	0x4d
DIFF	_ZN19CEventActionManager4initEv	0x80a3f4c	0xc0	0x8092ef8	0x114
DIFF	_ZN19COnTimeEventManager10StartEventEjj	0x80a4708	0xa4	0x8099e2a	0xc1
DIFF	_ZN19COnTimeEventManager11OnRewardEndEv	0x80a49b6	0x112	0x809a310	0x111
DIFF	_ZN19COnTimeEventManager13OnRewardStartEv	0x80a4834	0x181	0x809a166	0x1a9
DIFF	_ZN19COnTimeEventManager15GetCurIdxByDBMWEv	0x80a4ac8	0xf7	0x809a050	0x115
DIFF	_ZN19COnTimeEventManager18SendEventIdxToDBMWEv	0x80a4ca8	0x89	0x8099fc0	0x8f
DIFF	_ZN19COnTimeEventManager21GetCurEventItemByDBMWEjj	0x80a4bc0	0x85	0x8099f3e	0x82
DIFF	_ZN19COnTimeEventManager9AttachAppEP12CApplication	0x80a4638	0x88	0x8099b3a	0xa4
DIFF	_ZN20CTask_ChristmasEvent10_DoExecuteEv	0x809c33e	0x125	0x80a02f2	0x14b
DIFF	_ZN20CTask_ChristmasEvent15DecideEventTimeEv	0x809c00e	0xa8	0x809ffae	0x9c
DIFF	_ZN20CTask_ChristmasEvent18MakeEventStartTickEi	0x809c0b6	0x287	0x80a005e	0x293
DIFF	_ZN28TowerOfDespairReloadAPC_Task33SendRequest_DoRandomSelectUserAPCEv	0x805ca94	0xd0	0x80a6bbc	0xd6
DIFF	_ZN41TowerOfDespairWaitGameServerResponse_Task10_DoExecuteEv	0x805cb64	0xac	0x80a6d0a	0xca
