status	name	orig_addr	orig_size	new_addr	new_size
DIFF	_ZN13CMemberConfig11Parse_TableEPci	0x8061c80	0xa1	0x8061472	0xac
DIFF	_ZN13CMemberConfigC1Ev	0x806b946	0x4a	0x8061210	0xb3
DIFF	_ZN13CMemberConfigC2Ev	0x806b946	0x4a	0x8061210	0xb3
DIFF	_ZN13CMemberExpTbl11Parse_TableEPci	0x8061e82	0x85	0x80615c0	0x85
DIFF	_ZN13CMemberExpTbl17GetMemberExpLevelEj	0x8062120	0x82	0x8061646	0x9c
DIFF	_ZN13CMemberExpTbl17GetMemberExpLevelEjRjS0_Rh	0x806207e	0xa2	0x8061780	0x92
DIFF	_ZN13CMemberExpTbl18IsMemberExpLevelUpEj	0x80621a2	0x90	0x80616fc	0x84
DIFF	_ZN14CMemberManager10FindMemberEj	0x8099be0	0x94	0x80622fa	0x7f
DIFF	_ZN14CMemberManager10LoadMemberEjR14STMemberDBInfojjP14CServerHandler	0x809acda	0x216	0x80620e4	0x216
DIFF	_ZN14CMemberManager12DeleteMemberEjb	0x8099e1c	0x14a	0x8061b88	0x14a
DIFF	_ZN14CMemberManager12InsertMemberEjP7CMember	0x8099d2a	0xf2	0x8062620	0xdf
DIFF	_ZN14CMemberManager13IsEmptyMemberEj	0x8099c74	0xb6	0x80623a8	0xb0
DIFF	_ZN14CMemberManager13MemerMemLoginEjP5CUser	0x809a698	0x3c9	0x8062c74	0x3c6
DIFF	_ZN14CMemberManager14RegisterMemberEP7CMembersP5CUserb	0x8099f66	0x112	0x806286a	0x118
DIFF	_ZN14CMemberManager15MemberMemLogoutEjP5CUserb	0x809aa62	0x23a	0x8061cd2	0x245
DIFF	_ZN14CMemberManager16CheckEmptyMemberEP7CMemberP5CUser	0x809a496	0xa2	0x8062b06	0xb3
DIFF	_ZN14CMemberManager16CheckMemberEnterEP5CUserP7CMemberS1_S3_	0x809b122	0xce	0x8062a38	0xce
DIFF	_ZN14CMemberManager18LoadMemberFromCashEP5CUserP7CMember	0x809aef0	0x6d	0x8061b14	0x74
DIFF	_ZN14CMemberManager19SaveMemberOnConnectEP14CServerHandlerP5CUserS3_h	0x809a078	0xd0	0x8062700	0xc7
DIFF	_ZN14CMemberManager21IsPossableMemberEnterEP5CUserP7CMemberS1_S3_i	0x809afe4	0x13d	0x8061f9e	0x146
DIFF	_ZN14CMemberManager21NoticeLevelUpToLowersEjj	0x809a2c6	0xb8	0x80624ba	0xbb
DIFF	_ZN14CMemberManager21SaveMemberOnUnConnectEP14CServerHandlerjjjh	0x809a148	0xb8	0x80627c8	0xa2
DIFF	_ZN14CMemberManager24GetLowerMemberEnterLimitEj	0x809af94	0x50	0x8061f56	0x48
DIFF	_ZN14CMemberManager25MemberRegisterFlagProcessEv	0x809a37e	0x118	0x8061a06	0x10d
DIFF	_ZN14CMemberManager33GetMemberExpNextLevelNeedExpLevelERjS0_Rh	0x809a238	0x52	0x8062c14	0x60
DIFF	_ZN14CMemberManagerC1Ev	0x8099a50	0xa0	0x80618a4	0xa0
DIFF	_ZN14CMemberManagerC2Ev	0x8099a50	0xa0	0x80618a4	0xa0
DIFF	_ZN7CMember10LoadMemberER14STMemberDBInfosjj	0x809821a	0xcb	0x8060678	0xc5
DIFF	_ZN7CMember17DeleteLowerMemberEjb	0x8098464	0xc8	0x8060df4	0xc4
DIFF	_ZN7CMember17DeleteUpperMemberEjb	0x809852c	0x50	0x8060da6	0x4d
DIFF	_ZN7CMember17InsertLowerMemberEjhPKcb	0x80982e6	0xaa	0x8060cac	0xbc
DIFF	_ZN7CMember17InsertUpperMemberEjhPKcb	0x8098390	0x80	0x8060c28	0x83
DIFF	_ZN7CMember18DeleteMemberByNameEPcRj	0x8098582	0x13c	0x8060ec4	0x152
DIFF	_ZN7CMember21GetConnLowerMemberCntEv	0x809916a	0x82	0x8060bb8	0x70
DIFF	_ZN7CMember21IncConnLowerMemberExpEijj	0x8098f0c	0x110	0x80608e0	0x152
DIFF	_ZN7CMember21IncConnLowerMemberExpEjj	0x809901c	0x6a	0x8060836	0xa9
DIFF	_ZN7CMember21NoticeLevelUpToLowersEj	0x8099086	0xbf	0x8060a32	0xb6
DIFF	_ZN7CMember21NoticeMemberLogin_OutEP5CUserc	0x8098b5e	0x325	0x805fc80	0x31e
DIFF	_ZN7CMember23CheckMemberRegisterFlagEv	0x80991ec	0x253	0x806001e	0x1ea
DIFF	_ZN7CMember28NoticeChatMsgToMemberMembersEPciP5CUser	0x80986be	0x21c	0x8060496	0x1e2
DIFF	_ZN7CMember37NoticeChatMsgToMemberMembersHyperLinkEPcihPK19hyperlink_item_infoP5CUser	0x80988da	0x284	0x806024a	0x24b
DIFF	_ZNK7CMember15FindLowerMemberEj	0x8098410	0x54	0x806078e	0x4f
DIFF	_ZNK7CMember20GetUpperMember_ProxyEv	0x8098148	0x3c	0x8060af4	0x45
DIFF	_ZNK7CMember21GetUpperMember_CharIdEv	0x809810c	0x3c	0x806074e	0x3f
DIFF	_ZNK7CMember21IsAlreadyMemberMemberEj	0x8098e84	0x4b	0x8060d68	0x3d
