status	name	orig_addr	orig_size	new_addr	new_size
DIFF	_ZN14CPacketCounterILi1000ELi10240EE12AfterProcessEi	0x807d5ac	0x11d	0x8068b30	0x10f
DIFF	_ZN14CPacketCounterILi1000ELi10240EE20IncrementPacketCountEi	0x807d518	0x5f	0x8068aa0	0x5c
DIFF	_ZN14CPacketDecoder10TcpProcessEv	0x807cfd6	0x333	0x8068062	0x350
DIFF	_ZN14CPacketDecoder10UdpProcessEv	0x807cca8	0x32e	0x80683b2	0x341
DIFF	_ZN14CPacketDecoder6AttachEP12CApplication	0x807d328	0xa8	0x8067f8a	0xb9
DIFF	_ZN14CPacketDecoder9MsgDecodeEP12PacketHeader	0x807cab0	0x1f8	0x80686f4	0x1d0
DIFF	_ZN7MemPoolI10CBlackUserE5allocEv	0x806c9d4	0x151	0x8066544	0x166
DIFF	_ZN7MemPoolI11CCashObjectE5allocEv	0x80a0774	0x150	0x8065f88	0x15b
DIFF	_ZN7MemPoolI13CPacketBufferE5allocEv	0x804db4c	0x150	0x80656e8	0x161
DIFF	_ZN7MemPoolI14CTcpRecvBufferE5allocEv	0x804d774	0x150	0x8065120	0x161
DIFF	_ZN7MemPoolI14CTcpSendBufferE5allocEv	0x804d960	0x150	0x8065404	0x161
DIFF	_ZN7MemPoolI14CUdpRecvBufferE5allocEv	0x804d588	0x150	0x8064e3c	0x161
DIFF	_ZN7MemPoolI16CDNFProhibitUserE5allocEv	0x806ce34	0x14e	0x8066b0a	0x15f
DIFF	_ZN7MemPoolI5CPeerE5allocEv	0x8052002	0x150	0x8066826	0x161
DIFF	_ZN7MemPoolI5CUserE5allocEv	0x806e72a	0x150	0x80659cc	0x15b
DIFF	_ZN7MemPoolI6CBuddyE5allocEv	0x809e1e2	0x13a	0x8066266	0x162
DIFF	_ZN7MemPoolI7CMemberE5allocEv	0x80997a6	0x150	0x8065caa	0x15b
