status	name	orig_addr	orig_size	new_addr	new_size
DIFF	_ZN11CTcpHandlerC1Ev	0x804efd2	0x4c	0x8084b10	0x4a
DIFF	_ZN11CTcpHandlerC2Ev	0x804efd2	0x4c	0x8084b10	0x4a
DIFF	_ZN12EpollHandler10ResetEpollEi	0x804ee72	0x93	0x80a1f34	0x92
DIFF	_ZN12EpollHandler8SetEpollEPvib	0x804eddc	0x96	0x80a1e94	0xa0
DIFF	_ZN13CTcpNetSystem10CleanPeersEv	0x8053c40	0xde	0x80a2858	0xf8
DIFF	_ZN13CTcpNetSystem10DeletePeerEP5CPeer	0x8053870	0xe7	0x80a2df2	0xf3
DIFF	_ZN13CTcpNetSystem10SendPacketEv	0x805345c	0x2f1	0x80a2ac8	0x313
DIFF	_ZN13CTcpNetSystem14OpenTcpServiceERiPKct	0x8053958	0x1b1	0x80a2692	0x1c6
DIFF	_ZN13CTcpNetSystem19CleanTcpSendPacketQEv	0x8053d1e	0x11c	0x80a30d4	0x124
DIFF	_ZN13CTcpNetSystem21SetEpollAcceptedPeersEv	0x8053164	0x19c	0x80a2950	0x177
DIFF	_ZN13CTcpNetSystem21SetEpollConnectedPeerEP5CPeer	0x8053b0a	0x136	0x80a31f8	0x122
DIFF	_ZN13CTcpNetSystem23PopDeleteTcpSendPacketQEP14CTcpSendBuffer	0x805374e	0xa8	0x80a3034	0xa0
DIFF	_ZN13CTcpNetSystem4InitEt	0x8052fc2	0x13e	0x80a2558	0x13a
DIFF	_ZN13CTcpNetSystemC1Ev	0x8052b18	0x220	0x80a2092	0x214
DIFF	_ZN13CTcpNetSystemC2Ev	0x8052b18	0x220	0x80a2092	0x214
DIFF	_ZN13CTcpNetSystemD1Ev	0x8052d38	0x28a	0x80a22a6	0x2b1
DIFF	_ZN13CTcpNetSystemD2Ev	0x8052d38	0x28a	0x80a22a6	0x2b1
DIFF	_ZN16CTcpAcceptThread8dispatchEPv	0x8059e70	0x405	0x808459a	0x41c
DIFF	_ZN17CTcpNetworkThread8dispatchEPv	0x805a44c	0x457	0x8084e48	0x456
DIFF	_ZN17CUdpNetworkThread8dispatchEPv	0x80972a4	0x6fe	0x8063e26	0x744
DIFF	_ZN5CPeer10RecvPacketEv	0x805109c	0x196	0x809ba30	0x199
DIFF	_ZN5CPeer11recv_packetEv	0x8051232	0x1a1	0x809b2b4	0x194
DIFF	_ZN5CPeer11send_packetEPci	0x805185e	0x21b	0x809b7a0	0x215
DIFF	_ZN5CPeer11send_packetEv	0x8051a7a	0x24d	0x809b540	0x25f
DIFF	_ZN5CPeer7parsingEi	0x80513d4	0x489	0x809bcb4	0x442
DIFF	_ZN9TCPSocket4bindEtb	0x804f3fa	0xbf	0x8085516	0xc2
DIFF	_ZN9TCPSocket4openEv	0x804f39e	0x5c	0x8085378	0x5b
DIFF	_ZN9TCPSocket4sendEPci	0x804f4f4	0x117	0x8085cd4	0xfb
DIFF	_ZN9TCPSocket6acceptERS_	0x804fee0	0x11d	0x8085ba8	0x121
DIFF	_ZN9TCPSocket7connectEPKct	0x804f86e	0xdc	0x80853d4	0xe4
