status	name	orig_addr	orig_size	new_addr	new_size
DIFF	_ZN17CPacketTranslater10OnAddBuddyEP12PacketHeader	0x808776e	0x210	0x8072bb6	0x209
DIFF	_ZN17CPacketTranslater10OnDelBuddyEP12PacketHeader	0x8087c3e	0x234	0x807307a	0x229
DIFF	_ZN17CPacketTranslater10OnEventEndEP12PacketHeader	0x80845bc	0x273	0x806f9ac	0x276
DIFF	_ZN17CPacketTranslater11OnCharLoginEP12PacketHeader	0x807f5a2	0x8c3	0x806aea2	0x8b3
DIFF	_ZN17CPacketTranslater11OnHeartBeatEP12PacketHeader	0x807ec9e	0x313	0x806aba2	0x300
DIFF	_ZN17CPacketTranslater11OnUserRepelEP12PacketHeader	0x8083aec	0x2ea	0x806f1e0	0x2e4
DIFF	_ZN17CPacketTranslater12OnCeraUpdateEP12PacketHeader	0x807fe66	0x210	0x806bf2c	0x20d
DIFF	_ZN17CPacketTranslater12OnEventStartEP12PacketHeader	0x8084332	0x28a	0x806f712	0x29a
DIFF	_ZN17CPacketTranslater12OnForbidChatEP12PacketHeader	0x808753a	0x234	0x8070448	0x234
DIFF	_ZN17CPacketTranslater12OnSetARSInfoEP12PacketHeader	0x808cce0	0x252	0x8078124	0x252
DIFF	_ZN17CPacketTranslater13OnChannelTypeEP12PacketHeader	0x8089fca	0x1b6	0x807569c	0x1d0
DIFF	_ZN17CPacketTranslater13OnNoticeSlangEP12PacketHeader	0x8089270	0x1e7	0x8074954	0x1e7
DIFF	_ZN17CPacketTranslater14OnGMRequestMidEP12PacketHeader	0x80883f2	0x296	0x8073804	0x264
DIFF	_ZN17CPacketTranslater14OnMemberSecedeEP12PacketHeader	0x8081be2	0x524	0x806da70	0x507
DIFF	_ZN17CPacketTranslater14onCollectItemsEP12PacketHeader	0x8090f48	0x390	0x807c4f0	0x37b
DIFF	_ZN17CPacketTranslater15OnNoticeMessageEP12PacketHeader	0x80870bc	0x22a	0x806ffd0	0x22a
DIFF	_ZN17CPacketTranslater15OnNotifyNewMailEP12PacketHeader	0x808508c	0xd8	0x806fc22	0xd1
DIFF	_ZN17CPacketTranslater15OnPayTaxToUpperEP12PacketHeader	0x8082b74	0x58b	0x806e788	0x522
DIFF	_ZN17CPacketTranslater15OnRenew_GM_ListEP12PacketHeader	0x808d678	0xaa	0x8078d28	0xb7
DIFF	_ZN17CPacketTranslater15OnReplyUserInfoEP12PacketHeader	0x807efb2	0x5ef	0x806a5a6	0x5fb
DIFF	_ZN17CPacketTranslater16OnCallMemberListEP12PacketHeader	0x8082106	0x498	0x806df78	0x48a
DIFF	_ZN17CPacketTranslater16OnChangeCharNameEP12PacketHeader	0x8089824	0x3c4	0x8074f1a	0x3d1
DIFF	_ZN17CPacketTranslater16OnLogoutCompleteEP12PacketHeader	0x8083100	0x2f4	0x806eee8	0x2f8
DIFF	_ZN17CPacketTranslater16OnPvPChannelInfoEP12PacketHeader	0x8089cb6	0x196	0x80753b8	0x184
DIFF	_ZN17CPacketTranslater16OnTakeScreenShotEP12PacketHeader	0x808c4e0	0x2c8	0x8077b74	0x2e2
DIFF	_ZN17CPacketTranslater16onCollectItemsGmEP12PacketHeader	0x80914f2	0x1f2	0x807ca86	0x1f2
DIFF	_ZN17CPacketTranslater17OnAddBuddyDBReplyEP12PacketHeader	0x808797e	0x2c0	0x8072dc0	0x2ba
DIFF	_ZN17CPacketTranslater17OnCharacterDeleteEP12PacketHeader	0x80840d6	0x25b	0x806f4c4	0x24d
DIFF	_ZN17CPacketTranslater17OnDelBuddyDBReplyEP12PacketHeader	0x8087e72	0x25d	0x80732a4	0x257
DIFF	_ZN17CPacketTranslater17OnEventItemUpdateEP12PacketHeader	0x8080076	0x328	0x806c13a	0x322
DIFF	_ZN17CPacketTranslater17OnWebNoticeSingleEP12PacketHeader	0x8086f12	0x1aa	0x8072a0c	0x1aa
DIFF	_ZN17CPacketTranslater18OnGameServerRegistEP12PacketHeader	0x808d0dc	0x2ae	0x8078780	0x2a2
DIFF	_ZN17CPacketTranslater18OnInnerPacketLoginEP12PacketHeader	0x8088c44	0x38f	0x80742f0	0x3a9
DIFF	_ZN17CPacketTranslater18OnMemberEnterReplyEP12PacketHeader	0x8080fb0	0xc32	0x806cdf2	0xc7e
DIFF	_ZN17CPacketTranslater18OnRegisterEventIdxEP12PacketHeader	0x808d9e8	0x16a	0x80790a6	0x168
DIFF	_ZN17CPacketTranslater18OnReplyQueryMemberEP12PacketHeader	0x808039e	0x225	0x806c45c	0x21e
DIFF	_ZN17CPacketTranslater18OnRequestBlackListEP12PacketHeader	0x8085e52	0x207	0x807181c	0x205
DIFF	_ZN17CPacketTranslater18OnSetCleanPadPointEP12PacketHeader	0x808bc48	0x3b0	0x80772ee	0x39d
DIFF	_ZN17CPacketTranslater18onIPCounterControlEP12PacketHeader	0x808a552	0x24b	0x8075c44	0x24b
DIFF	_ZN17CPacketTranslater19OnDeleteToBlackListEP12PacketHeader	0x8085afe	0x353	0x80714ca	0x352
DIFF	_ZN17CPacketTranslater19OnInnerPacketLogoutEP12PacketHeader	0x8088fd4	0x29b	0x807469a	0x2b9
DIFF	_ZN17CPacketTranslater19OnNotifyAuctionMailEP12PacketHeader	0x8089be8	0xce	0x80752ec	0xcc
DIFF	_ZN17CPacketTranslater19OnRegisterEventItemEP12PacketHeader	0x808dd98	0x227	0x8079454	0x266
DIFF	_ZN17CPacketTranslater19OnServerMessageInfoEP12PacketHeader	0x808a180	0x148	0x807586c	0x148
DIFF	_ZN17CPacketTranslater19OnWebNoticeInGameADEP12PacketHeader	0x8090c3e	0x22a	0x807c2c0	0x230
DIFF	_ZN17CPacketTranslater19OnWebQueryUserStateEP12PacketHeader	0x8085164	0x2c3	0x806fcf4	0x2dc
DIFF	_ZN17CPacketTranslater19OnWebRequestARSInfoEP12PacketHeader	0x808ca7c	0x264	0x8078376	0x25b
DIFF	_ZN17CPacketTranslater19onLoadCleanPadPointEP12PacketHeader	0x8089458	0x142	0x8074b3c	0x148
DIFF	_ZN17CPacketTranslater19onLoadPunishUserReqEP12PacketHeader	0x808a410	0x142	0x8075afc	0x148
DIFF	_ZN17CPacketTranslater19onReloadCountryCodeEP12PacketHeader	0x80922a4	0x13a	0x807d84c	0x140
DIFF	_ZN17CPacketTranslater20OnExchangeServerInfoEP12PacketHeader	0x8086942	0x1f1	0x8072400	0x200
DIFF	_ZN17CPacketTranslater20OnRequestMemberEnterEP12PacketHeader	0x8080846	0x76a	0x806c67a	0x778
DIFF	_ZN17CPacketTranslater21OnMonitorMegaPhoneMsgEP12PacketHeader	0x8085648	0x4b	0x8070fae	0x48
DIFF	_ZN17CPacketTranslater21OnMonitorPunishCancelEP12PacketHeader	0x808e364	0x3bf	0x8079a58	0x3a8
DIFF	_ZN17CPacketTranslater21OnNoticeMemberChatMsgEP12PacketHeader	0x80827ea	0x389	0x806e402	0x386
DIFF	_ZN17CPacketTranslater21OnPvPChannelUserCountEP12PacketHeader	0x8089e4c	0x17d	0x807553c	0x160
DIFF	_ZN17CPacketTranslater21OnRegisterToBlackListEP12PacketHeader	0x8085694	0x46a	0x8071024	0x4a6
DIFF	_ZN17CPacketTranslater21OnUpdateMiniCraneSeedEP12PacketHeader	0x8091bc6	0x31b	0x807d168	0x317
DIFF	_ZN17CPacketTranslater21OnUserRepelByCharNameEP12PacketHeader	0x8083dd6	0x300	0x8073a68	0x2e2
DIFF	_ZN17CPacketTranslater21SendColletItemsRewardEjiPKciN18TimeGateRewardType1TE	0x8090e68	0xe0	0x80720b2	0xe1
NEAR	_ZN17CPacketTranslater22OnPcRoomPlayTimeRewardEP12PacketHeader	0x80916e4	0x1df	0x807cc78	0x1df
DIFF	_ZN17CPacketTranslater22OnRegisterEventUserIdxEP12PacketHeader	0x808db52	0x246	0x807920e	0x246
DIFF	_ZN17CPacketTranslater22OnRelayServerUserCheckEP12PacketHeader	0x80872e6	0x254	0x80701fa	0x24d
DIFF	_ZN17CPacketTranslater22RequestBlackListToDBMWEj	0x80865ba	0x119	0x8071f92	0x11f
DIFF	_ZN17CPacketTranslater23OnDBMWDeleteToBlackListEP12PacketHeader	0x8086350	0x269	0x8071d22	0x26f
DIFF	_ZN17CPacketTranslater23OnFindCharacName_useUIDEP12PacketHeader	0x808d566	0x112	0x8078bd2	0x156
DIFF	_ZN17CPacketTranslater23OnQueryBuddyInfoDBReplyEP12PacketHeader	0x80880d0	0x258	0x80734fc	0x254
