status	name	orig_addr	orig_size	new_addr	new_size
DIFF	_ZN14CServerHandler13GetGameServerEj	0x807a7e0	0x64	0x8080524	0x64
DIFF	_ZN14CServerHandler14ResetHeartBeatEh	0x8079b24	0xe1	0x8080eb0	0xae
DIFF	_ZN14CServerHandler14SetConnectFlagEhb	0x8079d7c	0xc4	0x8081016	0xc4
DIFF	_ZN14CServerHandler16RegistGameServerEP12stServerInfo	0x807a614	0xfc	0x808040c	0x118
DIFF	_ZN14CServerHandler18UnregistGameServerEj	0x807a710	0xd0	0x80809ce	0xdf
DIFF	_ZN14CServerHandler19CreateTcpGameServerEj	0x807a2b6	0xe5	0x8080808	0xe8
DIFF	_ZN14CServerHandler19DeleteTcpGameServerEj	0x807a39c	0xd2	0x80808f0	0xde
DIFF	_ZN14CServerHandler20GetTcpGameServerByChEh	0x807a4d8	0x98	0x80805f2	0xa2
DIFF	_ZN14CServerHandler20SendAllTcpGameServerEP12PacketHeader	0x8079f48	0xf5	0x8080aee	0xeb
DIFF	_ZN14CServerHandler20SendAllTcpGameServerEP12PacketHeaderi	0x807a03e	0x122	0x8080bda	0x114
DIFF	_ZN14CServerHandler20queryReloadTowerRankEj	0x807a1b8	0x4b	0x8080694	0x4f
DIFF	_ZN14CServerHandler21IsConnectedGameServerEh	0x8079c3c	0xbb	0x8080f5e	0xb7
DIFF	_ZN14CServerHandler7ProcessEv	0x80796b4	0x46f	0x807faca	0x475
DIFF	_ZN15CExchangeServer16SetExchageServerEjsiRb	0x8093d4a	0x205	0x805d01c	0x201
DIFF	_ZN15exchange_server18CCacheCharacterMgr14CacheCharacterEjPNS_20CACHE_CHARACTER_TYPEE	0x8093a5a	0x114	0x805d7da	0xd3
DIFF	_ZN15exchange_server18CCacheCharacterMgr14CollectGarbageEv	0x80938a0	0x107	0x805d960	0x134
DIFF	_ZN15exchange_server28GetInstanceCacheCharacterMgrEv	0x8093c93	0x93	0x805dacc	0x58
DIFF	_ZN16CServerInterface19IsHeartBeatTimeOverEv	0x807c2a8	0x58	0x8082a16	0x67
DIFF	_ZN17CTcpManagerServer13SendTcpPacketEP12PacketHeader	0x8078d98	0x72	0x805d6a2	0x72
DIFF	_ZN22CLoginLogoutStatistics11LoginLogoutE17ENUM_LOGIN_LOGOUTh	0x80a642c	0x12c	0x809684c	0x136
DIFF	main	0x805abb0	0x53	0x8063c4a	0x5b
