status	name	orig_addr	orig_size	new_addr	new_size
DIFF	_ZN10CIPCounter11setLoadTermEh	0x805e8ba	0x4c	0x8093c0e	0x53
DIFF	_ZN10CIPCounter13setMinIPCountEh	0x805e906	0x20	0x8093c62	0x21
NEAR	_ZN10CIPCounter9setOptionEhh	0x805e830	0x89	0x8093c84	0x89
DIFF	_ZN10CTableBase19Load_Txt_Table_DataEPKci	0x8062678	0xda	0x80842e4	0xeb
DIFF	_ZN10CTowerRank10registRankEjjjPK30stDeathTowerRecordMemberInfo_t	0x80a3512	0x4f	0x8086f66	0x4f
DIFF	_ZN10CTowerRank11getRankDataEjPKcjP20stTowerRankElement_t	0x80a30e8	0x1bf	0x8086d7c	0x1b2
DIFF	_ZN10CTowerRank16registCharacRankEjPKcjj	0x80a32a8	0x269	0x8086b54	0x227
DIFF	_ZN10CTowerRank5resetEv	0x80a3562	0x39	0x8086f2e	0x37
DIFF	_ZN13CDNFExceptionD1Ev	0x804c776	0x73	0x80841a6	0x62
DIFF	_ZN13CDNFExceptionD2Ev	0x804c776	0x73	0x80841a6	0x62
DIFF	_ZN13np_server_xml10CServerXml9StrPunishEiPKcNS_12_eStringTypeE	0x8057ed2	0x265	0x809de32	0x1ba
DIFF	_ZN16CDNFProhibitUser20IsTimeOutConnectableEv	0x806ccfa	0x33	0x807f26c	0x2e
DIFF	_ZN16CDNFProhibitUser22SetUserConnectableTimeEjscb	0x806cd2e	0x50	0x807f2b2	0x4d
DIFF	_ZN8WongWork11CGMAccounts12AppendGM_SysEjc	0x80acea0	0x8f	0x8093350	0x8e
DIFF	_ZN8WongWork11CGMAccounts4isGMEj	0x80accc2	0xa7	0x80931da	0x99
DIFF	_ZNK13CDNFException4whatEv	0x804c6fc	0x7a	0x8084226	0x65
DIFF	_ZNK13np_server_xml10CServerXml14GetEventStringEiNS_12_eStringTypeEPb	0x80582f2	0x20a	0x809e192	0x206
DIFF	_ZNK13np_server_xml10CServerXml15GetServerStringEiPb	0x8058138	0x137	0x809dfec	0x124
DIFF	_ZNK8WongWork11CGMAccounts9getGMInfoEj	0x80acd86	0xe0	0x8093274	0xc7
