status	name	orig_addr	orig_size	new_addr	new_size
DIFF	_ZN12CBuddyHandle11addFromCashEP6CBuddy	0x809e91a	0xb3	0x8058086	0x138
DIFF	_ZN12CBuddyHandle11printBuddysEPc	0x809f036	0x184	0x805840c	0x16d
DIFF	_ZN12CBuddyHandle15getBuddysCharNoEPj	0x809ee38	0x10b	0x8057ddc	0x10d
DIFF	_ZN12CBuddyHandle17findBuddyByCharNoEj	0x809ed88	0xaf	0x8058370	0x9b
DIFF	_ZN12CBuddyHandle5addDBEP14CServerHandlerPc	0x809e5e0	0x1fe	0x80578c0	0x210
DIFF	_ZN12CBuddyHandle5delDBEP14CServerHandlerPc	0x809e9f2	0x1ce	0x8057ad0	0x1df
DIFF	_ZN12CBuddyHandle6insertEP6CBuddy	0x809ec6a	0xa4	0x80581be	0x138
DIFF	_ZN12CBuddyHandle9getBuddysEPP6CBuddy	0x809ef44	0xf1	0x8057eea	0xf1
DIFF	_ZN12CUserManager11AddSchoolNoEjh	0x8071f08	0x41b	0x808c8da	0x3b8
DIFF	_ZN12CUserManager11DelSchoolNoEjh	0x8072324	0x1a1	0x808cf06	0x194
DIFF	_ZN12CUserManager14GetSchoolCountEjPjRh	0x80724c6	0x227	0x808bbd2	0x21f
NEAR	_ZN12CUserManager15ProcessByMinuteEv	0x8071776	0x15c	0x808b032	0x15c
DIFF	_ZN12CUserManager17InsertUser_CharNoEjP5CUser	0x8071204	0xdf	0x808c0fe	0xdf
DIFF	_ZN12CUserManager19InsertUser_CharNameEPcP5CUser	0x807140a	0xdf	0x808c1de	0xdf
DIFF	_ZN12CUserManager23SendConnectedBuddysListEP5CUser	0x8071b74	0x216	0x808b9ba	0x217
DIFF	_ZN12CUserManager27DeleteUsersOnGameServerDownEP11CGameServer	0x8070c7c	0x2f9	0x808b3ae	0x305
DIFF	_ZN12CUserManager30DeleteUsersOnTcpGameServerDownEP14CTcpGameServer	0x8070982	0x2f9	0x808b6b4	0x305
DIFF	_ZN21CBuddyRegisterManager16addBuddyRegisterEjj	0x809d388	0x52	0x804b8be	0x3d
DIFF	_ZN21CBuddyRegisterManager16delBuddyRegisterEj	0x809d474	0x87	0x804b996	0x87
DIFF	_ZN21CBuddyRegisterManager16delBuddyRegisterEjj	0x809d3da	0x99	0x804b8fc	0x99
DIFF	_ZN21CBuddyRegisterManager18printBuddyRegisterEPcj	0x809d57c	0xba	0x804ba9e	0xc2
DIFF	_ZN5CUser13SendBlackListEv	0x806e330	0x55	0x8089b7e	0x5d
DIFF	_ZN5CUser17DeleteToBlackListEj	0x806d85c	0xa8	0x8089adc	0xa1
DIFF	_ZN5CUser17SendTcpGameserverEP12PacketHeader	0x806d480	0x82	0x8088b54	0x85
DIFF	_ZN5CUser18MemberEnterProcessEv	0x806d608	0x43	0x8088de6	0x4e
DIFF	_ZN5CUser19GetChannelUserCountEP16STPvPChannelInfoRh	0x806e234	0xfc	0x8088ce2	0x104
DIFF	_ZN5CUser19RegisterToBlackListEjPc	0x806d6ce	0xf9	0x8089916	0x116
DIFF	_ZN5CUser19RegisterToBlackListEjPcj	0x806d7c8	0x93	0x8089a2c	0xb0
DIFF	_ZN5CUser20SendNoticeBuddyInOutEhjPchhc	0x806e136	0xb8	0x808961a	0xbf
DIFF	_ZN5CUser21GetConnLowerMemberCntEv	0x806de26	0x5e	0x8089c90	0x68
DIFF	_ZN5CUser22GetUpperMemberExpLevelEv	0x806ddc8	0x5e	0x8088af2	0x61
DIFF	_ZN5CUser25ChangeCharNameToBlackListEjPc	0x806d904	0x9d	0x8088e58	0x93
DIFF	_ZN5CUser8AddBuddyER13STBuddyDBInfo	0x806defe	0x9b	0x8088f78	0xd5
DIFF	_ZN5CUser8DelBuddyEPc	0x806e002	0x97	0x808904e	0xce
DIFF	_ZN5CUserC1Ev	0x806d126	0x180	0x8088722	0x180
DIFF	_ZN5CUserC2Ev	0x806d126	0x180	0x8088722	0x180
