status	name	orig_addr	orig_size	new_addr	new_size
DIFF	_ZN16village_attacked11SetGMConfigEjjj	0x80a81ef	0x12d	0x80a7001	0x12b
DIFF	_ZN16village_attacked13SetRealConfigEv	0x80a80f0	0xff	0x80a6f02	0xff
DIFF	_ZN16village_attacked23CVillageAttackedManager10OnScheduleEv	0x80a8656	0x270	0x80a7436	0x271
DIFF	_ZN16village_attacked23CVillageAttackedManager11InsertTimerEii	0x80a88c6	0x1bd	0x80a71fc	0x239
DIFF	_ZN16village_attacked23CVillageAttackedManager11SendMinTimeEv	0x80a8ba8	0x9f	0x80a7f44	0xa5
DIFF	_ZN16village_attacked23CVillageAttackedManager14SendCharacRankEv	0x80a8d40	0x3a5	0x80a837e	0x368
DIFF	_ZN16village_attacked23CVillageAttackedManager15GetHuntingPointEj	0x80a97e8	0x70	0x80a7e84	0x6a
DIFF	_ZN16village_attacked23CVillageAttackedManager15RequestEventEndEb	0x80a9b4c	0x4c	0x80a76f2	0x4e
DIFF	_ZN16village_attacked23CVillageAttackedManager18GetMaxHuntingPointEv	0x80a847c	0xb3	0x80a7740	0xb3
DIFF	_ZN16village_attacked23CVillageAttackedManager18SetRewardCloseTimeE28ENUM_VILLAGE_ATTACKED_REWARD	0x80a9758	0x4f	0x80a76a8	0x4a
DIFF	_ZN16village_attacked23CVillageAttackedManager18UpdateHuntingPointEPP5CUserbPiPj	0x80a9904	0x211	0x80a818a	0x1f3
DIFF	_ZN16village_attacked23CVillageAttackedManager19SendMaxHuntingPointEv	0x80a8b10	0x98	0x80a7984	0x97
DIFF	_ZN16village_attacked23CVillageAttackedManager20OnEndVillageAttackedEv	0x80a916e	0x147	0x80a7a68	0x182
DIFF	_ZN16village_attacked23CVillageAttackedManager21SendFirstRankerRewardEj	0x80a8c48	0x9e	0x80a78d4	0xb0
DIFF	_ZN16village_attacked23CVillageAttackedManager22OnStartVillageAttackedEv	0x80a8aa2	0x6e	0x80a77f4	0x77
DIFF	_ZN16village_attacked23CVillageAttackedManager23OnRewardVillageAttackedEv	0x80a92b6	0x52	0x80a7bea	0x46
DIFF	_ZN16village_attacked23CVillageAttackedManager23OnUpdateVillageAttackedEv	0x80a95d8	0x61	0x80a7cb6	0x5c
DIFF	_ZN16village_attacked23CVillageAttackedManager24SendVillageAttackedScoreEP5CUser	0x80a9690	0xb8	0x80a7d12	0xcc
DIFF	_ZN16village_attacked23CVillageAttackedManager25SendRequestRevengeDungeonEPc	0x80a9142	0x2b	0x80a8a54	0x30
DIFF	_ZN16village_attacked23CVillageAttackedManager25SendVillageAttackedRewardEP5CUseri	0x80a9858	0x52	0x80a7dde	0x4f
DIFF	_ZN16village_attacked23CVillageAttackedManager26OnCountdownVillageAttackedEi	0x80a9574	0x63	0x80a786c	0x67
DIFF	_ZN16village_attacked23CVillageAttackedManager28SendVillageAttackedRewardJpnEP5CUseri	0x80a98aa	0x59	0x80a7eee	0x56
DIFF	_ZN16village_attacked23CVillageAttackedManager34OnServerGroupRewardVillageAttackedEv	0x80a931c	0x258	0x80a7fea	0x17a
DIFF	_ZN16village_attacked23CVillageAttackedManager5ResetEv	0x80a8530	0x4e	0x80a7a1c	0x4c
