demangled	mangled	status	orig_size	tu
CDBManager::QueryDeathTowerValueStatisticCreate(Packet_DBMW_DeathTower_Statistic_Value*)	_ZN10CDBManager35QueryDeathTowerValueStatisticCreateEP38Packet_DBMW_DeathTower_Statistic_Value	DIFF	876	DBManager.cpp.o
CPacketTranslater::OnChangeUnconnectedGuildMemberGrade(PacketHeader*)	_ZN17CPacketTranslater35OnChangeUnconnectedGuildMemberGradeEP12PacketHeader	DIFF	872	DBManager.cpp.o
CDBManager::OnWriteGuildBoard(Packet_DB_Load_Request_Guild_Board_Write*, STGuildBoardDBInfo*)	_ZN10CDBManager17OnWriteGuildBoardEP40Packet_DB_Load_Request_Guild_Board_WriteP18STGuildBoardDBInfo	DIFF	775	DBManager.cpp.o
CDBManager::QueryGuildWarPointList(int, CGuildManager*)	_ZN10CDBManager22QueryGuildWarPointListEiP13CGuildManager	DIFF	774	DBManager.cpp.o
CDBManager::OnLoadGuildBoard(int, int&, STGuildBoardDBInfo*)	_ZN10CDBManager16OnLoadGuildBoardEiRiP18STGuildBoardDBInfo	DIFF	765	DBManager.cpp.o
CDBManager::OnInsertGuildCargoHistory(Packet_DB_Insert_Guild_Cargo_History*)	_ZN10CDBManager25OnInsertGuildCargoHistoryEP36Packet_DB_Insert_Guild_Cargo_History	DIFF	763	DBManager.cpp.o
CDBManager::SendGuildLetter(int, unsigned int, char*)	_ZN10CDBManager15SendGuildLetterEijPc	DIFF	761	DBManager.cpp.o
CDBManager::AwardGuildTitleByMail(int, unsigned int, unsigned int, char*, unsigned int)	_ZN10CDBManager21AwardGuildTitleByMailEijjPcj	DIFF	758	DBManager.cpp.o
CDBManager::SendGuildCoinByMail(int, unsigned int, unsigned int, unsigned int, int, char*, char*)	_ZN10CDBManager19SendGuildCoinByMailEijjjiPcS0_	DIFF	737	DBManager.cpp.o
CDBManager::QueryBuddyInfo(unsigned int, STBuddyDBInfo*, unsigned char&)	_ZN10CDBManager14QueryBuddyInfoEjP13STBuddyDBInfoRh	DIFF	705	DBManager.cpp.o
CDBManager::updateCompatibilityIndex(Packet_Stat_Compatibility_Index*)	_ZN10CDBManager24updateCompatibilityIndexEP31Packet_Stat_Compatibility_Index	DIFF	679	DBManager.cpp.o
CDBManager::OnSecretShopStatistic(Packet_Secret_Shop_Statistic*)	_ZN10CDBManager21OnSecretShopStatisticEP28Packet_Secret_Shop_Statistic	DIFF	678	DBManager.cpp.o
