demangled	mangled	status	orig_size	tu
CPacketTranslater::OnDBLoadRequestGuildBoardOpen(PacketHeader*)	_ZN17CPacketTranslater29OnDBLoadRequestGuildBoardOpenEP12PacketHeader	DIFF	1479	DNFPacketTranslater.cpp.o
CPacketTranslater::OnRequestIPCounterList(PacketHeader*)	_ZN17CPacketTranslater22OnRequestIPCounterListEP12PacketHeader	DIFF	1433	DNFPacketTranslater.cpp.o
CPacketTranslater::OnPcRoomPlayTimeReward(PacketHeader*)	_ZN17CPacketTranslater22OnPcRoomPlayTimeRewardEP12PacketHeader	DIFF	1199	DNFPacketTranslater.cpp.o
CPacketTranslater::onQueryTowerFullRank(PacketHeader*)	_ZN17CPacketTranslater20onQueryTowerFullRankEP12PacketHeader	DIFF	1125	DNFPacketTranslater.cpp.o
CPacketTranslater::OnQueryGuildAllMembersProxy(PacketHeader*)	_ZN17CPacketTranslater27OnQueryGuildAllMembersProxyEP12PacketHeader	DIFF	980	DNFPacketTranslater.cpp.o
CPacketTranslater::OnQueryGuild(PacketHeader*)	_ZN17CPacketTranslater12OnQueryGuildEP12PacketHeader	DIFF	942	DNFPacketTranslater.cpp.o
CPacketTranslater::OnRequestARSInfo(PacketHeader*)	_ZN17CPacketTranslater16OnRequestARSInfoEP12PacketHeader	DIFF	933	DNFPacketTranslater.cpp.o
CPacketTranslater::OnGuildMasterDelegate(PacketHeader*)	_ZN17CPacketTranslater21OnGuildMasterDelegateEP12PacketHeader	DIFF	822	DNFPacketTranslater.cpp.o
CPacketTranslater::OnSendGuildLetter(PacketHeader*)	_ZN17CPacketTranslater17OnSendGuildLetterEP12PacketHeader	DIFF	821	DNFPacketTranslater.cpp.o
CPacketTranslater::OnGuildJoin(PacketHeader*)	_ZN17CPacketTranslater11OnGuildJoinEP12PacketHeader	DIFF	814	DNFPacketTranslater.cpp.o
CPacketTranslater::OnSendMailCoinGuildEvent(PacketHeader*)	_ZN17CPacketTranslater24OnSendMailCoinGuildEventEP12PacketHeader	DIFF	801	DNFPacketTranslater.cpp.o
CPacketTranslater::OnLoadGuildAgit(PacketHeader*)	_ZN17CPacketTranslater15OnLoadGuildAgitEP12PacketHeader	DIFF	741	DNFPacketTranslater.cpp.o
CPacketTranslater::OnReqOntimeEventIdxUpdate(PacketHeader*)	_ZN17CPacketTranslater25OnReqOntimeEventIdxUpdateEP12PacketHeader	DIFF	727	DNFPacketTranslater.cpp.o
CPacketTranslater::OnGuildSecede(PacketHeader*)	_ZN17CPacketTranslater13OnGuildSecedeEP12PacketHeader	DIFF	717	DNFPacketTranslater.cpp.o
CPacketTranslater::OnReqOntimeEventIdx(PacketHeader*)	_ZN17CPacketTranslater19OnReqOntimeEventIdxEP12PacketHeader	DIFF	715	DNFPacketTranslater.cpp.o
CPacketTranslater::OnReqOntimeEventItem(PacketHeader*)	_ZN17CPacketTranslater20OnReqOntimeEventItemEP12PacketHeader	DIFF	712	DNFPacketTranslater.cpp.o
CPacketTranslater::OnDeleteToBlackList(PacketHeader*)	_ZN17CPacketTranslater19OnDeleteToBlackListEP12PacketHeader	DIFF	664	DNFPacketTranslater.cpp.o
CPacketTranslater::OnDBMWInsertMail(PacketHeader*)	_ZN17CPacketTranslater16OnDBMWInsertMailEP12PacketHeader	DIFF	655	DNFPacketTranslater.cpp.o
CPacketTranslater::OnRequestApproveJoinGuild(PacketHeader*)	_ZN17CPacketTranslater25OnRequestApproveJoinGuildEP12PacketHeader	DIFF	650	DNFPacketTranslater.cpp.o
CPacketTranslater::OnRegisterToBlackList(PacketHeader*)	_ZN17CPacketTranslater21OnRegisterToBlackListEP12PacketHeader	DIFF	646	DNFPacketTranslater.cpp.o
CPacketTranslater::OnSavePowerWarBonusPoint(PacketHeader*)	_ZN17CPacketTranslater24OnSavePowerWarBonusPointEP12PacketHeader	DIFF	640	DNFPacketTranslater.cpp.o
CPacketTranslater::OnTcpServerLogin(PacketHeader*)	_ZN17CPacketTranslater16OnTcpServerLoginEP12PacketHeader	DIFF	634	DNFPacketTranslater.cpp.o
CPacketTranslater::OnTcpServerLogout(PacketHeader*)	_ZN17CPacketTranslater17OnTcpServerLogoutEP12PacketHeader	DIFF	622	DNFPacketTranslater.cpp.o
CPacketTranslater::OnDBLoadRequestGuildBoardWrite(PacketHeader*)	_ZN17CPacketTranslater30OnDBLoadRequestGuildBoardWriteEP12PacketHeader	DIFF	594	DNFPacketTranslater.cpp.o
CPacketTranslater::OnDBLoadRequestWebGuildBoardWrite(PacketHeader*)	_ZN17CPacketTranslater33OnDBLoadRequestWebGuildBoardWriteEP12PacketHeader	DIFF	594	DNFPacketTranslater.cpp.o
