demangled	mangled	status	orig_size	tu
CPacketTranslater::onStartGameEventFromServer(PacketHeader*)	_ZN17CPacketTranslater26onStartGameEventFromServerEP12PacketHeader	DIFF	583	DNFPacketTranslater.cpp.o
CPacketTranslater::onEndGameEventFromServer(PacketHeader*)	_ZN17CPacketTranslater24onEndGameEventFromServerEP12PacketHeader	DIFF	571	DNFPacketTranslater.cpp.o
CPacketTranslater::OnRequestBlackListOnLogin(PacketHeader*)	_ZN17CPacketTranslater25OnRequestBlackListOnLoginEP12PacketHeader	DIFF	536	DNFPacketTranslater.cpp.o
CPacketTranslater::OnQueryGuildMember(PacketHeader*)	_ZN17CPacketTranslater18OnQueryGuildMemberEP12PacketHeader	DIFF	516	DNFPacketTranslater.cpp.o
CPacketTranslater::OnDBLoadRequestGuildBoardDelete(PacketHeader*)	_ZN17CPacketTranslater31OnDBLoadRequestGuildBoardDeleteEP12PacketHeader	DIFF	508	DNFPacketTranslater.cpp.o
CPacketTranslater::OnRequestGuildCreate(PacketHeader*)	_ZN17CPacketTranslater20OnRequestGuildCreateEP12PacketHeader	DIFF	485	DNFPacketTranslater.cpp.o
CPacketTranslater::onCollectItemsUpdate(PacketHeader*)	_ZN17CPacketTranslater20onCollectItemsUpdateEP12PacketHeader	DIFF	484	DNFPacketTranslater.cpp.o
CPacketTranslater::OnQueryUnconnGuildMemberProxy(PacketHeader*)	_ZN17CPacketTranslater29OnQueryUnconnGuildMemberProxyEP12PacketHeader	DIFF	472	DNFPacketTranslater.cpp.o
CPacketTranslater::OnDBMWVillageAttackRank(PacketHeader*)	_ZN17CPacketTranslater23OnDBMWVillageAttackRankEP12PacketHeader	DIFF	470	DNFPacketTranslater.cpp.o
CPacketTranslater::OnQueryGuildBooting(PacketHeader*)	_ZN17CPacketTranslater19OnQueryGuildBootingEP12PacketHeader	DIFF	434	DNFPacketTranslater.cpp.o
CPacketTranslater::onLoadLimitNpcBuyItemInfo(PacketHeader*)	_ZN17CPacketTranslater25onLoadLimitNpcBuyItemInfoEP12PacketHeader	DIFF	423	DNFPacketTranslater.cpp.o
CPacketTranslater::onItemLimitEditionLoadDataReq(PacketHeader*)	_ZN17CPacketTranslater29onItemLimitEditionLoadDataReqEP12PacketHeader	DIFF	423	DNFPacketTranslater.cpp.o
CPacketTranslater::OnDelBuddy(PacketHeader*)	_ZN17CPacketTranslater10OnDelBuddyEP12PacketHeader	DIFF	408	DNFPacketTranslater.cpp.o
CPacketTranslater::OnQueryBuddyInfo(PacketHeader*)	_ZN17CPacketTranslater16OnQueryBuddyInfoEP12PacketHeader	DIFF	403	DNFPacketTranslater.cpp.o
CPacketTranslater::OnUpdateTowerOfDespairStatistic(PacketHeader*)	_ZN17CPacketTranslater31OnUpdateTowerOfDespairStatisticEP12PacketHeader	DIFF	399	DNFPacketTranslater.cpp.o
CPacketTranslater::onCollectItemsGm(PacketHeader*)	_ZN17CPacketTranslater16onCollectItemsGmEP12PacketHeader	DIFF	397	DNFPacketTranslater.cpp.o
CPacketTranslater::OnAddBuddy(PacketHeader*)	_ZN17CPacketTranslater10OnAddBuddyEP12PacketHeader	DIFF	391	DNFPacketTranslater.cpp.o
CPacketTranslater::OnLoadPeriodicMessage(PacketHeader*)	_ZN17CPacketTranslater21OnLoadPeriodicMessageEP12PacketHeader	DIFF	384	DNFPacketTranslater.cpp.o
CPacketTranslater::onInsertHolePunchingResult(PacketHeader*)	_ZN17CPacketTranslater26onInsertHolePunchingResultEP12PacketHeader	DIFF	382	DNFPacketTranslater.cpp.o
CPacketTranslater::OnEndGuildWar(PacketHeader*)	_ZN17CPacketTranslater13OnEndGuildWarEP12PacketHeader	DIFF	378	DNFPacketTranslater.cpp.o
CPacketTranslater::OnSaveGuildWarInfo(PacketHeader*)	_ZN17CPacketTranslater18OnSaveGuildWarInfoEP12PacketHeader	DIFF	378	DNFPacketTranslater.cpp.o
CPacketTranslater::onUpdateLimitNpcBuyItemInfo(PacketHeader*)	_ZN17CPacketTranslater27onUpdateLimitNpcBuyItemInfoEP12PacketHeader	DIFF	344	DNFPacketTranslater.cpp.o
CPacketTranslater::onItemLimitEditionUpdateData(PacketHeader*)	_ZN17CPacketTranslater28onItemLimitEditionUpdateDataEP12PacketHeader	DIFF	344	DNFPacketTranslater.cpp.o
CPacketTranslater::OnInsertDailyBadSpecStatistics(PacketHeader*)	_ZN17CPacketTranslater30OnInsertDailyBadSpecStatisticsEP12PacketHeader	DIFF	26	DNFPacketTranslater.cpp.o
