demangled	mangled	status	orig_size	tu
CAppConfig::Parse_Table(char*, int)	_ZN10CAppConfig11Parse_TableEPci	DIFF	5162	DNFAppConfig.cpp.o
STDBConnInfo::STDBConnInfo()	_ZN12STDBConnInfoC1Ev	DIFF	178	DNFAppConfig.cpp.o
STDBConnInfo::STDBConnInfo()	_ZN12STDBConnInfoC2Ev	DIFF	178	DNFAppConfig.cpp.o
CAppConfig::DecryptValue(char const*, char*)	_ZN10CAppConfig12DecryptValueEPKcPc	DIFF	175	DNFAppConfig.cpp.o
CApplication::Load(int, char**)	_ZN12CApplication4LoadEiPPc	DIFF	1488	DNFApplication.cpp.o
CApplication::TranslateSignal()	_ZN12CApplication15TranslateSignalEv	DIFF	986	DNFApplication.cpp.o
CApplication::Free()	_ZN12CApplication4FreeEv	DIFF	674	DNFApplication.cpp.o
CApplication::Process()	_ZN12CApplication7ProcessEv	DIFF	479	DNFApplication.cpp.o
CKillUSRConfig::Parse_Table(char*, int)	_ZN14CKillUSRConfig11Parse_TableEPci	DIFF	235	DNFKillUserConfig.cpp.o
CMySql::exec_query()	_ZN6CMySql10exec_queryEv	DIFF	625	DNFMySql.cpp.o
CMySql::exec(unsigned int)	_ZN6CMySql4execEj	DIFF	375	DNFMySql.cpp.o
CMySql::open(char const*, char const*, char const*, char const*)	_ZN6CMySql4openEPKcS1_S1_S1_	DIFF	360	DNFMySql.cpp.o
CMySql::open(char const*, unsigned int, char const*, char const*, char const*)	_ZN6CMySql4openEPKcjS1_S1_S1_	DIFF	358	DNFMySql.cpp.o
CMySql::blob_to_str(int, void*, int)	_ZN6CMySql11blob_to_strEiPvi	DIFF	163	DNFMySql.cpp.o
CPacketDecoder::TcpProcess()	_ZN14CPacketDecoder10TcpProcessEv	DIFF	819	DNFPacketDecoder.cpp.o
CPacketDecoder::UdpProcess()	_ZN14CPacketDecoder10UdpProcessEv	DIFF	814	DNFPacketDecoder.cpp.o
CPacketDecoder::MsgDecode(PacketHeader*)	_ZN14CPacketDecoder9MsgDecodeEP12PacketHeader	DIFF	489	DNFPacketDecoder.cpp.o
CPacketTracer::WritePacketProcessLog()	_ZN13CPacketTracer21WritePacketProcessLogEv	DIFF	356	DNFPacketTracer.cpp.o
CPacketTracer::CPacketTracer()	_ZN13CPacketTracerC1Ev	DIFF	173	DNFPacketTracer.cpp.o
CPacketTracer::CPacketTracer()	_ZN13CPacketTracerC2Ev	DIFF	173	DNFPacketTracer.cpp.o
CServerConfig::Parse_Table(char*, int)	_ZN13CServerConfig11Parse_TableEPci	NEAR	215	DNFServerConfig.cpp.o
CServerHandler::Load(ST_ServerInfo*)	_ZN14CServerHandler4LoadEP13ST_ServerInfo	NEAR	1572	DNFServerHandler.cpp.o
CServerHandler::SendAllTcpServer(PacketHeader*)	_ZN14CServerHandler16SendAllTcpServerEP12PacketHeader	DIFF	250	DNFServerHandler.cpp.o
CSignal::dump_core_file()	_ZN7CSignal14dump_core_fileEv	DIFF	75	DNFSignal.cpp.o
CSignalTranslator::init_handler(CApplication*)	_ZN17CSignalTranslator12init_handlerEP12CApplication	DIFF	435	DNFSignalTranslator.cpp.o
CSignalTranslator::regist_signal(int, void (*)(int))	_ZN17CSignalTranslator13regist_signalEiPFviE	DIFF	143	DNFSignalTranslator.cpp.o
CTableBase::Load_Txt_Table_Data(char const*, int)	_ZN10CTableBase19Load_Txt_Table_DataEPKci	DIFF	218	DNFTableBase.cpp.o
WongWork::CGMAccounts::getGMInfo(unsigned int) const	_ZNK8WongWork11CGMAccounts9getGMInfoEj	DIFF	224	GMAccounts.cpp.o
WongWork::CGMAccounts::isGM(unsigned int)	_ZN8WongWork11CGMAccounts4isGMEj	DIFF	167	GMAccounts.cpp.o
WongWork::CGMAccounts::AppendGM_Sys(unsigned int, char)	_ZN8WongWork11CGMAccounts12AppendGM_SysEjc	DIFF	143	GMAccounts.cpp.o
CPacketCounter<1000, 10240>::AfterProcess(int)	_ZN14CPacketCounterILi1000ELi10240EE12AfterProcessEi	DIFF	285	PacketCounter.cpp.o
CPacketCounter<1000, 10240>::CPacketCounter(char*, char*)	_ZN14CPacketCounterILi1000ELi10240EEC1EPcS1_	DIFF	126	PacketCounter.cpp.o
CPacketCounter<1000, 10240>::CPacketCounter(char*, char*)	_ZN14CPacketCounterILi1000ELi10240EEC2EPcS1_	DIFF	126	PacketCounter.cpp.o
CPacketCounter<1000, 10240>::IncrementPacketCount(int)	_ZN14CPacketCounterILi1000ELi10240EE20IncrementPacketCountEi	DIFF	95	PacketCounter.cpp.o
CPeer::parsing(int)	_ZN5CPeer7parsingEi	DIFF	1161	Peer.cpp.o
CPeer::send_packet()	_ZN5CPeer11send_packetEv	DIFF	589	Peer.cpp.o
CPeer::send_packet(char*, int)	_ZN5CPeer11send_packetEPci	NEAR	539	Peer.cpp.o
Packet_InnerPakcet_Login::Packet_InnerPakcet_Login()	_ZN24Packet_InnerPakcet_LoginC1Ev	DIFF	35	Peer.cpp.o
Packet_InnerPakcet_Logout::Packet_InnerPakcet_Logout()	_ZN25Packet_InnerPakcet_LogoutC1Ev	DIFF	35	Peer.cpp.o
CQueryCounter::WriteDBLog(CDBManager&)	_ZN13CQueryCounter10WriteDBLogER10CDBManager	DIFF	694	QueryCounter.cpp.o
CQueryCounter::SetResponseTime(unsigned int)	_ZN13CQueryCounter15SetResponseTimeEj	DIFF	194	QueryCounter.cpp.o
CQueryCounter::IncreQureyCount(unsigned int, char const*)	_ZN13CQueryCounter15IncreQureyCountEjPKc	DIFF	100	QueryCounter.cpp.o
CQueryCounter::CQueryCounter()	_ZN13CQueryCounterC1Ev	DIFF	74	QueryCounter.cpp.o
CQueryCounter::CQueryCounter()	_ZN13CQueryCounterC2Ev	DIFF	74	QueryCounter.cpp.o
np_server_xml::CServerXml::StrPunish(int, char const*, np_server_xml::_eStringType)	_ZN13np_server_xml10CServerXml9StrPunishEiPKcNS_12_eStringTypeE	DIFF	613	ServerXml.cpp.o
allocStackBuffer(unsigned int, unsigned char**, int*)	_ZL16allocStackBufferjPPhPi	DIFF	626	StackBuffer.cpp.o
freeAllStackBuffers()	_ZL19freeAllStackBuffersv	DIFF	262	StackBuffer.cpp.o
freeStackBuffer(unsigned char*, int)	_ZL15freeStackBufferPhi	DIFF	235	StackBuffer.cpp.o
CSystemTime::CSystemTime()	_ZN11CSystemTimeC1Ev	DIFF	79	SystemTimeHandler.cpp.o
CSystemTime::CSystemTime()	_ZN11CSystemTimeC2Ev	DIFF	79	SystemTimeHandler.cpp.o
